"dataset","family","contrast","AggrDiv","n_self_matches","null_median_incl","null_median_excl"
"Shi2024","within_MV102","T1_vs_T0",1.20570285761121,1,0.35716349734024,0.211868228364739
"Shi2024","within_MV102","T2_vs_T0",2.00439918721452,1,0.564948220426585,0.539982135918716
"Shi2024","within_MV102","T3_vs_T0",2.86714660676718,1,0.827011972657139,0.409085744029548
"Shi2024","within_MV102","T4_vs_T0",4.41411002160276,1,1.24104189964305,0.630928173760935
"Shi2024","within_MV102","T5_vs_T0",4.96186914285321,1,1.33527743732934,1.32096291973869
"Shi2024","within_MV102","T6_vs_T0",5.32926900621472,1,1.39475901333695,1.35570699963424
"Shi2024","within_MV32","T1_vs_T0",0.921563280685797,1,0.415518607205028,0.414166195555638
"Shi2024","within_MV32","T2_vs_T0",2.52727676812813,1,0.729236445776123,0.683116189091263
"Shi2024","within_MV32","T3_vs_T0",3.06880505363874,1,0.845657200893666,0.827636521103667
"Shi2024","within_MV32","T4_vs_T0",3.30612200952711,1,0.913962992970039,0.905578008917686
"Shi2024","within_MV32","T5_vs_T0",5.74278935335554,1,1.52861325141259,1.52621758644039
"Shi2024","within_MV32","T6_vs_T0",5.22872741911397,1,1.4125807831057,1.38989563898299
"Shi2024","within_Syrah_background","DEV02_vs_DEV01",1.04681587352523,1,0.31744829072605,0.169394964578096
"Shi2024","within_Syrah_background","DEV03_vs_DEV01",2.20716626532011,1,0.642009307582597,0.304998823236157
"Shi2024","within_Syrah_background","DEV04_vs_DEV01",3.19867165629674,1,0.926640922505687,0.419601450613543
"Shi2024","within_Syrah_background","DEV05_vs_DEV01",3.29916458428612,1,0.949581567120557,0.423728335126793
"Shi2024","within_Syrah_background","DEV06_vs_DEV01",3.55961277205677,1,1.03018020843461,0.471977551925976
"Shi2024","within_Syrah_background","DEV07_vs_DEV01",4.01758141026651,1,1.14304010321743,0.50651381757997
"Shi2024","within_Syrah_background","DEV08_vs_DEV01",4.54905326554603,1,1.2927491119455,0.565150241013568
"Shi2024","within_Syrah_background","DEV09_vs_DEV01",4.90196836125085,1,1.39493277734547,0.657757011726627
"Shi2024","within_Syrah_background","DEV10_vs_DEV01",6.57857433178675,1,1.84202525885599,0.828371581416253
"Shi2024","within_Syrah_background","DEV11_vs_DEV01",6.95439983367067,1,1.95678340448948,0.888871673217342
"Shi2024","within_G5_bonus","T2_vs_T1",3.09293773459566,1,0.944801708249067,0.814300478506284
"Shi2024","within_G5_bonus","T3_vs_T1",3.2208009574445,1,0.955042355925561,0.555094699789633
"Shi2024","cross_cultivar_MV102_vs_MV32","T0",1.03646840891898,1,0.491038849198091,0.48904852528457
"Shi2024","cross_cultivar_MV102_vs_MV32","T1",1.02290331146509,1,0.335045368132661,0.206673261748445
"Shi2024","cross_cultivar_MV102_vs_MV32","T4",1.95085424143663,1,0.904025313090345,0.897901004810314
"Shi2024","cross_cultivar_MV102_vs_MV32","T6",1.2948654719375,1,0.431169648345977,0.413273212453897
"OwnStudy","within_Susceptible","6hpi_vs_0hpi",0.348972692565458,1,0.151687633648227,0.12925262713707
"OwnStudy","within_Susceptible","24hpi_vs_0hpi",0.657347349956967,1,0.258069923182822,0.242590854137958
"OwnStudy","within_Rpv12","6hpi_vs_0hpi",1.82501646818632,1,0.520644634670868,0.326498902334061
"OwnStudy","within_Rpv12","24hpi_vs_0hpi",1.76643179584308,1,0.529091601151689,0.252002103563478
"OwnStudy","within_Rpv12_1","6hpi_vs_0hpi",1.5234498414086,1,0.44587934087415,0.286190298448631
"OwnStudy","within_Rpv12_1","24hpi_vs_0hpi",0.995003359607662,1,0.311679947244367,0.289055492986319
"OwnStudy","within_Rpv12_1_3","6hpi_vs_0hpi",0.32324750696988,1,0.153572075573009,0.148011107206256
"OwnStudy","within_Rpv12_1_3","24hpi_vs_0hpi",0.538982342117435,1,0.183128133592714,0.137410588007101
"Chitarrini2020","within_mock","12h_vs_0h",0.862221807888797,1,0.277693738465596,0.197418515835886
"Chitarrini2020","within_mock","24h_vs_0h",0.62577704745583,1,0.218679230951758,0.150192697880961
"Chitarrini2020","within_mock","48h_vs_0h",0.948933905363321,1,0.321168203456122,0.203958549917491
"Chitarrini2020","within_mock","96h_vs_0h",2.42681370257176,1,0.710632560777321,0.339583643903281
"Chitarrini2020","within_mock","120h_vs_0h",1.87731090881055,1,0.559473303932774,0.559004096390079
"Chitarrini2020","within_inoculated","24h_vs_12h",0.47208057655617,1,0.171153493150555,0.111084807839511
"Chitarrini2020","within_inoculated","48h_vs_12h",0.661518873043703,1,0.236396697907563,0.14838647442621
"Chitarrini2020","within_inoculated","96h_vs_12h",1.68241042286931,1,0.506424108386338,0.250574390946893
"Chitarrini2020","cross_condition_inoculated_vs_mock","12hpi",0.203501933225455,1,0.100584551264613,0.098593056530721
"Chitarrini2020","cross_condition_inoculated_vs_mock","24hpi",0.221470044883545,1,0.09907466665406,0.0802973937006339
"OwnStudy","cross_genotype_vs_Susceptible","Rpv12_0hpi",2.07908650137008,1,0.855010061774949,0.854925998282564
"OwnStudy","cross_genotype_vs_Susceptible","Rpv121_0hpi",1.76028750997666,1,0.855010061774949,0.854925998282564
"OwnStudy","cross_genotype_vs_Susceptible","Rpv1213_0hpi",1.74965572469291,1,0.855010061774949,0.854925998282564
"OwnStudy","cross_genotype_vs_Susceptible","Rpv12_24hpi",1.54128830204083,1,0.749232641756536,0.745706543580188
"OwnStudy","cross_genotype_vs_Susceptible","Rpv121_24hpi",1.51836302867272,1,0.749232641756536,0.745706543580188
"OwnStudy","cross_genotype_vs_Susceptible","Rpv1213_24hpi",1.56848778493265,1,0.749232641756536,0.745706543580188
"OwnStudy","cross_genotype_vs_Susceptible","Rpv12_6hpi",1.21364459936488,1,0.792610418746606,0.791493095630333
"OwnStudy","cross_genotype_vs_Susceptible","Rpv121_6hpi",1.36229667329954,1,0.792610418746606,0.791493095630333
"OwnStudy","cross_genotype_vs_Susceptible","Rpv1213_6hpi",2.20521304404153,1,0.792610418746606,0.791493095630333
