"correction","genotype","timing","AggrDiv","p_emp","p_adj"
"unprotected_ComBat","Rpv12","0",1.38475581283337,0.0135746606334842,0.0244343891402715
"protected_ComBat_mod_condition","Rpv12","0",2.07908650137008,0.00904977375565611,0.0244343891402715
"unprotected_ComBat","Rpv121","0",1.16890303989681,0.0180995475113122,0.0271493212669683
"protected_ComBat_mod_condition","Rpv121","0",1.76028750997666,0.0135746606334842,0.0244343891402715
"unprotected_ComBat","Rpv1213","0",1.44729558896841,0.00904977375565611,0.0244343891402715
"protected_ComBat_mod_condition","Rpv1213","0",1.74965572469291,0.0226244343891403,0.0339366515837104
"unprotected_ComBat","Rpv12","24",1.56706319513124,0.00904977375565611,0.0244343891402715
"protected_ComBat_mod_condition","Rpv12","24",1.54128830204083,0.0135746606334842,0.0244343891402715
"unprotected_ComBat","Rpv121","24",1.34226288247107,0.0452488687782805,0.0581771170006464
"protected_ComBat_mod_condition","Rpv121","24",1.51836302867272,0.0271493212669683,0.0349062702003878
"unprotected_ComBat","Rpv1213","24",1.53897903838107,0.0135746606334842,0.0244343891402715
"protected_ComBat_mod_condition","Rpv1213","24",1.56848778493265,0.00904977375565611,0.0244343891402715
"unprotected_ComBat","Rpv12","6",1.16455636941658,0.262443438914027,0.262443438914027
"protected_ComBat_mod_condition","Rpv12","6",1.21364459936488,0.285067873303167,0.285067873303167
"unprotected_ComBat","Rpv121","6",1.21189070804321,0.212669683257919,0.239253393665158
"protected_ComBat_mod_condition","Rpv121","6",1.36229667329954,0.176470588235294,0.198529411764706
"unprotected_ComBat","Rpv1213","6",2.15712627928535,0.00904977375565611,0.0244343891402715
"protected_ComBat_mod_condition","Rpv1213","6",2.20521304404153,0.00904977375565611,0.0244343891402715
