"geneID","spearman_rho","pvalue","padj","fdr","module_size"
"Vitvi03g01614",-0.478898349698169,0.00312849885508842,1,0.00453410502311375,149
"Vitvi03g01615",-0.114241614066328,0.507051164047744,1,0.512983366057002,22
"Vitvi03g01617",-0.430524779021586,0.00876561976487687,1,0.0111699336916963,3
"Vitvi03g01618",-0.459197442133872,0.00484474340951935,1,0.0066216401818051,9
"Vitvi03g01621",-0.00308761119098182,0.985741062565868,1,0.985741062565868,159
"Vitvi03g01622",-0.755115931629091,1.0276330152622e-07,0.000693138468794352,7.08006607552964e-07,459
"Vitvi03g01649",0.866359712001401,8.69442361037607e-12,5.86438872519866e-08,6.37433557086811e-10,29
"Vitvi03g01651",0.373600954108801,0.024802525353346,1,0.0288884533773647,4
"Vitvi03g01703",0.624221522900733,4.73386834040072e-05,0.319299419560029,0.00011657518056226,356
"Vitvi03g01727",-0.731763852262692,3.96103875756545e-07,0.0026717206419779,1.72993206485866e-06,966
"Vitvi03g01759",-0.829476273338115,4.06241215706204e-10,2.74009699993834e-06,8.92539739393597e-09,1081
"Vitvi03g01760",-0.808995377700137,2.36091949141347e-09,1.59244019695839e-05,2.92727977382058e-08,1039
"Vitvi03g01763",-0.731763852262692,3.96103875756545e-07,0.0026717206419779,1.72993206485866e-06,1291
"Vitvi03g01769",-0.861011812544602,1.62270868075849e-11,1.0945170051716e-07,1.05242019728039e-09,30
"Vitvi03g01770",-0.478898349698169,0.00312849885508842,1,0.00453410502311375,29
"Vitvi03g01801",-0.478898349698169,0.00312849885508842,1,0.00453410502311375,301
"Vitvi03g01809",-0.866359712001401,8.69442361037601e-12,5.86438872519862e-08,6.37433557086811e-10,92
"Vitvi03g01833",-0.658054571255382,1.28992599979091e-05,0.087005508685897,3.85321119069517e-05,46
"Vitvi03g01834",0.618223569754811,5.86815586164237e-05,0.395807112867778,0.000141968117958313,21
"Vitvi03g01839",-0.762038276589863,6.69235268411086e-08,0.000451399188543278,5.10632566225427e-07,38
"Vitvi03g01840",-0.440199493156902,0.00721598030084795,1,0.00939972713967158,9
"Vitvi03g01841",0.301348321400354,0.0740899184807143,1,0.0798428662969194,36
"Vitvi03g01849",-0.504335557297276,0.00171027946825786,1,0.00281980811865052,331
"Vitvi03g01853",-0.556734056756734,0.000421261179223091,1,0.00079502144763843,1020
