A11	86341	174663	 20920168
A12	86781	174600	 22273262
A14	86308	178468	 20686998
A21	91394	183486	 25950359
A22	87480	174880	 20612835
A24	88935	179572	 23643972
A31	85172	161657	 22201604
A32	84622	168643	 20498265
A34	90553	190175	 25336368
A41	87800	182543	 20689760
A42	88604	182444	 20753048
A44	85179	170266	 20028978
B11	86274	170865	 20350329
B12	92637	191311	 30294312
B14	91843	193642	 29211638
B21	86497	167186	 19317938
B22	85720	169315	 25882450
B24	85930	165387	 25505270
B31	85372	148736	 25741158
B32	84243	162613	 21951383
B34	87754	181820	 20817804
B41	81352	155691	 18252703
B42	91069	188040	 24008489
B44	89614	183684	 22923010
C11	86091	165549	 25880447
C12	85726	171559	 18400443
C14	83722	171537	 17971694
C21	86278	162269	 19302480
C22	87648	164586	 24645312
C24	87648	156516	 25120501
C31	82258	151037	 19767060
C32	91132	188583	 33151185
C34	84307	166686	 22332396
C41	88826	178230	 19581807
C42	91420	185036	 23586235
C44	85686	176079	 20857582
