"family","contrast","n_genes","pct_of_total_from_top1pct","pct_of_total_from_top5pct","pct_of_total_from_top10pct","n_genes_for_50pct","pct_genes_for_50pct","n_genes_for_75pct","pct_genes_for_75pct","n_genes_for_90pct","pct_genes_for_90pct"
"inter_experiment","ExpB_vs_ExpA",25487,16.472654224067,42.7818463034735,61.0790253216875,1704,6.68576136854082,4146,16.2671165692314,7725,30.3095695844941
"intra_ExpA","split1",25487,16.8603285127678,47.2604662120171,65.6135266595623,1417,5.5596971004826,3673,14.4112684898183,7355,28.8578490995409
"intra_ExpA","split2",25487,18.0808247012851,48.2063298304414,66.6276571431859,1368,5.36744222544827,3510,13.7717267626633,7015,27.5238356809354
"intra_ExpA","split3",25487,19.7636783982131,53.8963828725097,72.6265669900281,1103,4.32769647271158,2807,11.0134578412524,6010,23.5806489582925
"intra_ExpA","split4",25487,18.5321307113328,53.009424598687,72.4248194332805,1143,4.48463922784164,2816,11.0487699611567,5760,22.5997567387295
"intra_ExpA","split5",25487,21.1844409091299,58.5867495868872,77.7177427831855,938,3.68030760780005,2295,9.00459057558755,4682,18.3701494879743
"intra_ExpA","split6",25487,18.5166373382524,50.4935798267398,68.7630102817759,1250,4.90446109781457,3272,12.8379173696394,6761,26.5272491858595
"intra_ExpA","split7",25487,21.7990157663253,56.9547916877879,74.4981484898313,973,3.81763251853886,2605,10.2208969278456,5566,21.8385843763487
"intra_ExpA","split8",25487,20.856661822375,56.0649941337079,74.4731925727984,1017,3.99026954918194,2604,10.2169733589673,5488,21.5325460038451
"intra_ExpA","split9",25487,22.5795139501474,59.0973997809405,77.5137612621736,910,3.57044767920901,2301,9.02813198885706,4807,18.8605955977557
"intra_ExpA","split10",25487,21.6166803860474,58.2213306852195,76.471005061157,946,3.71169615882607,2400,9.41656530780398,5096,19.9945070035704
"intra_ExpA","split11",25487,20.7955616193986,56.2756022042672,74.6337006390817,1011,3.96672813591243,2588,10.1541962569153,5501,21.5835523992624
"intra_ExpA","split12",25487,20.7387978399659,55.1391210890008,73.9954972664211,1057,4.147212304312,2654,10.4131518028799,5596,21.9562914426963
"intra_ExpA","split13",25487,21.2253632055488,54.5542562967051,72.7091372428026,1069,4.19429513085102,2799,10.9820692902264,5865,23.011731470946
"intra_ExpA","split14",25487,21.1808734347578,56.8215997985208,75.0605330333088,987,3.87256248283439,2543,9.97763565739397,5318,20.8655392945423
"intra_ExpA","split15",25487,21.1926717987023,55.8676337225697,73.9314272912174,1021,4.00596382469494,2664,10.4523874916624,5614,22.0269156825048
"intra_ExpA","split16",25487,18.4423472449045,50.2700537882733,68.3391291886455,1261,4.94762035547534,3306,12.9713187115,6674,26.1858986934516
"intra_ExpA","split17",25487,21.0072559670922,54.6440069672891,72.6057982104319,1062,4.16683014870326,2813,11.0369992545219,5999,23.5374897006317
"intra_ExpA","split18",25487,21.3226815102012,55.854668178308,74.1034451242092,1022,4.00988739357319,2646,10.3817632518539,5614,22.0269156825048
"intra_ExpA","split19",25487,20.9342121237028,57.6105957150938,76.4456819445785,971,3.80978538078236,2402,9.42441244556048,5161,20.2495389806568
"intra_ExpA","split20",25487,22.3784073886666,59.6176693146596,77.8012316125209,893,3.50374700827873,2268,8.89865421587476,4831,18.9547612508338
"intra_ExpA","split21",25487,22.4983774598595,58.6174824714212,77.2481393665652,930,3.64891905677404,2326,9.12622121081336,4881,19.1509396947463
"intra_ExpA","split22",25487,22.2300098928402,58.0661371849885,76.1593198991507,942,3.69600188331306,2430,9.53427237415153,5230,20.5202652332562
"intra_ExpA","split23",25487,20.9308613665492,55.0646114039787,73.0536715173565,1049,4.11582375328599,2758,10.8212029662181,5870,23.0313493153372
"intra_ExpA","split24",25487,21.7388657715444,56.9289932991207,74.9138262551427,980,3.84509750068662,2559,10.040412759446,5485,21.5207752972103
"intra_ExpA","split25",25487,20.9675273197866,56.2139786710655,74.7612322541063,1010,3.96280456703417,2574,10.0992662926198,5408,21.218660493585
