"run_accession","normalization_group","genotype","T_index","dev_num","replicate","size_factor"
"SRR29330619","MV102_MV32_PRJNA1121615","MV102",0,NA,3,1.25680619617967
"SRR29330623","MV102_MV32_PRJNA1121615","MV32",0,NA,3,1.12186536987704
"SRR29330628","MV102_MV32_PRJNA1121615","MV32",5,NA,1,0.518463150757052
"SRR29330631","MV102_MV32_PRJNA1121615","MV32",4,NA,1,1.18583453108882
"SRR29258938","G5_PRJNA1118503","G5",2,NA,2,1.03010259148722
"SRR29258940","G5_PRJNA1118503","G5",2,NA,1,0.860418206312503
"SRR29258934","G5_PRJNA1118503","G5",3,NA,1,0.911116380139676
"SRR29258939","G5_PRJNA1118503","G5",3,NA,2,0.960233252294959
"SRR29258941","G5_PRJNA1118503","G5",1,NA,1,1.00767208868066
"SRR29258935","G5_PRJNA1118503","G5",1,NA,2,1.31385899178139
"SRR29258936","G5_PRJNA1118503","G5",3,NA,3,0.995971631333195
"SRR29258937","G5_PRJNA1118503","G5",1,NA,3,1.06337994612541
