"","lightyellow","brown","black","turquoise","darkred","lightcyan","bisque4","green","yellow","blue","violet","red","darkgreen","plum1","maroon","sienna3","paleturquoise","magenta","lavenderblush3","white","midnightblue","darkseagreen4","yellowgreen","darkturquoise","darkslateblue","cyan","salmon","purple","orangered4","darkorange2","lightsteelblue1","greenyellow","tan","brown4","skyblue","orange","grey60","floralwhite","ivory","royalblue","skyblue3","palevioletred3","plum2","darkolivegreen","pink","darkorange","honeydew1","darkmagenta","lightgreen","navajowhite2","coral2","steelblue","thistle1","darkgrey","saddlebrown","mediumpurple3","antiquewhite4","salmon4","thistle2","coral1","lightcyan1","lightpink4"
"Vitvi01g04056",0,0,0,0.00880780119534445,0,0,0,0,0.114155251141553,0,0.0188087774294671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04115",0,0,0,0.00636435958631663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862745098039216,0,0,0,0,0,0,0,0,0,0,0,0.0134615384615385,0,0,0,0,0,0,0,0.0110803324099723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04132",0,0,0,0.000159540523292916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304878048780488,0,0,0,0,0.0520446096654275,0,0,0,0,0,0,0,0
"Vitvi02g00032",0,0,0,0.163317384370016,0,0.000712758374910905,0,0,0.000539083557951483,0,0,0,0,0,0,0,0,0,0,0,0.0114122681883024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00056",0.0497076023391813,0.0385514018691589,0,0,0,0,0,0,0,0.000436490615451768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00086",0,0,0,0.0105279948955176,0,0,0,0.00451977401129944,0.00111607142857143,0,0.0512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00429",0.00388098318240621,0,0.00442477876106195,0,0,0,0,0,0,0.100572183098592,0,0,0.00542740841248304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00446",0.00447761194029851,0.00166527893422148,0.0278884462151394,0,0,0,0,0,0,0.0729463307776561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01355",0,0,0,0.0447523491001752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332326283987915,0,0,0,0,0,0,0.00638569604086846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01360",0,0,0,0.00239731500719195,0,0,0,0,0,0,0.0280898876404494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
