"variant","method","matrix","module","mean_within_module_corr","median_within_module_corr","n_genes_used_for_corr"
"GCNA_unprotected","GCNA","unprotected","Vitvi07g03086",0.825469569166733,0.83368535810188,80
"GCNA_unprotected","GCNA","unprotected","Vitvi08g00795",0.822653435171684,0.82832769588533,42
"GCNA_unprotected","GCNA","unprotected","Vitvi08g00957",0.742152931106397,0.748970507897957,15
"GCNA_unprotected","GCNA","unprotected","Vitvi08g01235",0.812987354217589,0.821310702044062,110
"GCNA_unprotected","GCNA","unprotected","Vitvi08g01333",0.765749063650188,0.765409762279043,57
"GCNA_unprotected","GCNA","unprotected","Vitvi08g01617",0.773010270731652,0.774501091858029,32
"GCNA_unprotected","GCNA","unprotected","Vitvi08g01846",0.790116787199239,0.795590924023784,9
"GCNA_unprotected","GCNA","unprotected","Vitvi08g01897",0.787714375299551,0.794293894603163,44
"GCNA_unprotected","GCNA","unprotected","Vitvi08g02218",0.786878516538206,0.795162116989809,82
"GCNA_unprotected","GCNA","unprotected","Vitvi08g02288",0.811065536439694,0.813108635823838,53
"GCNA_unprotected","GCNA","unprotected","Vitvi09g00419",0.791209538949023,0.798649502256964,102
"GCNA_unprotected","GCNA","unprotected","Vitvi09g00867",0.77147728733556,0.773379206389011,74
"GCNA_unprotected","GCNA","unprotected","Vitvi09g01646",0.822687948732726,0.819243418172782,9
"GCNA_unprotected","GCNA","unprotected","Vitvi09g01698",0.845599091451409,0.873405408649288,26
"GCNA_unprotected","GCNA","unprotected","Vitvi09g04280",0.818909330275634,0.823314200844298,56
"GCNA_unprotected","GCNA","unprotected","Vitvi10g00562",0.831885203600287,0.842194955968374,300
"GCNA_unprotected","GCNA","unprotected","Vitvi10g00984",0.79803094068232,0.796716446900837,68
"GCNA_unprotected","GCNA","unprotected","Vitvi10g01812",0.83393567684312,0.844381988006676,300
"GCNA_unprotected","GCNA","unprotected","Vitvi10g04044",0.817026572070599,0.827470385378321,65
"GCNA_unprotected","GCNA","unprotected","Vitvi10g04085",0.794688682321934,0.795232861513987,30
"GCNA_unprotected","GCNA","unprotected","Vitvi10g04276",0.855592428369749,0.865057576927566,300
"GCNA_unprotected","GCNA","unprotected","Vitvi10g04282",0.797489453670206,0.804359421467057,32
"GCNA_unprotected","GCNA","unprotected","Vitvi10g04464",0.818611741861788,0.823381020360261,43
"GCNA_unprotected","GCNA","unprotected","Vitvi10g04504",0.774971420226881,0.777507926168488,97
"GCNA_unprotected","GCNA","unprotected","Vitvi11g00075",0.816993254409489,0.823564792903325,300
"GCNA_unprotected","GCNA","unprotected","Vitvi11g00217",0.767681895461534,0.770204202701255,118
"GCNA_unprotected","GCNA","unprotected","Vitvi11g00285",0.842105652565998,0.85336514044288,197
"GCNA_unprotected","GCNA","unprotected","Vitvi11g00286",0.758916629764012,0.763511575398123,215
"GCNA_unprotected","GCNA","unprotected","Vitvi11g01637",0.766278954569149,0.770253189684252,37
"GCNA_unprotected","GCNA","unprotected","Vitvi12g00368",0.786506221601927,0.787937714619615,52
"GCNA_unprotected","GCNA","unprotected","Vitvi12g01776",0.8140766632366,0.820407069000596,113
"GCNA_unprotected","GCNA","unprotected","Vitvi12g01881",0.788300172412128,0.793843458604461,151
"GCNA_unprotected","GCNA","unprotected","Vitvi12g01882",0.788907576152537,0.79448197939024,55
"GCNA_unprotected","GCNA","unprotected","Vitvi12g01921",0.804612859112893,0.813704006093088,64
"GCNA_unprotected","GCNA","unprotected","Vitvi12g02011",0.829818992161678,0.841682162429119,59
"GCNA_unprotected","GCNA","unprotected","Vitvi12g02633",0.806809088243515,0.815353665302597,83
