"","green","brown","pink","turquoise","tan","purple","magenta","blue","red","midnightblue","salmon","darkturquoise","yellow","greenyellow","darkred","black","orange","royalblue","lightyellow","lightgreen","cyan","lightcyan","grey60","darkgreen","darkgrey"
"Vitvi05g04232",0.0233118971061093,0.000565930956423316,0,0.000134318334452653,0,0,0.0013262599469496,0,0,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869565217391304
"Vitvi06g01410",0,0,0,0.0129502225819506,0,0,0,0,0.00106609808102345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g01618",0,0,0,0.000932214675722466,0,0.016973125884017,0,0,0,0,0,0,0.0570054945054945,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g04121",0,0,0,0.000267343937976206,0,0,0,0,0.00109649122807018,0,0,0,0.0472878998609179,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00283",0,0,0,0.00445163901254553,0,0,0,0,0,0,0,0,0.000681198910081744,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00523",0,0.00914235959947758,0,0,0,0,0,0.127693354502155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01267",0,0,0,0.0921105866486851,0,0,0,0,0.000654878847413229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241254523522316,0,0
"Vitvi07g01315",0.07085346215781,0.00164654226125137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01342",0,0,0,0.0423580196951302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01407",0,0,0,0.00660644465417285,0,0,0.00649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01718",0.000772797527047913,0,0.0552763819095477,0.000535905680600214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360824742268041,0,0
"Vitvi07g01719",0.000783085356303837,0,0.0339195979899497,0.00067150147730325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337078651685393,0,0
"Vitvi07g02832",0,0,0,0.0121934878735093,0,0.0646976090014065,0.00465657741559953,0,0,0,0,0,0,0,0,0.00104712041884817,0,0,0,0,0,0,0,0,0
"Vitvi07g03086",0,0.00218579234972678,0.111949685534591,0,0,0,0,0.000222866057499443,0,0,0,0,0,0,0,0,0,0,0.026431718061674,0,0,0,0,0,0
"Vitvi08g00957",0,0,0,0.000807645712747341,0,0,0,0,0.0116959064327485,0,0,0,0.00482425913163336,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01333",0,0,0,0.000804613115193778,0,0,0,0,0,0,0,0,0.0262430939226519,0,0,0,0,0,0,0,0.00696055684454756,0,0.0208333333333333,0,0
"Vitvi08g01617",0,0,0,0.00336791054829584,0,0,0,0,0,0,0,0,0.00753424657534247,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01846",0.00480384307445957,0,0,0.00121310149615851,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
