"variant","method","matrix","module","size"
"GCNA_unprotected","GCNA","unprotected","Vitvi10g04276",933
"GCNA_unprotected","GCNA","unprotected","Vitvi10g04282",32
"GCNA_unprotected","GCNA","unprotected","Vitvi10g04464",43
"GCNA_unprotected","GCNA","unprotected","Vitvi10g04504",97
"GCNA_unprotected","GCNA","unprotected","Vitvi11g00075",301
"GCNA_unprotected","GCNA","unprotected","Vitvi11g00217",118
"GCNA_unprotected","GCNA","unprotected","Vitvi11g00285",197
"GCNA_unprotected","GCNA","unprotected","Vitvi11g00286",215
"GCNA_unprotected","GCNA","unprotected","Vitvi11g01637",37
"GCNA_unprotected","GCNA","unprotected","Vitvi12g00368",52
"GCNA_unprotected","GCNA","unprotected","Vitvi12g01776",113
"GCNA_unprotected","GCNA","unprotected","Vitvi12g01881",151
"GCNA_unprotected","GCNA","unprotected","Vitvi12g01882",55
"GCNA_unprotected","GCNA","unprotected","Vitvi12g01921",64
"GCNA_unprotected","GCNA","unprotected","Vitvi12g02011",59
"GCNA_unprotected","GCNA","unprotected","Vitvi12g02633",83
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04108",101
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04404",102
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04463",69
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04498",61
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04515",33
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04518",19
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04543",51
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04545",55
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04595",37
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04598",82
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04607",92
"GCNA_unprotected","GCNA","unprotected","Vitvi12g04630",132
"GCNA_unprotected","GCNA","unprotected","Vitvi13g00004",504
"GCNA_unprotected","GCNA","unprotected","Vitvi13g00551",90
"GCNA_unprotected","GCNA","unprotected","Vitvi13g01098",485
"GCNA_unprotected","GCNA","unprotected","Vitvi13g01468",104
"GCNA_unprotected","GCNA","unprotected","Vitvi13g01608",30
"GCNA_unprotected","GCNA","unprotected","Vitvi13g01616",50
"GCNA_unprotected","GCNA","unprotected","Vitvi13g01638",64
"GCNA_unprotected","GCNA","unprotected","Vitvi13g01984",56
"GCNA_unprotected","GCNA","unprotected","Vitvi13g04528",117
"GCNA_unprotected","GCNA","unprotected","Vitvi13g04529",118
"GCNA_unprotected","GCNA","unprotected","Vitvi13g04677",56
"GCNA_unprotected","GCNA","unprotected","Vitvi13g04698",70
"GCNA_unprotected","GCNA","unprotected","Vitvi13g04706",92
"GCNA_unprotected","GCNA","unprotected","Vitvi14g00438",239
"GCNA_unprotected","GCNA","unprotected","Vitvi14g01926",6
"GCNA_unprotected","GCNA","unprotected","Vitvi14g04416",31
"GCNA_unprotected","GCNA","unprotected","Vitvi15g01247",87
"GCNA_unprotected","GCNA","unprotected","Vitvi16g00901",4
"GCNA_unprotected","GCNA","unprotected","Vitvi16g04295",516
"GCNA_unprotected","GCNA","unprotected","Vitvi16g04448",29
"GCNA_unprotected","GCNA","unprotected","Vitvi17g00339",7
"GCNA_unprotected","GCNA","unprotected","Vitvi17g00461",47
"GCNA_unprotected","GCNA","unprotected","Vitvi17g00704",626
"GCNA_unprotected","GCNA","unprotected","Vitvi17g00936",758
"GCNA_unprotected","GCNA","unprotected","Vitvi17g01373",99
"GCNA_unprotected","GCNA","unprotected","Vitvi18g00174",73
"GCNA_unprotected","GCNA","unprotected","Vitvi18g00191",42
"GCNA_unprotected","GCNA","unprotected","Vitvi18g00462",70
"GCNA_unprotected","GCNA","unprotected","Vitvi18g00473",84
"GCNA_unprotected","GCNA","unprotected","Vitvi18g02222",49
"GCNA_unprotected","GCNA","unprotected","Vitvi18g02825",10
"GCNA_unprotected","GCNA","unprotected","Vitvi18g02837",536
"GCNA_unprotected","GCNA","unprotected","Vitvi18g04551",82
"GCNA_unprotected","GCNA","unprotected","Vitvi18g04640",114
"GCNA_unprotected","GCNA","unprotected","Vitvi19g00270",793
"GCNA_unprotected","GCNA","unprotected","Vitvi19g00476",70
"GCNA_unprotected","GCNA","unprotected","Vitvi19g00709",67
"GCNA_unprotected","GCNA","unprotected","Vitvi19g01484",550
"GCNA_unprotected","GCNA","unprotected","Vitvi19g01610",100
"GCNA_unprotected","GCNA","unprotected","Vitvi19g01612",89
"GCNA_unprotected","GCNA","unprotected","Vitvi19g01720",103
"GCNA_unprotected","GCNA","unprotected","Vitvi19g01790",73
"GCNA_unprotected","GCNA","unprotected","Vitvi19g04572",92
"WGCNA_unprotected_power1","WGCNA","unprotected","red",1230
"WGCNA_unprotected_power1","WGCNA","unprotected","yellow",2032
"WGCNA_unprotected_power1","WGCNA","unprotected","black",900
"WGCNA_unprotected_power1","WGCNA","unprotected","turquoise",5532
"WGCNA_unprotected_power1","WGCNA","unprotected","purple",582
"WGCNA_unprotected_power1","WGCNA","unprotected","magenta",701
"WGCNA_unprotected_power1","WGCNA","unprotected","brown",2158
"WGCNA_unprotected_power1","WGCNA","unprotected","darkgrey",66
"WGCNA_unprotected_power1","WGCNA","unprotected","blue",4334
"WGCNA_unprotected_power1","WGCNA","unprotected","lightyellow",186
"WGCNA_unprotected_power1","WGCNA","unprotected","green",1710
"WGCNA_unprotected_power1","WGCNA","unprotected","midnightblue",239
"WGCNA_unprotected_power1","WGCNA","unprotected","darkturquoise",72
"WGCNA_unprotected_power1","WGCNA","unprotected","grey60",214
"WGCNA_unprotected_power1","WGCNA","unprotected","greenyellow",576
"WGCNA_unprotected_power1","WGCNA","unprotected","lightcyan",236
"WGCNA_unprotected_power1","WGCNA","unprotected","lightgreen",191
"WGCNA_unprotected_power1","WGCNA","unprotected","cyan",244
"WGCNA_unprotected_power1","WGCNA","unprotected","salmon",269
"WGCNA_unprotected_power1","WGCNA","unprotected","darkred",92
"WGCNA_unprotected_power1","WGCNA","unprotected","pink",823
"WGCNA_unprotected_power1","WGCNA","unprotected","tan",305
