"","mediumpurple3","yellow","magenta","turquoise","grey60","cyan","orangered4","black","green","brown","blue","orange","darkred","sienna3","navajowhite2","steelblue","red","tan","darkmagenta","pink","greenyellow","darkgrey","darkorange","yellowgreen","skyblue","salmon","darkturquoise","plum2","darkorange2","royalblue","honeydew1","darkolivegreen","saddlebrown","purple","lightcyan","salmon4","thistle1","plum1","lightgreen","lightcyan1","floralwhite","lightpink4","white","ivory","brown4","paleturquoise","violet","midnightblue","darkslateblue","palevioletred3","lightyellow","darkgreen","lightsteelblue1","skyblue3","bisque4","thistle2","lavenderblush3","maroon"
"Vitvi07g01342",0,0,0,0.0467537050105857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075968992248062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245098039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01407",0,0,0,0.00835555555555556,0,0,0,0,0.00593119810201661,0,0,0,0,0,0,0,0.00135869565217391,0.00231481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01718",0,0,0.0692883895131086,0.000705467372134039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037037037037037,0,0,0,0,0,0
"Vitvi07g01719",0,0,0.0335820895522388,0.000884642604387827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127118644067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00395256916996047,0,0,0,0,0,0
"Vitvi07g02832",0,0,0,0.0119465917076599,0,0,0,0.00125786163522013,0.00429184549356223,0,0,0,0,0,0,0,0,0,0,0,0.14902807775378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g03086",0,0.00865800865800866,0.153846153846154,0,0,0,0,0,0,0,0.00183630640083945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318471337579618,0,0,0,0,0,0
"Vitvi08g00957",0,0,0,0.00106477373558119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00995024875621891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194931773879142,0.00353356890459364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01333",0,0,0,0.00105950909411972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127186009538951,0,0,0,0,0,0,0.0118110236220472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226537216828479,0,0,0.110655737704918,0,0,0,0,0,0,0
"Vitvi08g01617",0,0,0,0.00408453205469721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00810372771474878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241379310344828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392156862745098,0,0,0,0,0,0,0
"Vitvi08g01846",0,0,0,0.00106609808102345,0,0,0,0,0.0087173100871731,0,0,0,0,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0.00431034482758621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
