"genotype","n_nodes","n_edges","density","mean_degree","clustering"
"Susceptible",9459,1019778,0.0227977033959273,215.620678718681,0.586152897969974
"Rpv12",9459,2251082,0.0503241879663131,475.96616978539,0.619981818120369
"Rpv12+1",9459,1937790,0.0433203713588585,409.724072312084,0.650598761992779
"Rpv12+1+3",9459,451999,0.0101046886060062,95.5701448356063,0.475665058585739
