"time","n_nodes","n_edges","density","mean_degree","clustering"
"0 hpi",9459,1330400,0.029741830670932,281.298234485675,0.636046357521531
"6 hpi",9459,598858,0.0133878030907494,126.621841632308,0.506313841143453
"24 hpi",9459,513925,0.0114890787188505,108.663706522888,0.535588262544892
