"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04000"	0.0335575369314939	0.535589125742595	0.7	0.676840133643119	0.804139596136962	-0.033557536931494	"F6HQV9"
"Vitvi01g04001"	-0.166432734231868	0.213836607571624	0.4	0.371499049561297	0.591289611930181	0.166432734231867	"D7UC20"
"Vitvi01g04002"	-0.844009013997712	0.0210138515906799	0.1	0.0878312541569242	0.225070955534532	0.844009013997709	"F6HF07"
"Vitvi01g04003"	-0.135646298576173	0.0503596861799939	0.1	0.147908263484204	0.225070955534532	0.135646298576173	NA
"Vitvi01g04004"	-0.190410669919714	0.332790345340042	0.1	0.496991984660364	0.225070955534532	0.190410669919714	"F6HYH6"
"Vitvi01g04005"	-0.622420151856313	0.00605887619261147	0.1	0.0452772387256117	0.225070955534532	0.622420151856313	"D7SQ27"
"Vitvi01g00002"	0.622313970636845	0.0350240300060059	0.1	0.118080886527592	0.225070955534532	-0.622313970636847	"F6HF06"
"Vitvi01g00005"	-0.0845091385656024	0.0988767100573065	0.2	0.227893660867505	0.362677569122029	0.0845091385656005	"F6HF05"
"Vitvi01g01834"	0.610410727135877	0.121027958256809	0.2	0.256128538664268	0.362677569122029	-0.61041072713588	"F6HF04"
"Vitvi01g00006"	-0.129685459426103	0.294068023154317	0.7	0.458691428618067	0.804139596136962	0.129685459426099	"F6HF03"
"Vitvi01g01835"	1.0117529042718	0.145117394418408	0.4	0.287959453707645	0.591289611930181	-1.0117529042718	"F6HF02"
"Vitvi01g01836"	0.02684167981342	0.828981478858934	0.7	0.892117297374654	0.804139596136962	-0.0268416798134201	"F6HF01"
"Vitvi01g00008"	0.12253125011541	0.296716726025663	0.4	0.461179571252537	0.591289611930181	-0.12253125011541	"Q6E6S7"
"Vitvi01g00011"	0.474529157952607	0.0439229378157687	0.1	0.135617670504253	0.225070955534532	-0.474529157952607	"D7T9Z7"
"Vitvi01g00012"	-0.308792531051705	0.190153234366913	0.7	0.343630964032024	0.804139596136962	0.308792531051703	"F6HF00"
"Vitvi01g01837"	0.335812018689418	0.164626034476566	0.1	0.312642653001374	0.225070955534532	-0.335812018689419	"F6HEZ9"
"Vitvi01g00014"	0.237316654356129	0.328173131694479	0.4	0.492497241992428	0.591289611930181	-0.23731665435613	"D7T9Z3"
"Vitvi01g01838"	0.297715888136517	0.0245390002633657	0.1	0.0959227904829292	0.225070955534532	-0.297715888136519	"F6HEZ8"
"Vitvi01g00015"	-0.0677133585339603	0.580618176623943	1	0.713342585167698	1	0.0677133585339603	"F6HEZ7"
"Vitvi01g00019"	-0.0153374135984065	0.101318397758548	0.2	0.231159646987223	0.362677569122029	0.0153374135984066	"D7T9Y8"
"Vitvi01g00023"	-0.000728663090098947	0.996454569144376	0.7	0.998285655983277	0.804139596136962	0.000728663090097115	"D7T9Y7"
"Vitvi01g00024"	-0.0103232124393583	0.804821809745146	1	0.875666129765466	1	0.0103232124393564	"F6HEZ6"
"Vitvi01g00025"	-0.269124048280657	0.0514649205472627	0.1	0.149909339470316	0.225070955534532	0.269124048280656	"D7T9Y5"
"Vitvi01g00026"	0.209737147398764	0.0767053616339319	0.1	0.193288647915105	0.225070955534532	-0.209737147398766	"A5BJC3"
"Vitvi01g00027"	0.163481114325997	0.506797091065768	0.7	0.652483178003546	0.804139596136962	-0.163481114325997	"F6HFV3"
"Vitvi01g04008"	-0.0132348596287014	0.938199360521987	1	0.963493409681339	1	0.0132348596287004	"F6HDF3"
"Vitvi01g00028"	-0.308755446010783	0.00777107141494028	0.1	0.051366135430532	0.225070955534532	0.308755446010782	"D7T9Y2"
"Vitvi01g00029"	0.0355236747018306	0.53381460711269	1	0.675359979682911	1	-0.0355236747018335	"F6HFV2"
"Vitvi01g00031"	-0.328214392518318	0.133191242536644	0.2	0.27187844196111	0.362677569122029	0.328214392518317	"F6HFV1"
