"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04000"	0.0597577640899626	0.395179520296521	0.4	0.732501265522004	0.732666060054595	-0.0597577640899627	"F6HQV9"
"Vitvi01g04001"	0.539319622173656	0.0847182304587432	0.1	0.411850524405508	0.447945908935296	-0.539319622173657	"D7UC20"
"Vitvi01g04002"	-1.07466073697751	0.00693246307606806	0.1	0.165266949184154	0.447945908935296	1.07466073697751	"F6HF07"
"Vitvi01g04003"	-0.034048701524378	0.434406264921093	0.7	0.75497994373261	0.900029479683585	0.034048701524378	NA
"Vitvi01g04004"	-0.016310899243584	0.844625535602696	1	0.948376273929529	1	0.016310899243584	"F6HYH6"
"Vitvi01g04005"	-0.669704278225195	0.0441306896835097	0.1	0.316033324202625	0.447945908935296	0.669704278225193	"D7SQ27"
"Vitvi01g00002"	0.0204958451411597	0.977365141371831	1	0.992497803048484	1	-0.0204958451411601	"F6HF06"
"Vitvi01g00005"	-0.0176160841571684	0.768045132013143	1	0.91782564692942	1	0.0176160841571669	"F6HF05"
"Vitvi01g01834"	0.070077487393674	0.855920311985761	0.7	0.950986228690841	0.900029479683585	-0.0700774873936769	"F6HF04"
"Vitvi01g00006"	0.0993756573348662	0.477500784166168	0.7	0.781568552717317	0.900029479683585	-0.0993756573348676	"F6HF03"
"Vitvi01g01835"	0.0511195252129088	0.936380786359962	1	0.9793041642656	1	-0.0511195252129095	"F6HF02"
"Vitvi01g01836"	-0.0411701859231436	0.864984497048987	0.7	0.954250634596979	0.900029479683585	0.0411701859231435	"F6HF01"
"Vitvi01g00008"	0.06441167380768	0.651477692747702	1	0.867358811094752	1	-0.0644116738076801	"Q6E6S7"
"Vitvi01g00011"	0.345789072873893	0.275846444504769	0.7	0.646039644383155	0.900029479683585	-0.345789072873893	"D7T9Z7"
"Vitvi01g00012"	-0.217621721312298	0.461205549746977	1	0.770295531617818	1	0.217621721312296	"F6HF00"
"Vitvi01g01837"	0.323961345499661	0.407153394218081	0.4	0.739710995091153	0.732666060054595	-0.323961345499661	"F6HEZ9"
"Vitvi01g00014"	0.274175760157203	0.365181188867732	0.4	0.716556796527933	0.732666060054595	-0.274175760157203	"D7T9Z3"
"Vitvi01g01838"	0.66890272816033	0.0596282297642083	0.1	0.355008404416156	0.447945908935296	-0.668902728160333	"F6HEZ8"
"Vitvi01g00015"	-0.0508823506229141	0.737911292043261	0.7	0.906020871427325	0.900029479683585	0.050882350622914	"F6HEZ7"
"Vitvi01g00019"	-0.112882676696123	0.328057698961773	0.4	0.689959317874992	0.732666060054595	0.112882676696123	"D7T9Y8"
