"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04000"	-0.269540638256128	0.113933233664353	0.2	0.309671586545667	0.413281743524953	0.269540638256128	"F6HQV9"
"Vitvi01g04001"	-0.134448526376571	0.502886832985786	0.7	0.678480223901483	0.819280826512814	0.13444852637657	"D7UC20"
"Vitvi01g04002"	-1.13261006601857	0.00934364453489012	0.1	0.0993096119491316	0.28382863340564	1.13261006601857	"F6HF07"
"Vitvi01g04003"	-0.130468390994028	0.379744837604875	1	0.577488938095531	1	0.130468390994028	NA
"Vitvi01g04004"	-0.257096524563986	0.105584845605865	0.2	0.297902946054973	0.413281743524953	0.257096524563986	"F6HYH6"
"Vitvi01g04005"	-0.634976119036871	0.100948254269267	0.2	0.291515655039998	0.413281743524953	0.634976119036869	"D7SQ27"
"Vitvi01g00002"	0.796473667901965	0.097180987688984	0.2	0.286323943574986	0.413281743524953	-0.796473667901966	"F6HF06"
"Vitvi01g00005"	-0.0273373090183341	0.601859029880858	1	0.755976504270008	1	0.0273373090183338	"F6HF05"
"Vitvi01g01834"	-0.298651988071477	0.204473842182537	0.4	0.417613047379599	0.610142224294707	0.298651988071477	"F6HF04"
"Vitvi01g00006"	-0.0393532752175671	0.493361514946031	0.7	0.671457119025519	0.819280826512814	0.0393532752175663	"F6HF03"
"Vitvi01g01835"	0.58159226480479	0.343911462249265	0.7	0.554930083055818	0.819280826512814	-0.581592264804789	"F6HF02"
"Vitvi01g01836"	0.13858208834931	0.0916817894448999	0.1	0.277174300829897	0.28382863340564	-0.13858208834931	"F6HF01"
"Vitvi01g00008"	0.0841562590481066	0.589685549949523	0.4	0.746600278515123	0.610142224294707	-0.0841562590481069	"Q6E6S7"
"Vitvi01g00011"	0.44066692449275	0.18966759695242	0.4	0.401630712177226	0.610142224294707	-0.44066692449275	"D7T9Z7"
"Vitvi01g00012"	0.62685572793347	0.156636547845144	0.1	0.363324040113417	0.28382863340564	-0.626855727933471	"F6HF00"
"Vitvi01g01837"	0.33460899001471	0.407235460152423	0.4	0.598407165738295	0.610142224294707	-0.334608990014711	"F6HEZ9"
"Vitvi01g00014"	0.363141927881486	0.222072209593101	0.4	0.436210940859898	0.610142224294707	-0.363141927881487	"D7T9Z3"
"Vitvi01g01838"	0.818338637930433	0.00849229484008371	0.1	0.0953504546222101	0.28382863340564	-0.818338637930434	"F6HEZ8"
"Vitvi01g00015"	-0.0497530451957085	0.612131628191193	1	0.763161123147348	1	0.0497530451957083	"F6HEZ7"
"Vitvi01g00019"	0.00188630436667004	0.884988747928039	0.4	0.945314933039261	0.610142224294707	-0.00188630436666992	"D7T9Y8"
"Vitvi01g00023"	-0.0232041062603513	0.822627309822288	1	0.907407438490114	1	0.0232041062603514	"D7T9Y7"
"Vitvi01g00024"	-0.455914902280423	0.000417106742429494	0.1	0.0399826605957415	0.28382863340564	0.455914902280421	"F6HEZ6"
"Vitvi01g00025"	-0.0823893427489975	0.567976304733933	0.7	0.729204332953064	0.819280826512814	0.0823893427489963	"D7T9Y5"
"Vitvi01g00026"	0.250862637482297	0.365764579309338	0.4	0.567905456413279	0.610142224294707	-0.2508626374823	"A5BJC3"
"Vitvi01g00027"	-0.144094043540242	0.179069392077994	0.2	0.388949777663432	0.413281743524953	0.144094043540241	"F6HFV3"
"Vitvi01g04008"	-0.182768498952074	0.405072420837896	0.4	0.596496549485505	0.610142224294707	0.182768498952074	"F6HDF3"
"Vitvi01g00028"	-0.145647264128421	0.173690339690372	0.4	0.382813857006303	0.610142224294707	0.145647264128419	"D7T9Y2"
"Vitvi01g00029"	-0.183520346274836	0.0910781370724034	0.2	0.276210889911661	0.413281743524953	0.183520346274834	"F6HFV2"
