"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g01841"	0.0402546126491655	0.177517983486369	0.2	0.386512892521054	0.409658735128366	-0.0402546126491661	"D7T9V9"
"Vitvi01g00052"	-0.74520264744481	0.135067285047168	0.1	0.338852594944626	0.263508206625717	0.74520264744481	"F6HF88"
"Vitvi01g00053"	-0.366787449650274	0.234876185712161	0.7	0.447087872172796	0.824517261556466	0.366787449650273	"D7T9V7"
"Vitvi01g00054"	0.124930713552633	0.257225321866547	0.2	0.470393392587398	0.409658735128366	-0.124930713552635	"D7T9V6"
"Vitvi01g00055"	-0.323401784419747	0.198038938171415	0.1	0.408455309978544	0.263508206625717	0.323401784419746	"F6HF87"
"Vitvi01g01842"	0.0732461324654194	0.769180300966954	1	0.863208025476452	1	-0.0732461324654201	"F6HF86"
"Vitvi01g00056"	-0.192037509983668	0.20564379260243	0.2	0.416665854137506	0.409658735128366	0.192037509983665	"D7T9V3"
"Vitvi01g00058"	0.0666796282297643	0.495140370351863	0.7	0.671444683195288	0.824517261556466	-0.0666796282297657	"F6HF85"
"Vitvi01g01843"	0.115264183916185	0.481939372681221	0.4	0.660861006272001	0.621776061776062	-0.115264183916187	"F6HF84"
"Vitvi01g00059"	0.516390097536396	0.169599302036434	0.2	0.378379448509612	0.409658735128366	-0.516390097536396	"A5BGC6"
"Vitvi01g00060"	0.189433573727531	0.200242166837691	0.4	0.410830828936855	0.621776061776062	-0.189433573727532	"A5BGC5"
"Vitvi01g00061"	-0.467745151420067	0.235083308189425	0.2	0.447215403606358	0.409658735128366	0.467745151420065	"F6HF82"
"Vitvi01g00062"	0.436487653228199	0.00279733576784713	0.1	0.0714007515576085	0.263508206625717	-0.4364876532282	"F6HF81"
"Vitvi01g00063"	-0.301091572700524	0.215796238755377	0.4	0.428140392114439	0.621776061776062	0.301091572700523	"F6HF80"
"Vitvi01g01844"	0.456660250864113	0.264637787070461	0.4	0.476818111391277	0.621776061776062	-0.456660250864116	"F6HF79"
"Vitvi01g00064"	0.954022770034302	0.00669552337175356	0.1	0.0954582599882724	0.263508206625717	-0.954022770034303	"F6HF78"
"Vitvi01g00065"	0.35056238237518	0.0763784648039488	0.2	0.261171833980731	0.409658735128366	-0.35056238237518	"F6HF77"
"Vitvi01g00066"	0.603827645098596	0.472044078686403	0.4	0.653213552701839	0.621776061776062	-0.603827645098598	"F6HF76"
"Vitvi01g00067"	0.816994022838586	0.153880110904781	0.2	0.360478376599358	0.409658735128366	-0.816994022838586	"F6HF75"
"Vitvi01g04012"	0.0526166606561689	0.625504906343533	1	0.770769783590146	1	-0.0526166606561702	"F6HF74"
"Vitvi01g04013"	0.123247334329466	0.551160498661939	0.4	0.714509162086341	0.621776061776062	-0.123247334329466	"F6HF74"
"Vitvi01g00070"	-0.231285881280166	0.0804350122221442	0.2	0.267289375852862	0.409658735128366	0.231285881280165	"F6HF73"
"Vitvi01g04014"	-0.343216444464031	5.26801370834485e-05	0.1	0.0283514245615358	0.263508206625717	0.34321644446403	NA
"Vitvi01g00071"	0.0197587672566978	0.806528605146448	1	0.888268077901094	1	-0.0197587672567003	"F6HF72"
"Vitvi01g00073"	-0.0685676758788116	0.309245157750932	0.7	0.51907252045026	0.824517261556466	0.0685676758788117	"D7T9T6"
"Vitvi01g01845"	-0.551802902880675	0.0404494799429129	0.1	0.195548177280948	0.263508206625717	0.551802902880674	"D7T9T5"
"Vitvi01g01846"	-0.32826012022467	0.1087843614465	0.1	0.30739740500887	0.263508206625717	0.328260120224668	"F6HF70"
"Vitvi01g00074"	-0.110636557687302	0.433874388452923	0.7	0.62341057511629	0.824517261556466	0.1106365576873	"F6HF69"
"Vitvi01g00075"	0.749335951561466	0.0126420079106811	0.1	0.122721697824686	0.263508206625717	-0.749335951561466	"A5BTC6"
"Vitvi01g00076"	0.047161944794899	0.533571641117713	0.7	0.700041927023435	0.824517261556466	-0.047161944794901	"F6HEZ4"
"Vitvi01g00077"	0.379038839173332	0.0084346058438186	0.1	0.103919585841285	0.263508206625717	-0.379038839173333	"D7T9T0"
"Vitvi01g00078"	0.518632696023497	0.021482187292167	0.1	0.149598750269284	0.263508206625717	-0.518632696023498	"F6HEZ3"
"Vitvi01g00079"	0.312991195136719	0.166963735446087	0.2	0.375363349471664	0.409658735128366	-0.31299119513672	"A5AY98"
"Vitvi01g00080"	-0.2323493686298	0.188001796279591	0.1	0.397818307337319	0.263508206625717	0.2323493686298	"F6HEZ1"
"Vitvi01g01847"	0.176773122340316	0.125929526299879	0.2	0.329149997377301	0.409658735128366	-0.176773122340316	"F6HEZ0"
"Vitvi01g00081"	0.316273499508131	0.02013026016548	0.1	0.146334555178292	0.263508206625717	-0.316273499508133	"D7T9S4"
"Vitvi01g00082"	0.211411084632343	0.0754595746821052	0.1	0.259794975642154	0.263508206625717	-0.211411084632344	"D7T9S3"
"Vitvi01g01848"	0.429062664090546	0.189275741914934	0.2	0.399621257893726	0.409658735128366	-0.429062664090547	"F6HEY9"
"Vitvi01g01849"	-0.000384761453766585	0.930169814949476	1	0.96207303451171	1	0.000384761453766647	"F6HEY8"
"Vitvi01g04015"	-0.310890060537377	0.297677421624873	0.7	0.508753007802381	0.824517261556466	0.310890060537377	"F6HEY5"
"Vitvi01g01850"	0.0855967125648007	0.192120951885269	0.1	0.402048235896491	0.263508206625717	-0.0855967125648006	"F6HEY9"
"Vitvi01g04016"	-0.0110698000630105	0.189108573371832	0.7	0.399417454121669	0.824517261556466	0.0110698000630107	"F6HEY9"
"Vitvi01g04017"	-1.13910125827156	0.0137863230791246	0.1	0.127506938384981	0.263508206625717	1.13910125827156	"F6HEY6"
"Vitvi01g01852"	1.56307442569031	0.0501420248344095	0.1	0.214872497995953	0.263508206625717	-1.56307442569031	"F6HEY5"
"Vitvi01g01853"	0.204903809866572	0.470279996887035	1	0.651850196646657	1	-0.204903809866573	"F6HEY9"
"Vitvi01g04018"	0.469550301729284	0.057229140800474	0.1	0.227808256413552	0.263508206625717	-0.469550301729284	"F6HEY5"
"Vitvi01g00083"	3.23531586223084	0.00822762394033251	0.1	0.103513793699308	0.263508206625717	-3.23531586223084	"F6HEY4"
"Vitvi01g04022"	0.0557705869868683	0.639531734279495	1	0.780027842281573	1	-0.0557705869868705	"F6HEY3"
"Vitvi01g01854"	0.00143257493654915	0.992676189211344	1	0.995567516018537	1	-0.00143257493655113	"F6HEY2"
"Vitvi01g01855"	0.282490907531335	0.00372470045642365	0.1	0.0788605875761735	0.263508206625717	-0.282490907531335	"F6HEY1"
"Vitvi01g00085"	-0.0999542490502349	0.178988174884089	0.2	0.387723925228659	0.409658735128366	0.0999542490502332	"F6HEY0"
"Vitvi01g01856"	0.00588514895328203	0.954467302853128	1	0.974722829989831	1	-0.00588514895328274	"F6HEX9"
"Vitvi01g00086"	0.346654620862531	0.0160119819673893	0.1	0.135070873711864	0.263508206625717	-0.346654620862534	"D7T9R5"
"Vitvi01g01857"	0.153251672405127	0.565764965399004	0.7	0.725096975144397	0.824517261556466	-0.153251672405126	"D7T9R4"
"Vitvi01g01858"	0.0260009668658459	0.854102674089302	1	0.916025117960777	1	-0.0260009668658467	"F6HEX8"
"Vitvi01g00087"	-0.558890960095285	0.00503691271128985	0.1	0.0860327778908763	0.263508206625717	0.558890960095283	"D7T9R2"
"Vitvi01g00088"	1.17065805249203	0.0011986540094862	0.1	0.0569284514959065	0.263508206625717	-1.17065805249203	"F6HFU1"
"Vitvi01g00089"	-0.0581366363998651	0.655883229186113	0.7	0.791639858865792	0.824517261556466	0.0581366363998637	"F6HFU0"
"Vitvi01g01859"	-0.239913136217634	0.00535864500058866	0.1	0.087099615540624	0.263508206625717	0.239913136217634	"F6HFT9"
"Vitvi01g00090"	0.66293529488649	0.0553361768597926	0.1	0.224336547210521	0.263508206625717	-0.66293529488649	"D7T9Q8"
"Vitvi01g00091"	-0.743114313304724	0.0796790770932115	0.1	0.266231073602177	0.263508206625717	0.743114313304723	"D7T9Q7"
"Vitvi01g00092"	0.00312886594803915	0.980821358600317	1	0.989175047526272	1	-0.00312886594803885	"D7T9Q5"
"Vitvi01g00095"	0.206312493980446	0.491009425797793	0.7	0.66800623941909	0.824517261556466	-0.206312493980447	"D7T9Q3"
"Vitvi01g00097"	0.255781804300466	0.050089512764723	0.1	0.214872497995953	0.263508206625717	-0.255781804300467	"D7T9Q0"
"Vitvi01g00098"	0.262446636420531	0.0464757562025907	0.1	0.207263814598772	0.263508206625717	-0.262446636420533	"D7T9P9"
"Vitvi01g04023"	-0.0561765257329441	0.713747589255112	1	0.827781451126441	1	0.0561765257329436	NA
"Vitvi01g04024"	0.298152124221399	0.0644073900977055	0.1	0.24050213326688	0.263508206625717	-0.2981521242214	NA
"Vitvi01g00099"	0.0379985109197885	0.699520051038882	1	0.818938854544647	1	-0.03799851091979	"A5BDR5"
"Vitvi01g04025"	-0.00562472335802495	0.962692664680224	1	0.979233621314179	1	0.00562472335802333	"F6HFT6"
"Vitvi01g00101"	-0.702550679705367	0.0469221482883409	0.1	0.208267328666598	0.263508206625717	0.702550679705367	"F6HFT5"
"Vitvi01g00102"	-0.144410311920157	0.310216593873443	0.7	0.519943511117242	0.824517261556466	0.144410311920156	"F6HFT5"
"Vitvi01g00103"	0.429913875017998	0.0422477960122254	0.1	0.199275878486649	0.263508206625717	-0.429913875018	"F6HFT4"
"Vitvi01g00104"	-1.3630964666271	0.126637929181342	0.1	0.329717238955978	0.263508206625717	1.3630964666271	"F6HFT3"
"Vitvi01g00105"	0.297797269812853	0.115329751789077	0.1	0.315631068246012	0.263508206625717	-0.297797269812853	"D7T9P2"
"Vitvi01g01862"	-0.983967893415514	0.0307456269739761	0.1	0.173901809587562	0.263508206625717	0.983967893415513	"A5BMU1"
"Vitvi01g00106"	0.0577859532324665	0.739629706696834	0.7	0.845615880304701	0.824517261556466	-0.0577859532324663	"D7T9P1"
"Vitvi01g04028"	-0.242281400100594	0.296216776149091	0.4	0.507376411509724	0.621776061776062	0.242281400100593	"D7FBB4"
"Vitvi01g01865"	-1.09160859681336	0.00717904842007369	0.1	0.0984598098199733	0.263508206625717	1.09160859681336	"F6HFT2"
"Vitvi01g00108"	-0.260910917922436	0.0672989405749715	0.1	0.245661316209573	0.263508206625717	0.260910917922432	"A5B663"
"Vitvi01g01866"	0.116906717417186	0.253941285345852	0.4	0.467162706236598	0.621776061776062	-0.116906717417187	"D7T9N8"
"Vitvi01g00110"	0.11220706781819	0.437959283939572	0.7	0.626864108812265	0.824517261556466	-0.11220706781819	"D7T9N6"
"Vitvi01g00111"	0.174377359423018	0.179443161717673	0.4	0.388305721573282	0.621776061776062	-0.174377359423018	"F6HFS9"
"Vitvi01g00112"	0.00885054775113282	0.889785354705936	1	0.937730777950933	1	-0.00885054775113403	"D7T9N2"
"Vitvi01g00113"	-0.103253752604596	0.397316129745941	0.7	0.593719922293819	0.824517261556466	0.103253752604594	"D7T9N0"
"Vitvi01g00114"	0.0897967438222964	0.635415840135509	0.7	0.777381819565504	0.824517261556466	-0.0897967438222977	"F6HF68"
"Vitvi01g04029"	0.0870843316881225	0.392441884478468	0.7	0.59035477551834	0.824517261556466	-0.0870843316881231	NA
"Vitvi01g04030"	0.22223127100842	0.317254703306574	0.4	0.526614084279244	0.621776061776062	-0.22223127100842	NA
"Vitvi01g00115"	0.133617471597267	0.052099330702934	0.1	0.218807155378764	0.263508206625717	-0.133617471597267	"D7T9M8"
"Vitvi01g00116"	0.336064257817666	0.00604892287268191	0.1	0.0919186808198303	0.263508206625717	-0.336064257817668	"F6HF67"
"Vitvi01g00119"	-0.127439963414771	0.243319790436322	0.7	0.456237979958316	0.824517261556466	0.127439963414767	"F6HF66"
"Vitvi01g04031"	-0.0220269552980608	0.910125765138747	1	0.94984998370475	1	0.0220269552980605	NA
"Vitvi01g00120"	-0.150489966447569	0.074771216497048	0.2	0.258849585334425	0.409658735128366	0.150489966447566	"D7T9M5"
"Vitvi01g00121"	-0.032795171849503	0.393425845621972	0.4	0.590883893140575	0.621776061776062	0.0327951718494983	"A5B0U6"
"Vitvi01g00122"	0.196201581668564	0.0845407567981036	0.1	0.2741106510531	0.263508206625717	-0.196201581668568	"A5AHN8"
"Vitvi01g00124"	-0.118301374570902	0.289457263964507	0.2	0.500780585791827	0.409658735128366	0.118301374570901	"D7T9M0"
"Vitvi01g00128"	-0.0901383868501018	0.463116529439481	1	0.646754068076042	1	0.0901383868501	"D7T9L8"
"Vitvi01g01871"	-0.0852954179412138	0.515703184515765	0.7	0.686790668478018	0.824517261556466	0.0852954179412137	"F6HF62"
"Vitvi01g04032"	-0.166094691610704	0.357381237332852	0.4	0.561497934663989	0.621776061776062	0.166094691610703	"F6HF62"
"Vitvi01g01873"	0.154015099627759	0.393959235861487	0.4	0.591243863236752	0.621776061776062	-0.15401509962776	"F6HF62"
"Vitvi01g00129"	0.150480531555946	0.0925383058499617	0.2	0.286821618593823	0.409658735128366	-0.150480531555947	"F6HLW7"
"Vitvi01g00130"	-0.13815950031027	0.187759948182086	0.2	0.397531560192314	0.409658735128366	0.138159500310266	"F6HF61"
"Vitvi01g00131"	0.0739736318325632	0.509970162419138	0.7	0.682629625593167	0.824517261556466	-0.0739736318325654	"F6HF60"
"Vitvi01g00132"	0.645239903817568	0.00025036898374003	0.1	0.0394693128644148	0.263508206625717	-0.64523990381757	"F6HF59"
"Vitvi01g00133"	0.470913927475009	0.0196146892162847	0.1	0.145081063341141	0.263508206625717	-0.47091392747501	"D7T9L4"
"Vitvi01g00134"	-0.532603958737303	0.0282050166430283	0.1	0.166613336463072	0.263508206625717	0.532603958737299	"D7T9L3"
"Vitvi01g00135"	0.102284733799331	0.0687544233050276	0.1	0.247930894787001	0.263508206625717	-0.102284733799333	"D7T9L2"
"Vitvi01g01874"	0.335136045078428	0.011549642270163	0.1	0.117919517829573	0.263508206625717	-0.33513604507843	"D7T9L1"
"Vitvi01g00136"	0.0956202125763983	0.201920047423061	0.4	0.412757382453901	0.621776061776062	-0.0956202125763994	"A5BQJ0"
"Vitvi01g01875"	-0.21600213177551	0.0881395219144979	0.1	0.280017234426762	0.263508206625717	0.21600213177551	"F6HF58"
"Vitvi01g00137"	0.292007551645386	0.192990102174146	0.4	0.403081905759089	0.621776061776062	-0.292007551645385	"D7T9K9"
"Vitvi01g00138"	0.144800586044698	0.125985824378072	0.1	0.32924904851681	0.263508206625717	-0.144800586044701	"D7T9K7"
"Vitvi01g00139"	-0.234559899322704	0.171008534453109	0.2	0.379935637371915	0.409658735128366	0.234559899322699	"D7T9K6"
"Vitvi01g01876"	0.509562521359767	0.00452996254949903	0.1	0.0836462587285152	0.263508206625717	-0.509562521359767	"D7T9K5"
"Vitvi01g01877"	-0.287933938598768	0.250851585466067	0.4	0.463728111052663	0.621776061776062	0.287933938598766	"D7T9K4"
"Vitvi01g01878"	-0.0435238343618333	0.841069134896513	0.7	0.909177299335631	0.824517261556466	0.0435238343618352	"F6HF56"
"Vitvi01g01880"	0.122429326521363	0.551097554378566	0.4	0.714509162086341	0.621776061776062	-0.122429326521364	"D7UBL1"
"Vitvi01g04033"	-0.39357130080962	0.116430828878974	0.1	0.316920986159131	0.263508206625717	0.393571300809619	NA
"Vitvi01g01881"	-0.839437663743791	0.0140326091628457	0.1	0.128066137063534	0.263508206625717	0.839437663743789	"D7T9K2"
"Vitvi01g00140"	0.370167598197281	0.0508998274914358	0.1	0.216085239112867	0.263508206625717	-0.370167598197284	"D7T9J8"
"Vitvi01g04034"	-0.338949093314528	0.0676375676240066	0.1	0.246382092131143	0.263508206625717	0.338949093314527	"F6HFS8"
"Vitvi01g00142"	0.141879198217398	0.468312342954245	0.7	0.650683706379874	0.824517261556466	-0.141879198217401	"F6HFS7"
"Vitvi01g00143"	-0.328643083606336	0.00184138602118676	0.1	0.0637397232651273	0.263508206625717	0.328643083606332	"D7T9J5"
"Vitvi01g00145"	-0.231666781924482	0.491836499136844	0.4	0.668651324531772	0.621776061776062	0.23166678192448	"D7T9J4"
"Vitvi01g04036"	-0.00686360232564039	0.977089781492654	0.7	0.987504827246022	0.824517261556466	0.00686360232564009	NA
"Vitvi01g04037"	0.069550783761716	0.725164672530997	1	0.835301511477233	1	-0.0695507837617164	NA
"Vitvi01g00146"	0.0625746988909987	0.47960498551565	0.4	0.659110538071581	0.621776061776062	-0.0625746988909981	"F6HFS4"
"Vitvi01g00147"	-0.123740670094347	0.614589093090348	1	0.762268376483389	1	0.123740670094347	"F6HFS3"
"Vitvi01g00148"	-0.757663742853582	0.020189949280496	0.1	0.146415115170942	0.263508206625717	0.75766374285358	"D7T9J1"
"Vitvi01g00149"	-0.203669505422805	0.247739344336531	0.7	0.460664417137921	0.824517261556466	0.203669505422804	"F6HFS2"
"Vitvi01g00150"	0.0298229522844193	0.906278105122223	1	0.948162624752867	1	-0.0298229522844204	"F6HFS1"
