"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04000"	-0.168591887896453	0.0863507092672032	0.1	0.177459154174883	0.189164377620356	0.168591887896452	"F6HQV9"
"Vitvi01g04001"	-0.666533822523701	0.0315571524286711	0.1	0.0941215686492267	0.189164377620356	0.6665338225237	"D7UC20"
"Vitvi01g04002"	-1.01580903566188	0.00573942460098585	0.1	0.0422314314102732	0.189164377620356	1.01580903566188	"F6HF07"
"Vitvi01g04003"	-0.0613094461794104	0.400006945626864	0.7	0.522268563194886	0.780964358799454	0.0613094461794103	NA
"Vitvi01g04004"	-0.395761877124426	0.00527152656701993	0.1	0.0408984816876207	0.189164377620356	0.395761877124426	"F6HYH6"
"Vitvi01g04005"	-0.722001844815804	0.0138353814056128	0.1	0.0602784864131653	0.189164377620356	0.722001844815804	"D7SQ27"
"Vitvi01g00002"	1.68110226010602	0.00931666425301214	0.1	0.0504047522921386	0.189164377620356	-1.68110226010603	"F6HF06"
"Vitvi01g00005"	-0.191422554378803	0.00280936841324811	0.1	0.0332640153234427	0.189164377620356	0.1914225543788	"F6HF05"
"Vitvi01g01834"	0.561832822617352	0.0716061379325328	0.2	0.157189918929322	0.325020182574676	-0.561832822617355	"F6HF04"
"Vitvi01g00006"	-0.313877936809568	0.0254492783029755	0.1	0.0829849751841344	0.189164377620356	0.313877936809567	"F6HF03"
"Vitvi01g01835"	2.17194106003368	0.00819413481558704	0.1	0.0479626876150251	0.189164377620356	-2.17194106003368	"F6HF02"
"Vitvi01g01836"	0.155954572154033	0.0021558200410584	0.1	0.0308065190808676	0.189164377620356	-0.155954572154033	"F6HF01"
"Vitvi01g00008"	0.13791145519475	0.0548865289075799	0.1	0.132136667431689	0.189164377620356	-0.13791145519475	"Q6E6S7"
"Vitvi01g00011"	0.527182397966687	0.0226240923748064	0.1	0.07793544624397	0.189164377620356	-0.527182397966687	"D7T9Z7"
"Vitvi01g00012"	0.679625211540259	0.161943902560794	0.1	0.273736492574444	0.189164377620356	-0.679625211540261	"F6HF00"
"Vitvi01g01837"	0.900863810744261	0.0215139889831434	0.1	0.0757840325346454	0.189164377620356	-0.900863810744262	"F6HEZ9"
"Vitvi01g00014"	0.195332579324793	0.5093988959651	0.4	0.620338764414849	0.545017182130584	-0.195332579324793	"D7T9Z3"
"Vitvi01g01838"	0.308868696618091	0.309555602140655	0.7	0.433752439088606	0.780964358799454	-0.308868696618093	"F6HEZ8"
"Vitvi01g00015"	-0.0413775687176011	0.615734329884668	1	0.710581746284701	1	0.0413775687176011	"F6HEZ7"
"Vitvi01g00019"	-0.015888180288533	0.187657051894059	0.7	0.303098221887151	0.780964358799454	0.0158881802885333	"D7T9Y8"
"Vitvi01g00023"	-0.126156307269899	0.227638414953752	0.2	0.348061331050233	0.325020182574676	0.126156307269898	"D7T9Y7"
"Vitvi01g00024"	-0.109503002436793	0.328689955586112	0.4	0.453664949774945	0.545017182130584	0.109503002436792	"F6HEZ6"
"Vitvi01g00025"	-0.505488963545694	0.0554132829833196	0.1	0.132940062558718	0.189164377620356	0.505488963545693	"D7T9Y5"
"Vitvi01g00026"	0.200072426203431	0.0922650094908548	0.1	0.185440851745034	0.189164377620356	-0.200072426203434	"A5BJC3"
"Vitvi01g00027"	-0.110930981210731	0.339411296027158	0.4	0.464215346328398	0.545017182130584	0.11093098121073	"F6HFV3"
"Vitvi01g04008"	0.140273557706219	0.447426101574008	0.4	0.565801374895633	0.545017182130584	-0.14027355770622	"F6HDF3"
"Vitvi01g00028"	-0.265506030248427	0.0501090564185946	0.1	0.124737350104199	0.189164377620356	0.265506030248426	"D7T9Y2"
"Vitvi01g00029"	-0.158954586516369	0.0611969247561113	0.1	0.142023973389737	0.189164377620356	0.158954586516368	"F6HFV2"
"Vitvi01g00031"	-0.718883177151041	0.0422318053864304	0.1	0.112051517302798	0.189164377620356	0.71888317715104	"F6HFV1"
"Vitvi01g00033"	0.837342749182832	0.045257448731153	0.1	0.116891253044369	0.189164377620356	-0.837342749182833	"D7T9X8"
"Vitvi01g00034"	-0.768172100360135	0.00849912744162826	0.1	0.0485215453936533	0.189164377620356	0.768172100360134	"F6HFV0"
"Vitvi01g00035"	-0.317281060816835	0.0120468559293885	0.1	0.0566085100736947	0.189164377620356	0.317281060816834	"D7T9X6"
"Vitvi01g00036"	1.15599419598839	0.0503253405927116	0.1	0.124866202519263	0.189164377620356	-1.15599419598839	"D7T9X5"
"Vitvi01g00037"	-0.57067533742037	0.000598038726961762	0.1	0.0222020109763182	0.189164377620356	0.570675337420367	"F6HFU9"
"Vitvi01g00038"	-0.3296755114332	0.0111886043833063	0.1	0.0545139802842566	0.189164377620356	0.3296755114332	"F6H489"
"Vitvi01g01840"	-0.267212645570613	0.188201298594955	0.4	0.303658658544384	0.545017182130584	0.26721264557061	"F6HFU7"
"Vitvi01g00039"	-0.232388711399134	0.0267805883849249	0.1	0.0853067106489664	0.189164377620356	0.232388711399132	"F6HFU6"
"Vitvi01g00041"	-0.046015947617968	0.789238648962215	0.7	0.848391249988931	0.780964358799454	0.0460159476179669	"F6HFU5"
"Vitvi01g04009"	-0.170312537610151	0.408480221471801	0.4	0.530050028050556	0.545017182130584	0.17031253761015	NA
"Vitvi01g00042"	0.00419600590136325	0.943519425799527	0.7	0.961149124284628	0.780964358799454	-0.00419600590136504	"D7T9W8"
"Vitvi01g00043"	0.0116017479402855	0.914655662179173	1	0.940828741934939	1	-0.0116017479402863	"D7T9W7"
"Vitvi01g00045"	-0.358870911585378	0.0456965671588786	0.1	0.117619107502773	0.189164377620356	0.358870911585376	"D7T9W6"
"Vitvi01g00046"	-0.833341210254858	0.0138711262559848	0.1	0.0602979240851939	0.189164377620356	0.833341210254857	"D7T9W5"
"Vitvi01g00047"	-0.607945169495345	0.109305519562729	0.2	0.208682873089447	0.325020182574676	0.607945169495343	"F6HFU4"
"Vitvi01g00048"	0.040306973847871	0.820352233027285	0.7	0.872674698621586	0.780964358799454	-0.0403069738478727	"F6HFU3"
"Vitvi01g00049"	-0.058288136908636	0.353405651503739	0.7	0.477749379801702	0.780964358799454	0.058288136908633	"D7T9W2"
"Vitvi01g00050"	0.952681993659134	0.000561004646148456	0.1	0.0220796842307347	0.189164377620356	-0.952681993659137	"D7T9W1"
"Vitvi01g00051"	0.605891162038732	0.0156333258535819	0.1	0.0636811850637814	0.189164377620356	-0.605891162038734	"A5AZD0"
"Vitvi01g01841"	-0.236723320720267	0.0360126624608258	0.1	0.101780616508656	0.189164377620356	0.236723320720266	"D7T9V9"
"Vitvi01g00052"	2.5054769339461	0.00248034812935616	0.1	0.0320541681884865	0.189164377620356	-2.5054769339461	"F6HF88"
"Vitvi01g00053"	0.693430003046566	0.0874388048199951	0.1	0.178918295670846	0.189164377620356	-0.693430003046567	"D7T9V7"
"Vitvi01g00054"	-0.0121129954638132	0.89523085461651	0.7	0.928070999265517	0.780964358799454	0.0121129954638128	"D7T9V6"
"Vitvi01g00055"	0.0818667930456682	0.557973280013497	0.7	0.661934029859613	0.780964358799454	-0.0818667930456698	"F6HF87"
"Vitvi01g01842"	-0.142432100096901	0.338286899069682	0.4	0.463173225645085	0.545017182130584	0.1424321000969	"F6HF86"
"Vitvi01g00056"	0.5891550461616	0.0255396919637685	0.1	0.0831382260231195	0.189164377620356	-0.589155046161601	"D7T9V3"
"Vitvi01g00058"	0.131963634531934	0.134261705319047	0.2	0.240262441945972	0.325020182574676	-0.131963634531933	"F6HF85"
"Vitvi01g01843"	-0.0977077583066441	0.548574130321472	0.7	0.654641635112527	0.780964358799454	0.0977077583066439	"F6HF84"
"Vitvi01g00059"	0.627643837224883	0.0385527600481146	0.1	0.10602468908942	0.189164377620356	-0.627643837224883	"A5BGC6"
"Vitvi01g00060"	-0.0232899951513021	0.916336134713174	1	0.942112926150515	1	0.0232899951513001	"A5BGC5"
"Vitvi01g00061"	1.42911246027918	0.00490353254761552	0.1	0.0398387281088328	0.189164377620356	-1.42911246027918	"F6HF82"
"Vitvi01g00062"	-0.248990407746867	0.036050941084411	0.1	0.101792951795204	0.189164377620356	0.248990407746867	"F6HF81"
"Vitvi01g00063"	0.597743710652903	0.0635011907053756	0.1	0.145335198493001	0.189164377620356	-0.597743710652904	"F6HF80"
"Vitvi01g01844"	-0.792966119691968	0.0300569460564187	0.1	0.0913224452978544	0.189164377620356	0.792966119691968	"F6HF79"
"Vitvi01g00064"	0.750939662139251	0.00308876022213572	0.1	0.0340151759569678	0.189164377620356	-0.750939662139251	"F6HF78"
"Vitvi01g00065"	-0.211388578950044	0.382168406347044	0.7	0.505456637303942	0.780964358799454	0.211388578950043	"F6HF77"
"Vitvi01g00066"	-1.50041666770469	0.00380873409604181	0.1	0.0363800223012143	0.189164377620356	1.50041666770469	"F6HF76"
"Vitvi01g00067"	0.34261686292449	0.0447963247119256	0.1	0.116174886150219	0.189164377620356	-0.34261686292449	"F6HF75"
"Vitvi01g04012"	-0.16827612291191	0.0844235849833168	0.1	0.175005506408734	0.189164377620356	0.168276122911911	"F6HF74"
"Vitvi01g04013"	-0.700236148325701	0.0177121545574216	0.1	0.0680826933019768	0.189164377620356	0.7002361483257	"F6HF74"
"Vitvi01g00070"	0.217755875789534	0.0900252253886107	0.1	0.182385238305687	0.189164377620356	-0.217755875789534	"F6HF73"
"Vitvi01g04014"	0.32840528461426	0.0762580410528291	0.1	0.163552755347847	0.189164377620356	-0.32840528461426	NA
