"gene","annotation","mean_log2norm_0h_mock","mean_log2norm_12h_mock","mean_log2norm_12h_inoculated","log2FC_apeglm_12h_inoculated_vs_mock","padj_12h_inoculated_vs_mock","DE_primary_12h_inoculated_vs_mock","log2FC_apeglm_0h_to_12h_mock_drift","padj_0h_to_12h_mock_drift","DE_primary_0h_to_12h_mock_drift"
"Vitvi17g00964","SOBIR1",13.0757229440249,10.9903248355527,11.775132394575,6.84275902467397e-06,0.999831962291183,FALSE,-1.91603405636443,1.50186858314675e-08,TRUE
"Vitvi09g04536","GSO2",2.97324218606782,1.122041161497,1.80566738707209,4.84200027731388e-07,NA,FALSE,-0.479046032631663,0.152318684170497,FALSE
"Vitvi09g04548","LRR_RLP",1.01143517747874,0.448075627124472,0.734709726807344,1.04526076206523e-07,NA,FALSE,-0.0411890903975655,NA,FALSE
"Vitvi01g04416","LRR_RLP",0.592917460839317,0,1.45372666184815,4.0455855418248e-07,NA,FALSE,-0.042356015733767,NA,FALSE
"Vitvi09g01951","RGI1",0,0,0.429587754663871,1.57306926105086e-07,NA,FALSE,NA,NA,FALSE
"Vitvi09g04565","RLP",4.52541655502035,3.22522173483958,4.50175916636382,1.49951401320905e-06,0.999831962291183,FALSE,-0.300168922044989,0.39046592422018,FALSE
"Vitvi17g04216","EDS1",8.54780045313972,8.25469449803359,8.33112948056321,1.82193867172946e-06,0.999831962291183,FALSE,-0.23666258278033,0.448256878524235,FALSE
"Vitvi05g00637","ACD6",6.27514819764484,7.04100513905281,6.88375762268925,-4.67485332932475e-06,0.999831962291183,FALSE,0.290792085625432,0.442252583083201,FALSE
