"time","own_genotype","chitarrini_treatment","spearman_rho.mean","spearman_rho.median","spearman_rho.min","spearman_rho.max","spearman_rho.n_pairs"
"24","Rpv12","inoculated",0.766454303520986,0.767013814198581,0.758226969606486,0.777713958489398,9
"24","Susceptible","inoculated",0.811988866238667,0.828099963787174,0.76402356212255,0.843056005494107,9
"0","Rpv12","mock",0.804752886880308,0.807540495085897,0.774164504355801,0.831114694263125,9
"24","Rpv12","mock",0.759738137100553,0.758288505501748,0.747101397310852,0.778040603943047,9
"0","Susceptible","mock",0.802689861433632,0.805053110350078,0.774242381109681,0.824473602455229,9
"24","Susceptible","mock",0.80318958496133,0.813908362582837,0.760339272951735,0.838771986957737,9
