literature_name	vitvi_id	mapping_status	mapping_method	Rpv12|0	Rpv12|6	Rpv12|24	Rpv12+1|0	Rpv12+1|6	Rpv12+1|24	Rpv12+1+3|0	Rpv12+1+3|6	Rpv12+1+3|24
RDA2	NA	UNRESOLVED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIX1	NA	UNRESOLVED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIX2	NA	UNRESOLVED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIK2	Vitvi14g03057	SINGLE_CANDIDATE	annotation common name	5.06502680675108	2.02583370008243	-0.525117501885156	2.33388093733393	0.0515554176801548	-0.87600865691958	0.292448797473542	-0.15937655968965	-0.121487373590555
SOBIR1	Vitvi17g00964	SINGLE_CANDIDATE	annotation common name	1.73938277249025	0.426574166475514	-1.01877607299936	0.572454288993327	0.021033236137294	-1.35428528432376	-0.570961779199267	-0.7414252305525	-1.08302336606426
ZAR1	Vitvi01g04022	MULTIPLE_CANDIDATES	annotation common name	-0.253536560828265	0.589975786671252	0.329431080397176	-0.203756385119233	0.389300527634826	0.26156858486194	0.336730093100423	0.379558425566831	0.435717701839674
ZAR1	Vitvi03g01042	MULTIPLE_CANDIDATES	annotation common name	0.0355602108927129	-0.049200188751024	0.0481273267597754	0.0997109140084837	-0.0494727389555911	0.0549453550166981	-0.0537990631675336	-0.19065134007871	0.0287916714527243
ZAR1	Vitvi03g01856	MULTIPLE_CANDIDATES	annotation common name	0.417163892847034	-0.148155948613253	0.527270152315052	0.242439959707565	0.114245855323501	0.60878467872204	0.119840157846769	-0.414729929508862	-0.275294583964037
ZAR1	Vitvi03g01862	MULTIPLE_CANDIDATES	annotation common name	0.0845233000122425	-0.0965714128927088	0.321219988314859	0.239592044423181	-0.0122034251169251	0.354279287585268	-0.0492096573369902	-0.490261510625693	0.0942406031849028
ZAR1	Vitvi03g04490	MULTIPLE_CANDIDATES	annotation common name	-0.0388697512872249	-0.0637221507397059	0.477803249757706	0.201065127839814	0.139413554704172	0.437852952694594	-0.208301982248294	-0.170745244888506	-0.223986424096661
ZAR1	Vitvi04g01358	MULTIPLE_CANDIDATES	annotation common name	0.183165590349831	0.145194045524614	-0.190195360685663	-0.0456449846232283	0.111467510886565	-0.237925080569443	0.403908595805574	0.442469802050373	0.132523937420518
