gene	common_name	Rpv12.0	Rpv12.6	Rpv12.24	Rpv12.1.0	Rpv12.1.6	Rpv12.1.24	Rpv12.1.3.0	Rpv12.1.3.6	Rpv12.1.3.24	layer	label
Vitvi05g00637	ACD6	4.73258965708033	2.99444048641525	-0.213764054421374	-0.372360828488821	-0.328712352832188	-2.25618593711358	1.47784125311541	1.60880441545737	0.515918729226002	Defense action	ACD6 (Vitvi05g00637)
Vitvi02g04029	CSLG2	-1.58527427649307	0.0403204167267323	-1.97505480186106	-5.23103491005715	-3.2508661068048	-2.58133303404663	-0.105586576419778	0.457398171428836	0.158308483189026	Defense action	CSLG2 (Vitvi02g04029)
Vitvi08g01185	DPA	-2.09771744441778	-1.69266194194328	-1.12024497545935	-0.441396235758737	0.271892897355748	0.32460675568273	-2.89858879482092	-2.16251281766812	-1.98358218035358	Signal-integration	DPA (Vitvi08g01185)
Vitvi17g01520	EDS1	0.557890204503359	-0.545102651755218	-0.869682577905013	0.667319261132091	-0.10398627179013	-1.27878050544422	-3.32831479145782	-3.62600907952206	-4.64976216898265	Signaling hub	EDS1 (Vitvi17g01520)
Vitvi09g04535	EIX1	7.01709513417184	5.18102803845069	0.0691684641294422	3.37939515891901	0.275720389414691	-0.812978859997748	1.50070313095145	0.892986977373615	-0.121460264763787	Pattern recognition	EIX1 (Vitvi09g04535)
Vitvi12g01776	MAPKKK1	-5.42023259838717	-4.78894400751662	-5.95026488130739	-10.3031412522806	-8.90336221615031	-6.00888299874922	-10.3245077573632	-5.9509858969926	-10.1254196252417	Signal-integration	MAPKKK1 (Vitvi12g01776)
Vitvi14g03057	MIK2	5.06502680675108	2.02583370008243	-0.525117501885156	2.33388093733393	0.0515554176801548	-0.87600865691958	0.292448797473542	-0.15937655968965	-0.121487373590555	Pattern recognition	MIK2 (Vitvi14g03057)
Vitvi07g00393	MYB12	0.290427660607766	-3.04725751030012	-1.6514692015923	1.33898458211353	-0.0359649307851639	-0.183700363175784	-5.40800457510328	-3.33128982114454	-3.47944180704671	Signal-integration	MYB12 (Vitvi07g00393)
Vitvi19g01484	NAC21/22	-1.62133432833304	2.53302080173366	0.212653727424431	0.0626317071331742	1.46993706503879	1.53491021909583	3.49290885213432	3.97084595425607	2.51712272714302	Signal-integration	NAC21/22 (Vitvi19g01484)
Vitvi01g01038	NAC29	-0.701754374967945	1.73338146755553	-1.17270350700772	2.21184895772315	2.13160813946244	1.96608858345576	3.14158057816406	2.73395157851427	2.24984644105876	Signal-integration	NAC29 (Vitvi01g01038)
Vitvi04g04010	RGA4	-10.1744862146059	-11.2491219913123	-12.2838172587158	0.804074034993927	-0.0525023790413852	-2.96918614520207	-10.4621214157012	-10.9189688567611	-14.728255606325	Effector recognition	RGA4 (Vitvi04g04010)
Vitvi04g00179	RIPK	0.582258876005859	-0.0519954186011125	-2.49614880752427	0.376941319629812	-0.0685916098656871	-0.623217945713332	-0.202616884048519	-0.237117176707606	-0.107245481017433	Signal-integration	RIPK (Vitvi04g00179)
Vitvi03g04050	RPP13	7.8329582436346	7.98330249171179	7.624549283554	7.65934864999363	8.10921368636916	7.09579469726787	7.55315447649543	8.02734620914757	6.94150972169822	Effector recognition	RPP13 (Vitvi03g04050)
Vitvi16g00787	RPP8	-12.9934200667827	-0.147291703505202	-0.0150781252907782	-0.0822921814970231	-0.0330484432986122	10.2434109184158	-0.374834298215121	-13.7586749869636	-0.0268383529595168	Effector recognition	RPP8 (Vitvi16g00787)
Vitvi09g00368	RPS5	-0.15288027249295	-0.0918663803970483	-0.156420327045639	-6.63525063503684	-0.336991746187115	-8.31008184524432	-0.315282897613439	-0.238420880881502	-1.71068369793916	Effector recognition	RPS5 (Vitvi09g00368)
Vitvi16g01127	SARD4	1.86316583748142	0.411771770116231	-1.74444712690513	-0.260416708440491	-0.238474731267906	-2.38490404093437	-0.0326250126360752	0.0181595238831098	-1.10336395035739	Defense action	SARD4 (Vitvi16g01127)
Vitvi18g02114	SRC2	-0.122251611793633	-0.0602804018632821	-0.200903923477892	-0.139905319626796	-0.117213709351843	-4.40810421722529	-0.17689499237777	-0.418750721204663	-7.82671358103307	Defense action	SRC2 (Vitvi18g02114)
Vitvi10g00694	SRG1	-6.64067546040755	2.75299860614776	-0.013301631822284	0.0673574189627545	0.217476705231155	5.14613195235425	0.442833333059225	4.40715170273288	7.36876599251104	Signal-integration	SRG1 (Vitvi10g00694)
Vitvi07g00523	WRKY47	-0.489740557973511	1.12689120155939	-2.07198987769428	-0.349322422434332	1.5867072689862	0.144651255452057	1.81602308542124	2.39863519099631	0.603023892634977	Signal-integration	WRKY47 (Vitvi07g00523)
Vitvi04g00760	WRKY51	0.820455723420495	0.0585948178810427	-3.27562899260403	0.00954947643723061	-0.0642303238432489	-4.19417602837606	0.00660174279015889	0.262196499147882	-0.134776862865495	Signal-integration	WRKY51 (Vitvi04g00760)
Vitvi13g00189	WRKY55	3.25644248859417	0.216875763543557	0.0909655448017984	2.21349155421053	-0.10369611581121	-0.618490807159019	-0.608753471104575	-0.464586075542975	-0.383242310782529	Signal-integration	WRKY55 (Vitvi13g00189)
Vitvi19g04138	ZAR1	1.83326476201425	0.00307717276896349	-0.113527292989618	2.69692648123399	0.116982376184127	0.362301099670843	-0.0547039762584151	-2.14003766034678	0.124026678728155	Effector recognition	ZAR1 (Vitvi19g04138)
