gene	common_name	Rpv12|0	Rpv12|6	Rpv12|24	Rpv12+1|0	Rpv12+1|6	Rpv12+1|24	Rpv12+1+3|0	Rpv12+1+3|6	Rpv12+1+3|24	layer	label
Vitvi01g04414	EIX1	3.67394102775013	2.22941068081136	1.06180292169536	1.58973980406287	1.01960655967054	0.0318643272165021	-0.00939821575225498	0.166588266063051	0.380452174781888	Pattern recognition	EIX1 (Vitvi01g04414)
Vitvi01g04416	EIX1	3.61881491356724	0.289368990795043	-0.794164979455123	0.323524178542052	-0.130948095417534	-3.91694961424531	-0.144525458195353	-0.580285991445271	-1.31853842491925	Pattern recognition	EIX1 (Vitvi01g04416)
Vitvi01g04419	EIX1	3.81831661201996	0.359026309594649	0.276513227452919	0.644448695866664	0.0186549910290793	-0.991949537093038	0.019276285246774	-0.36744325169793	0.276504649019539	Pattern recognition	EIX1 (Vitvi01g04419)
Vitvi01g04429	EIX1	2.19274752098464	0.746179058703413	-0.335224974485801	0.144968738698722	-0.022769372085622	-3.41042826857432	-0.206731058573737	-1.07833558844481	-0.998455564556034	Pattern recognition	EIX1 (Vitvi01g04429)
Vitvi08g00703	EIX1	2.36884789435916	1.25088560757044	0.410962425897055	0.823896010024045	0.172082483388134	-0.586732937580202	0.490975258238155	0.17529951078892	-0.00764126410438717	Pattern recognition	EIX1 (Vitvi08g00703)
Vitvi08g02068	EIX1	3.20052849494237	0.540408070185904	0.405109877510289	1.8947794216732	0.116658427017599	-0.294548508248143	0.828265359721473	0.174076641748911	0.0509695243060158	Pattern recognition	EIX1 (Vitvi08g02068)
Vitvi09g01335	EIX1	5.38810726560342	2.4612246219317	-0.612759557942314	0.733494863931544	0.0403193447170705	-2.61254882781999	-0.0209266349951788	-0.0938911997327128	-0.540723392394063	Pattern recognition	EIX1 (Vitvi09g01335)
Vitvi09g04205	EIX1	2.98280400188458	0.355392627332794	-0.896213367387898	0.29909377611416	-0.075630578924991	-2.0808942145089	0.097531176291421	0.0584337713684202	-0.234896325456038	Pattern recognition	EIX1 (Vitvi09g04205)
Vitvi09g04475	EIX1	3.66518567542373	2.56251257731117	0.016104707936874	1.50187231637009	0.358745783646373	-0.264173120629842	0.173197844696349	0.230033216675189	0.283640471041675	Pattern recognition	EIX1 (Vitvi09g04475)
Vitvi09g04535	EIX1	7.01709513417184	5.18102803845069	0.0691684641294422	3.37939515891901	0.275720389414691	-0.812978859997748	1.50070313095145	0.892986977373615	-0.121460264763787	Pattern recognition	EIX1 (Vitvi09g04535)
Vitvi09g04536	EIX1	5.40471044228229	3.53341729711266	-0.307119210899687	2.32397937917266	0.0237934675908111	-4.1055431431442	-0.0277093223711152	-0.0307229129305678	-0.53036066671086	Pattern recognition	EIX1 (Vitvi09g04536)
