common_name	vitvi_id	source	genotype	timing	log2FC_apeglm	padj_threshold_test	DE_primary
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12	0	4.73258965708033	5.14141082282923e-15	TRUE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12	6	2.99444048641525	4.75102783318293e-05	TRUE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12	24	-0.213764054421374	1	FALSE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12+1	0	-0.372360828488821	1	FALSE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12+1	6	-0.328712352832188	1	FALSE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12+1	24	-2.25618593711358	0.020289014077788	TRUE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12+1+3	0	1.47784125311541	0.593538807202222	TRUE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12+1+3	6	1.60880441545737	0.338534535707041	TRUE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12+1+3	24	0.515918729226002	1	FALSE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12	0	-0.339650203928914	1	FALSE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12	6	0.745136551019724	1	FALSE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12	24	-0.208170839282823	1	FALSE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12+1	0	-0.145708460376845	1	FALSE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12+1	6	0.980074478180778	1	FALSE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12+1	24	0.311423968364828	1	FALSE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12+1+3	0	1.65394909233187	0.15565810112376	TRUE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12+1+3	6	2.04879928892164	0.005864923519476	TRUE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12+1+3	24	0.874716158688918	1	FALSE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12	0	-1.58527427649307	0.500774235239663	TRUE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12	6	0.0403204167267323	1	FALSE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12	24	-1.97505480186106	0.459240561842968	TRUE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12+1	0	-5.23103491005715	0.0175109111816776	TRUE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12+1	6	-3.2508661068048	0.203769234595535	TRUE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12+1	24	-2.58133303404663	0.233396564974773	TRUE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12+1+3	0	-0.105586576419778	1	FALSE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12+1+3	6	0.457398171428836	1	FALSE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12+1+3	24	0.158308483189026	1	FALSE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12	0	-0.219272694903187	1	FALSE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12	6	1.56218792482339	0.475206598392168	TRUE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12	24	0.78930908973821	1	FALSE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12+1	0	0.474768395599836	1	FALSE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12+1	6	1.60058861193767	0.414250557000213	TRUE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12+1	24	0.787766408146793	1	FALSE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12+1+3	0	1.63223584159706	0.19720504821866	TRUE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12+1+3	6	2.00053351793927	0.0119373838282999	TRUE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12+1+3	24	0.93738522845446	1	FALSE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12	0	-0.415321842646416	1	FALSE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12	6	0.174436992438404	1	FALSE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12	24	-1.95224324350318	0.463454814166315	TRUE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12+1	0	0.29265237209651	1	FALSE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12+1	6	0.0455488686182658	1	FALSE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12+1	24	-0.281027771975834	1	FALSE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12+1+3	0	3.95001545220806	0.0187446250552877	TRUE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12+1+3	6	4.77273671751618	0.00132671871782107	TRUE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12+1+3	24	0.49585023347883	1	FALSE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12	0	-2.09771744441778	0.0282904455204161	TRUE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12	6	-1.69266194194328	0.363425420908728	TRUE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12	24	-1.12024497545935	1	TRUE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12+1	0	-0.441396235758737	1	FALSE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12+1	6	0.271892897355748	1	FALSE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12+1	24	0.32460675568273	1	FALSE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12+1+3	0	-2.89858879482092	7.51441855956249e-05	TRUE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12+1+3	6	-2.16251281766812	0.0122109750213953	TRUE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12+1+3	24	-1.98358218035358	0.0340592014582161	TRUE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12	0	2.77404158496684	0.00263826593386997	TRUE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12	6	0.275539787454916	1	FALSE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12	24	-0.285394209876725	1	FALSE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12+1	0	1.74429070799955	0.377984011024901	TRUE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12+1	6	0.261094752885729	1	FALSE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12+1	24	-0.457227780336091	1	FALSE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12+1+3	0	-0.0223496045970595	1	FALSE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12+1+3	6	-0.221733615461529	1	FALSE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12+1+3	24	-1.83157530660306	0.212932727920592	TRUE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12	0	2.17228305819734	0.176396025495354	TRUE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12	6	-0.02152449994987	1	FALSE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12	24	-0.688322165016468	1	FALSE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12+1	0	0.330824396369905	1	FALSE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12+1	6	-0.463197446027163	1	FALSE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12+1	24	-2.79783275952184	0.0283656697541018	TRUE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12+1+3	0	-1.04379492957396	1	FALSE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12+1+3	6	-1.46070570893331	0.564531432408678	TRUE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12+1+3	24	-3.77876936773341	0.000206182114150832	TRUE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12	0	0.557890204503359	1	FALSE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12	6	-0.545102651755218	1	FALSE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12	24	-0.869682577905013	1	FALSE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12+1	0	0.667319261132091	1	FALSE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12+1	6	-0.10398627179013	1	FALSE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12+1	24	-1.27878050544422	1	TRUE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12+1+3	0	-3.32831479145782	0.00288999228131262	TRUE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12+1+3	6	-3.62600907952206	0.000438412236221697	TRUE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12+1+3	24	-4.64976216898265	5.25389226617164e-08	TRUE
EIX1	Vitvi00g04469	AlphaFold_EIX1	Rpv12	0	2.74352666293763	0.137416350299728	TRUE
EIX1	Vitvi00g04469	AlphaFold_EIX1	Rpv12	6	0.300754988899387	1	FALSE
EIX1	Vitvi00g04469	AlphaFold_EIX1	Rpv12	24	-0.0110500211910843	1	FALSE
EIX1	Vitvi00g04469	AlphaFold_EIX1	Rpv12+1	0	0.252168383219897	1	FALSE
EIX1	Vitvi00g04469	AlphaFold_EIX1	Rpv12+1	6	-0.0202746140253315	1	FALSE
EIX1	Vitvi00g04469	AlphaFold_EIX1	Rpv12+1	24	-0.504729354547587	1	FALSE
