literature_name	vitvi_id	log2FC_Rpv12+1+3|0	DE_primary.Rpv12+1+3|0	log2FC_Rpv12+1+3|24	DE_primary.Rpv12+1+3|24	log2FC_Rpv12+1+3|6	DE_primary.Rpv12+1+3|6	log2FC_Rpv12+1|0	DE_primary.Rpv12+1|0	log2FC_Rpv12+1|24	DE_primary.Rpv12+1|24	log2FC_Rpv12+1|6	DE_primary.Rpv12+1|6	log2FC_Rpv12|0	DE_primary.Rpv12|0	log2FC_Rpv12|24	DE_primary.Rpv12|24	log2FC_Rpv12|6	DE_primary.Rpv12|6
ACD6	Vitvi05g00637	1.47784125311541	TRUE	0.515918729226002	FALSE	1.60880441545737	TRUE	-0.372360828488821	FALSE	-2.25618593711358	TRUE	-0.328712352832188	FALSE	4.73258965708033	TRUE	-0.213764054421374	FALSE	2.99444048641525	TRUE
bZIP53	Vitvi05g00108	1.69933490149306	TRUE	1.42840004467198	TRUE	1.82019891732413	TRUE	0.610038531238814	FALSE	0.764746462929835	FALSE	0.938600076471796	FALSE	-1.57642646070755	TRUE	-0.00180817628773052	FALSE	0.646375543129199	FALSE
bZIP53	Vitvi07g00413	-0.122136730940296	FALSE	-0.439268629823115	FALSE	-0.460302476858099	FALSE	0.328599703878578	FALSE	0.811401711012985	FALSE	0.181826811035926	FALSE	0.132521100972192	FALSE	1.08427784589842	TRUE	-0.313876807359306	FALSE
CSLG2	Vitvi01g04261	1.65394909233187	TRUE	0.874716158688918	FALSE	2.04879928892164	TRUE	-0.145708460376845	FALSE	0.311423968364828	FALSE	0.980074478180778	FALSE	-0.339650203928914	FALSE	-0.208170839282823	FALSE	0.745136551019724	FALSE
CSLG2	Vitvi02g04029	-0.105586576419778	FALSE	0.158308483189026	FALSE	0.457398171428836	FALSE	-5.23103491005715	TRUE	-2.58133303404663	TRUE	-3.2508661068048	TRUE	-1.58527427649307	TRUE	-1.97505480186106	TRUE	0.0403204167267323	FALSE
CSLG2	Vitvi05g00675	1.63223584159706	TRUE	0.93738522845446	FALSE	2.00053351793927	TRUE	0.474768395599836	FALSE	0.787766408146793	FALSE	1.60058861193767	TRUE	-0.219272694903187	FALSE	0.78930908973821	FALSE	1.56218792482339	TRUE
CSLG2	Vitvi05g00676	0.164184363867592	FALSE	0.27174196238701	FALSE	1.16743762907095	TRUE	-1.26558835953543	TRUE	-0.0138014753663135	FALSE	0.437935766970905	FALSE	-1.1704236951577	TRUE	-0.355640201629186	FALSE	0.280230731159568	FALSE
CSLG2	Vitvi05g00681	3.95001545220806	TRUE	0.49585023347883	FALSE	4.77273671751618	TRUE	0.29265237209651	FALSE	-0.281027771975834	FALSE	0.0455488686182658	FALSE	-0.415321842646416	FALSE	-1.95224324350318	TRUE	0.174436992438404	FALSE
DPA	Vitvi08g01185	-2.89858879482092	TRUE	-1.98358218035358	TRUE	-2.16251281766812	TRUE	-0.441396235758737	FALSE	0.32460675568273	FALSE	0.271892897355748	FALSE	-2.09771744441778	TRUE	-1.12024497545935	TRUE	-1.69266194194328	TRUE
EDS1	Vitvi17g01513	-0.0223496045970595	FALSE	-1.83157530660306	TRUE	-0.221733615461529	FALSE	1.74429070799955	TRUE	-0.457227780336091	FALSE	0.261094752885729	FALSE	2.77404158496684	TRUE	-0.285394209876725	FALSE	0.275539787454916	FALSE
EDS1	Vitvi17g01515	-1.04379492957396	FALSE	-3.77876936773341	TRUE	-1.46070570893331	TRUE	0.330824396369905	FALSE	-2.79783275952184	TRUE	-0.463197446027163	FALSE	2.17228305819734	TRUE	-0.688322165016468	FALSE	-0.02152449994987	FALSE
EDS1	Vitvi17g01520	-3.32831479145782	TRUE	-4.64976216898265	TRUE	-3.62600907952206	TRUE	0.667319261132091	FALSE	-1.27878050544422	TRUE	-0.10398627179013	FALSE	0.557890204503359	FALSE	-0.869682577905013	FALSE	-0.545102651755218	FALSE
EDS1	Vitvi17g01523	0.24558658918731	FALSE	-0.575151861388097	FALSE	0.100370197760118	FALSE	0.0629955694062363	FALSE	-1.02784519511095	TRUE	-0.107841671171009	FALSE	0.748910706210425	FALSE	-0.696197163258653	FALSE	0.151547095460861	FALSE
EDS1	Vitvi17g04212	-0.0162056795895823	FALSE	-0.409724173960194	FALSE	-0.118051392514569	FALSE	0.368260648895233	FALSE	-0.132660432664403	FALSE	-0.152704529098987	FALSE	2.60560554961197	TRUE	0.0264132903139573	FALSE	0.104598791047133	FALSE
EDS1	Vitvi17g04216	-0.774629340798072	FALSE	-1.73022336331352	TRUE	-0.52582092013277	FALSE	1.7087004564077	TRUE	-0.983077653128355	FALSE	0.0925146679347553	FALSE	2.69067189559342	TRUE	-0.643159138832167	FALSE	0.190344804053916	FALSE
