"PC1","PC2","PC3","PC4","PC5","PC6","sampleID","genotype","timepoint"
-69.4506514442579,-43.7790340653682,1.92639474253204,-2.80046337031879,24.7522285611276,-18.4966435720768,"Rpv12.0.A","Rpv12","0"
-4.78459398391568,-42.3429075776946,5.13206314655049,-27.8388943807085,11.0734323856557,-20.2318517822743,"Rpv12.6.A","Rpv12","6"
-46.1661276960033,-16.046140658552,21.2684866434271,20.5555070676933,-39.1990222241052,4.19608484469748,"Rpv12.24.A","Rpv12","24"
-63.5537209535803,28.5017950972765,21.7380411199005,-19.8585797227535,2.44755976176684,6.99318809211898,"Rpv12.1.0.A","Rpv12+1","0"
40.1575137128861,30.8836361175559,28.2865134595686,-11.7991290728643,11.026854078252,-11.5673655623766,"Rpv12.1.6.A","Rpv12+1","6"
-54.7490427147079,22.5158616643984,35.3754763731656,-18.1858143819394,6.28174214249778,15.1049417137659,"Rpv12.1.24.A","Rpv12+1","24"
57.3511291714443,-18.326769445644,-1.75364971639865,2.2778454221139,-0.588126253008519,21.2215079721065,"Rpv12.1.3.0.A","Rpv12+1+3","0"
53.7254588271406,-16.2700987624737,-2.1714720682537,-0.457221139299429,-0.261452214191871,33.1656893608528,"Rpv12.1.3.6.A","Rpv12+1+3","6"
42.4105453230754,-18.967633695601,3.64622849522437,-42.3592877341087,5.30606348536567,-3.61893939671103,"Rpv12.1.3.24.A","Rpv12+1+3","24"
-35.5168022492773,12.287388072305,-20.4975578465697,19.4477724031697,20.5576000905288,6.22826175204785,"Susceptible.0.A","Susceptible","0"
-33.6914019417249,13.4296337879911,-16.0462664272055,21.2275846597159,25.078368094063,8.29300442796789,"Susceptible.6.A","Susceptible","6"
31.1613282203633,22.5411386747986,-64.1705348860127,-32.1825163931407,-24.994558766224,-13.8213552417413,"Susceptible.24.A","Susceptible","24"
-69.5401711717587,-48.8734760827484,0.622132917351368,-8.51499197831671,10.0178538162943,-15.8656120105737,"Rpv12.0.B","Rpv12","0"
38.5351903421851,-21.6249266560544,14.6591578963151,17.6527727723537,4.29911223860288,-28.5196332893286,"Rpv12.6.B","Rpv12","6"
-44.4993086924801,-20.1444062189315,20.2374933775119,19.9301102280529,-48.0249212501242,5.25215739012452,"Rpv12.24.B","Rpv12","24"
-56.1612978554988,29.6773826772493,17.544401276786,-34.0265617579983,-8.90447820030789,11.306533178164,"Rpv12.1.0.B","Rpv12+1","0"
42.8967600475117,40.9519377370624,21.4918237786017,6.97146725894837,3.99657813815587,-13.0691939141109,"Rpv12.1.6.B","Rpv12+1","6"
42.3930967938734,38.1617281883326,20.7492676448867,4.87927739394619,-3.19224656151713,-11.6824852193981,"Rpv12.1.24.B","Rpv12+1","24"
62.9219660231232,-20.3706542465024,0.313743233642021,8.761940975553,-2.35847310115807,11.8015095742627,"Rpv12.1.3.0.B","Rpv12+1+3","0"
59.5600639025085,-14.2427318223523,0.30298821166828,8.6488229908107,6.20900013212198,12.7950940551634,"Rpv12.1.3.6.B","Rpv12+1+3","6"
40.3480113936235,-19.7997847821599,3.3223171014525,-44.0857681728512,1.05480547845652,-2.74899333292869,"Rpv12.1.3.24.B","Rpv12+1+3","24"
25.6287014715471,22.9339928231924,-48.2349893013614,28.6670837969665,-13.6283642806065,-28.3922681761136,"Susceptible.0.B","Susceptible","0"
-34.8386069759684,13.5612056431501,-15.1363641463285,20.3680862036019,24.2715999656641,9.48001553582791,"Susceptible.6.B","Susceptible","6"
-58.5451667007683,6.09463939219373,-31.1602383368365,14.3250715748155,0.890247850843463,20.6337299638866,"Susceptible.24.B","Susceptible","24"
-72.8421271979807,-46.754179934635,-0.718574689931338,-9.8988883265687,12.9480992671895,-11.2809572638293,"Rpv12.0.C","Rpv12","0"
27.3843391106783,-10.5596803594673,4.97538114127859,39.929597264221,-8.61881393037153,-24.5474432300451,"Rpv12.6.C","Rpv12","6"
-45.7843694723936,-17.9802101034919,20.638516879283,19.7089971686963,-45.1706529195198,5.01992245941244,"Rpv12.24.C","Rpv12","24"
-41.6381102705788,32.8644806770022,20.3552699612691,-23.1333578340808,-5.09521746588655,6.66980508758908,"Rpv12.1.0.C","Rpv12+1","0"
7.23896547665171,35.3472692825056,24.3560746958762,3.84699824856319,4.44437514565842,-13.7788830293076,"Rpv12.1.6.C","Rpv12+1","6"
7.23419488290424,33.4162372762966,24.3200969803462,2.18919418117896,-2.24182781762526,-13.6802469389981,"Rpv12.1.24.C","Rpv12+1","24"
60.785094878006,-20.8045886283838,-2.76505819719133,1.14146719044629,-4.20066208144493,24.3811956082907,"Rpv12.1.3.0.C","Rpv12+1+3","0"
122.570870131484,-7.72005322821045,9.07383154979666,3.04084200225043,5.82723029057343,0.243825224616596,"Rpv12.1.3.6.C","Rpv12+1+3","6"
57.5395098416485,-17.5041456743191,-3.6416107309724,0.469717322499692,6.63968851986841,15.949762191524,"Rpv12.1.3.24.C","Rpv12+1+3","24"
-34.0404158313504,9.68434802291612,-22.2323169144038,19.6189392848302,16.7189859057839,6.8816067496813,"Susceptible.0.C","Susceptible","0"
-32.3949101099873,14.0363814375187,-15.3205894788324,22.7640411349496,27.4771886662583,8.27847059621145,"Susceptible.6.C","Susceptible","6"
-21.6459142884222,15.222365370845,-76.4864778861361,-31.2816622804282,-24.8397969486371,-2.59443381849847,"Susceptible.24.C","Susceptible","24"
