"combat","r_cutoff","n_shared_significant_anchors","anchor_identity_jaccard","mean_partner_set_jaccard_for_shared_anchors","median_partner_set_jaccard_for_shared_anchors"
"unprotected",0.75,137,0.861635220125786,0.384118818757113,0.4
"unprotected",0.775,146,0.929936305732484,0.52082096479213,0.544211344211344
"unprotected",0.8,151,0.949685534591195,0.745543897270836,0.761363636363636
"unprotected",0.85,140,0.875,0.535498056438273,0.560507246376812
"protected",0.75,130,0.822784810126582,0.36223190407737,0.375443262411348
"protected",0.775,138,0.896103896103896,0.502576427068587,0.521266028535308
"protected",0.8,143,0.953333333333333,0.736689573030742,0.757142857142857
"protected",0.85,137,0.861635220125786,0.511992807699633,0.5234375
