"time","n_nodes","n_edges","density","mean_degree","clustering"
"0 hpi",9459,3068835,0.0686055103179718,648.870916587377,0.683349721030933
"6 hpi",9459,1856008,0.0414920893414726,392.432180991648,0.58435528390417
"24 hpi",9459,1525169,0.0340959998064903,322.479966169785,0.596684545937498
