"genotype","n_nodes","n_edges","density","mean_degree","clustering"
"Susceptible",9459,2356584,0.0526827437536287,498.27339042182,0.625098733627461
"Rpv12",9459,4537057,0.101428428321081,959.310075060789,0.674922656710342
"Rpv12+1",9459,4061564,0.0907985183006264,858.772386087324,0.710861731420407
"Rpv12+1+3",9459,1378387,0.0308146066994994,291.444550163865,0.511770148840929
