"anchor","anchor_label","partner","r_protected"
"Vitvi17g04216","EDS1","Vitvi03g00016",0.899336250980526
"Vitvi17g04216","EDS1","Vitvi03g00033",0.833034741764438
"Vitvi17g04216","EDS1","Vitvi03g00144",0.851166202366352
"Vitvi17g04216","EDS1","Vitvi03g00207",0.876280231248165
"Vitvi17g04216","EDS1","Vitvi03g00340",0.872204326875966
"Vitvi17g04216","EDS1","Vitvi03g00548",0.841474642635508
"Vitvi17g04216","EDS1","Vitvi03g00673",0.855213195600458
"Vitvi17g04216","EDS1","Vitvi03g00842",0.841783942251529
"Vitvi17g04216","EDS1","Vitvi03g01434",0.850684910264906
"Vitvi17g04216","EDS1","Vitvi03g01597",0.849349624660989
"Vitvi17g04216","EDS1","Vitvi04g00021",0.899992756717753
"Vitvi17g04216","EDS1","Vitvi04g00022",0.924008571860398
"Vitvi17g04216","EDS1","Vitvi04g00029",0.845017041956953
"Vitvi17g04216","EDS1","Vitvi04g00034",0.862821512474309
"Vitvi17g04216","EDS1","Vitvi04g00070",0.846517416041079
"Vitvi17g04216","EDS1","Vitvi04g00133",0.836713338098682
"Vitvi17g04216","EDS1","Vitvi04g00175",0.871242898044252
"Vitvi17g04216","EDS1","Vitvi04g00300",0.839256675186126
"Vitvi17g04216","EDS1","Vitvi04g00301",0.88898354959397
"Vitvi17g04216","EDS1","Vitvi04g00314",0.898954137365916
"Vitvi17g04216","EDS1","Vitvi04g00616",0.83644679748861
"Vitvi17g04216","EDS1","Vitvi04g01198",0.830692499868288
"Vitvi17g04216","EDS1","Vitvi04g01389",0.877157980460019
"Vitvi17g04216","EDS1","Vitvi04g01577",0.833584051769834
"Vitvi17g04216","EDS1","Vitvi04g01624",0.840764968664374
"Vitvi17g04216","EDS1","Vitvi04g01635",0.837048479553108
"Vitvi17g04216","EDS1","Vitvi04g01636",0.850124810582978
"Vitvi17g04216","EDS1","Vitvi04g01695",0.839820916755482
"Vitvi17g04216","EDS1","Vitvi04g01781",0.829832066073667
"Vitvi17g04216","EDS1","Vitvi04g02232",0.930324327555597
"Vitvi17g04216","EDS1","Vitvi04g02243",0.859207188406375
"Vitvi17g04216","EDS1","Vitvi04g02247",0.865366883846229
"Vitvi17g04216","EDS1","Vitvi04g04048",0.857004749863156
"Vitvi17g04216","EDS1","Vitvi05g00062",0.908918682100326
"Vitvi17g04216","EDS1","Vitvi05g00153",0.864965343930808
"Vitvi17g04216","EDS1","Vitvi05g00276",0.837770166014129
"Vitvi17g04216","EDS1","Vitvi05g00478",0.922926882524417
"Vitvi17g04216","EDS1","Vitvi05g00544",0.862126082680397
"Vitvi17g04216","EDS1","Vitvi05g00562",0.853179683116984
"Vitvi17g04216","EDS1","Vitvi05g00569",0.850058669228725
"Vitvi17g04216","EDS1","Vitvi05g00605",0.853920092178287
"Vitvi17g04216","EDS1","Vitvi05g00652",0.868409421977894
"Vitvi17g04216","EDS1","Vitvi05g01108",0.85974681398737
"Vitvi17g04216","EDS1","Vitvi05g01656",0.918549181535279
"Vitvi17g04216","EDS1","Vitvi05g01663",0.862637323933977
"Vitvi17g04216","EDS1","Vitvi05g04575",0.854981279420896
"Vitvi17g04216","EDS1","Vitvi06g00259",0.838741822162836
"Vitvi17g04216","EDS1","Vitvi06g00300",0.842833353591313
"Vitvi17g04216","EDS1","Vitvi06g00303",0.850094785631351
"Vitvi17g04216","EDS1","Vitvi06g00340",0.865262635332194
"Vitvi17g04216","EDS1","Vitvi06g00417",0.829272259835597
