"gene","is_DE_panel_gene","R2_precorrection","R2_unprotected_ComBat","R2_protected_ComBat"
"Vitvi01g04000",FALSE,0.473745467157467,0.491867759555558,0.582793912277166
"Vitvi01g04001",FALSE,0.712346688094236,0.715540979523223,0.737761510327743
"Vitvi01g04002",TRUE,0.912275532136851,0.886149406132277,0.929330013614128
"Vitvi01g04003",FALSE,0.253662774704235,0.252629388524572,0.288417778587737
"Vitvi01g04004",FALSE,0.433110411197079,0.444371209233052,0.489516649747773
"Vitvi01g04005",FALSE,0.674431416358086,0.724397855853371,0.888963029804175
"Vitvi01g00002",TRUE,0.728003784758126,0.817633075268771,0.838031056077631
"Vitvi01g00005",FALSE,0.587889186582254,0.533051011874824,0.570198197632893
"Vitvi01g01834",FALSE,0.501835296669146,0.455030792692275,0.486575822908102
"Vitvi01g00006",FALSE,0.639404525187858,0.625113853007422,0.650956786558455
"Vitvi01g01835",TRUE,0.646100059877122,0.658622689476777,0.668352725917776
"Vitvi01g01836",FALSE,0.395852436971721,0.422666649989952,0.453274508999641
"Vitvi01g00008",FALSE,0.644256119232123,0.58470587798012,0.660791382210038
"Vitvi01g00011",FALSE,0.608962560683097,0.563836677408887,0.592195932635547
"Vitvi01g00012",TRUE,0.821931452126383,0.834461361536622,0.841757260259167
"Vitvi01g01837",FALSE,0.689386770160444,0.702855851607732,0.710464907882061
"Vitvi01g00014",FALSE,0.330512492908498,0.355868800970557,0.396423795543875
"Vitvi01g01838",FALSE,0.612970993549857,0.636365149287606,0.64808068608724
"Vitvi01g00015",FALSE,0.211716687791091,0.158228302063629,0.187407045410357
"Vitvi01g00019",FALSE,0.286963933961772,0.309756079856588,0.3353397374308
"Vitvi01g00023",FALSE,0.415684440012627,0.53442067724356,0.669462514166245
"Vitvi01g00024",FALSE,0.74201765544724,0.740063812247233,0.748885424223543
"Vitvi01g00025",FALSE,0.665149707167364,0.717280717436244,0.761994414197492
"Vitvi01g00026",FALSE,0.737570300389634,0.742405338357194,0.758280233098467
"Vitvi01g00027",FALSE,0.383215713920803,0.515175139179949,0.740157035260716
"Vitvi01g04008",FALSE,0.199312554543379,0.207309635580944,0.238045045911528
"Vitvi01g00028",FALSE,0.450409290955946,0.511450128954036,0.572479260339845
"Vitvi01g00029",FALSE,0.634356565535066,0.654494961420772,0.677778928613456
"Vitvi01g00031",FALSE,0.533753440465305,0.523405826873728,0.556878385480326
"Vitvi01g00033",FALSE,0.722887691160832,0.703322555044379,0.728317396705347
"Vitvi01g00034",FALSE,0.736696477458778,0.743182757895377,0.759537407593975
"Vitvi01g00035",FALSE,0.738909262526016,0.744958134780515,0.760540087427594
"Vitvi01g00036",TRUE,0.57347034837357,0.636529603397405,0.65414486051908
"Vitvi01g00037",FALSE,0.654503268945586,0.658864878288478,0.669949817147893
"Vitvi01g00038",FALSE,0.760461480472935,0.721403781618904,0.78362699269647
"Vitvi01g01840",FALSE,0.538331611654382,0.497635371419726,0.523340586316549
"Vitvi01g00039",FALSE,0.603243002369395,0.523897369043254,0.603973056729873
"Vitvi01g00041",FALSE,0.417817027178865,0.324031434647591,0.355858653739351
"Vitvi01g04009",FALSE,0.178268910885923,0.191082319143885,0.234428160650867
"Vitvi01g00042",FALSE,0.549322867686177,0.54378420251351,0.547249174951447
"Vitvi01g00043",FALSE,0.410323589739119,0.496429077782445,0.639989268914135
"Vitvi01g00045",FALSE,0.656481995901421,0.641271530617724,0.662295163378559
"Vitvi01g00046",FALSE,0.747118431691788,0.726073820218313,0.746826117086916
"Vitvi01g00047",FALSE,0.444738727454739,0.409011811105533,0.431083572024261
"Vitvi01g00048",FALSE,0.828930015163947,0.823967171110429,0.833187777838345
"Vitvi01g00049",FALSE,0.720474123662156,0.731748943444043,0.741312074366815
"Vitvi01g00050",TRUE,0.833582856904471,0.845969975333959,0.86661184113534
"Vitvi01g00051",FALSE,0.647606569121413,0.741528202045034,0.732896153578419
"Vitvi01g01841",FALSE,0.615738258434509,0.704707908927105,0.721387123323056
"Vitvi01g00052",TRUE,0.699186605271003,0.80634913788792,0.831883532593772
"Vitvi01g00053",FALSE,0.676059048028752,0.694817809046913,0.704669106315943
"Vitvi01g00054",FALSE,0.501544294272043,0.475096061417054,0.478313796492453
"Vitvi01g00055",FALSE,0.482122116533093,0.484893990407629,0.494253131148243
"Vitvi01g01842",FALSE,0.602868322538355,0.636195164567621,0.729946910896644
"Vitvi01g00056",FALSE,0.704666632941742,0.762996225581713,0.80178716962831
"Vitvi01g00058",FALSE,0.705158922346307,0.727774221546607,0.715094773336491
"Vitvi01g01843",FALSE,0.610448161118793,0.662385879340399,0.66937667989415
"Vitvi01g00059",FALSE,0.453068689420177,0.474994360884199,0.46871240685434
"Vitvi01g00060",FALSE,0.47936209769148,0.627849627845795,0.715673554546674
"Vitvi01g00061",TRUE,0.650443673634943,0.75197433731856,0.80332339805457
"Vitvi01g00062",FALSE,0.694603578096013,0.67398082326486,0.705389552039825
"Vitvi01g00063",FALSE,0.520912783828397,0.512146551829334,0.518007735703729
"Vitvi01g01844",TRUE,0.689617809504889,0.797742232465952,0.838675223600141
"Vitvi01g00064",FALSE,0.738308814504546,0.822744175893161,0.804282649832376
"Vitvi01g00065",FALSE,0.754476987487835,0.754334886625966,0.760334865518637
"Vitvi01g00066",TRUE,0.698496345501767,0.787152236522821,0.807703665856811
"Vitvi01g00067",TRUE,0.731544074879715,0.752055880768082,0.770245011470866
"Vitvi01g04012",FALSE,0.556404762964493,0.700752367674673,0.809656274787172
"Vitvi01g04013",FALSE,0.668475606824787,0.802330232205456,0.824366734089106
"Vitvi01g00070",FALSE,0.647942080262283,0.698379458975936,0.703275860024787
"Vitvi01g04014",FALSE,0.740532108125981,0.733030436581643,0.754297250565965
"Vitvi01g00071",FALSE,0.641047697497984,0.698474526327841,0.708769149852969
"Vitvi01g00073",FALSE,0.327715001270127,0.294287017569636,0.426113673594115
"Vitvi01g01845",FALSE,0.384656879255762,0.514900602867077,0.630578381339059
"Vitvi01g01846",FALSE,0.536337455070774,0.517175346707535,0.534591321708141
"Vitvi01g00074",FALSE,0.655947041235178,0.650857146891898,0.662102992017035
"Vitvi01g00075",FALSE,0.672538566843161,0.674741734315629,0.676473759841161
"Vitvi01g00076",FALSE,0.306118060568809,0.306786297393076,0.357035393494806
"Vitvi01g00077",FALSE,0.694198301181677,0.655678870986287,0.693570306012316
"Vitvi01g00078",FALSE,0.454488847046953,0.455260414120914,0.469224441331953
"Vitvi01g00079",FALSE,0.513231458607939,0.527953915003869,0.517327201225206
"Vitvi01g00080",FALSE,0.828756718733922,0.816999332367526,0.855629833292336
"Vitvi01g01847",FALSE,0.489697556814075,0.418987677140997,0.464576879506863
"Vitvi01g00081",FALSE,0.700833633837674,0.719375165911852,0.726151705114449
"Vitvi01g00082",FALSE,0.562450655559617,0.599161599179228,0.621428688038403
"Vitvi01g01848",FALSE,0.719089158535533,0.611635505702126,0.720161899410766
"Vitvi01g01849",FALSE,0.419061555352936,0.417227607828631,0.435687574048946
"Vitvi01g04015",FALSE,0.854509861724431,0.81386327427386,0.857206321799811
"Vitvi01g01850",FALSE,0.733394726516323,0.719115065741338,0.736906824499923
"Vitvi01g04016",FALSE,0.395702072163313,0.374663923142695,0.422474250918364
"Vitvi01g04017",FALSE,0.725784642075132,0.772372930243398,0.795560144821394
"Vitvi01g01852",TRUE,0.881017295400655,0.863482218069318,0.882526164065835
"Vitvi01g01853",FALSE,0.758774375466151,0.809614532502309,0.829191872078996
"Vitvi01g04018",FALSE,0.881606278510999,0.860265238735155,0.91871915790956
"Vitvi01g00083",TRUE,0.946024403940889,0.865571591959191,0.970018196783394
"Vitvi01g04022",FALSE,0.512282418985225,0.664693386182943,0.715283581008192
"Vitvi01g01854",FALSE,0.560129065618919,0.64138572489542,0.681180508552132
"Vitvi01g01855",FALSE,0.790652157742727,0.784068126185895,0.80632580600676
"Vitvi01g00085",FALSE,0.557002276793338,0.552675114658708,0.604791720157142
"Vitvi01g01856",FALSE,0.432657238431382,0.521836561829182,0.648015144138641
"Vitvi01g00086",FALSE,0.589755186226652,0.5751198999521,0.594075449109175
"Vitvi01g01857",FALSE,0.440424674106247,0.505935086858051,0.557566109476266
"Vitvi01g01858",FALSE,0.493453819121688,0.491157164123451,0.509721248258852
"Vitvi01g00087",FALSE,0.506923449635607,0.479966585866108,0.506349995722893
"Vitvi01g00088",TRUE,0.888684146739217,0.875337929019465,0.906923773302603
"Vitvi01g00089",FALSE,0.460208682687269,0.520778358485602,0.568589677099997
"Vitvi01g01859",FALSE,0.434032743327492,0.422113918667082,0.469505883885405
"Vitvi01g00090",FALSE,0.743652436113358,0.730631943447923,0.750166090764813
"Vitvi01g00091",FALSE,0.608955961314863,0.643520772993089,0.698617042226425
"Vitvi01g00092",FALSE,0.5790943379444,0.708351054354065,0.721047696384798
"Vitvi01g00095",TRUE,0.71968236775971,0.757146855050084,0.762260740350947
"Vitvi01g00097",FALSE,0.593348466868149,0.658870362562997,0.689022385165212
"Vitvi01g00098",FALSE,0.622009644038907,0.611195519521124,0.628739926742831
"Vitvi01g04023",FALSE,0.225901065423719,0.185619826065184,0.290780453631089
"Vitvi01g04024",FALSE,0.499141450590053,0.465752946422891,0.48005976803859
"Vitvi01g00099",FALSE,0.390493271767479,0.394084141964033,0.409850265268065
"Vitvi01g04025",FALSE,0.436165179083348,0.417104071113309,0.415204582213639
"Vitvi01g00101",FALSE,0.480074359010375,0.496367047102974,0.587517638831273
"Vitvi01g00102",FALSE,0.713803506703933,0.7794828862967,0.793592223908374
"Vitvi01g00103",FALSE,0.590537950883485,0.714194534041172,0.869309728564522
"Vitvi01g00104",TRUE,0.691080603712902,0.774381212720556,0.83263217001953
"Vitvi01g00105",FALSE,0.299493958933767,0.344668076833476,0.381124297957228
"Vitvi01g01862",FALSE,0.504469461975514,0.531122399188278,0.585506665508315
"Vitvi01g00106",FALSE,0.621459730631317,0.701742340145673,0.716511815661298
"Vitvi01g04028",FALSE,0.893926855530646,0.902115884157681,0.896873946045466
"Vitvi01g01865",FALSE,0.781204058689806,0.791919099149045,0.850266703466239
"Vitvi01g00108",FALSE,0.631982581956473,0.688861972154924,0.66511196203163
"Vitvi01g01866",FALSE,0.706538925573042,0.750444796355076,0.764599625713429
"Vitvi01g00110",FALSE,0.571164698649836,0.567466750212808,0.574013743639712
"Vitvi01g00111",FALSE,0.533716838060398,0.534268885838896,0.565129871749221
"Vitvi01g00112",FALSE,0.634196084367379,0.642244727682752,0.666288265690592
"Vitvi01g00113",FALSE,0.720898891432856,0.705264042205265,0.734209502038068
"Vitvi01g00114",FALSE,0.454257732280194,0.523729110876438,0.567315336607508
"Vitvi01g04029",FALSE,0.239464277101597,0.238443350237879,0.266634773258804
"Vitvi01g04030",FALSE,0.335924492473119,0.405646050958494,0.49645342018039
