"matrix","grouping","level","n","method","r","slope"
"log2raw","myResistance","Rpv1",9,"spearman",-0.556528922377936,-0.12157088503079
"log2raw","myResistance","Rpv1.12",9,"spearman",-0.553271548609956,-0.126004329846312
"log2raw","myResistance","Rpv1.12.3",9,"spearman",-0.570386347975287,-0.133972292117038
"log2raw","myResistance","Susceptible",9,"spearman",-0.557297871559541,-0.122027884958635
"log2raw","myResistance","GLOBAL",36,"pearson",-0.326338929778093,-0.177640298272651
"log2raw","myResistance","Rpv1",9,"pearson",-0.334124920882362,-0.12157088503079
"log2raw","myResistance","Rpv1.12",9,"pearson",-0.313187890180587,-0.126004329846312
"log2raw","myResistance","Rpv1.12.3",9,"pearson",-0.408385340989064,-0.133972292117038
"log2raw","myResistance","Susceptible",9,"pearson",-0.273037524372269,-0.122027884958635
"sizeFactor","condition","GLOBAL",36,"spearman",-0.659265419941247,-0.180970250324328
"sizeFactor","condition","Rpv12.0",3,"spearman",-0.378321593553925,-0.0870650546191165
"sizeFactor","condition","Rpv12.1.0",3,"spearman",-0.453420910128733,-0.0878563621546132
"sizeFactor","condition","Rpv12.1.24",3,"spearman",-0.359240699731829,-0.182986574785739
"sizeFactor","condition","Rpv12.1.3.0",3,"spearman",-0.286132116534883,-0.0954166699012942
"sizeFactor","condition","Rpv12.1.3.24",3,"spearman",-0.396652664077093,-0.118771843494765
"sizeFactor","condition","Rpv12.1.3.6",3,"spearman",-0.326150883413951,-0.0850947589256763
"sizeFactor","condition","Rpv12.1.6",3,"spearman",-0.35788319764506,-0.111800641500508
"sizeFactor","condition","Rpv12.24",3,"spearman",-0.541071719848418,-0.0717729386557416
"sizeFactor","condition","Rpv12.6",3,"spearman",-0.362766812910718,-0.115624750639831
"sizeFactor","condition","Susceptible.0",3,"spearman",-0.401134161012899,-0.169540388559711
"sizeFactor","condition","Susceptible.24",3,"spearman",-0.362191331058952,-0.135764362616331
"sizeFactor","condition","Susceptible.6",3,"spearman",-0.612525616036012,-0.0728200255782961
"sizeFactor","condition","GLOBAL",36,"pearson",-0.32904430715529,-0.180970250324328
"sizeFactor","condition","Rpv12.0",3,"pearson",-0.455824437028012,-0.0870650546191165
"sizeFactor","condition","Rpv12.1.0",3,"pearson",-0.441441956650668,-0.0878563621546132
"sizeFactor","condition","Rpv12.1.24",3,"pearson",-0.231361971475209,-0.182986574785739
