"matrix","grouping","level","n","method","r","slope"
"log2raw_CB_mod","condition","GLOBAL",36,"pearson",-0.353647968358126,-0.157614049216026
"log2raw_CB_mod","myTime","GLOBAL",36,"spearman",-0.671822370039203,-0.157614049216026
"log2raw_CB_mod","myTime","GLOBAL",36,"pearson",-0.353647968358126,-0.157614049216026
"log2raw_CB_mod","myResistance","GLOBAL",36,"spearman",-0.671822370039203,-0.157614049216026
"log2raw_CB_mod","myResistance","GLOBAL",36,"pearson",-0.353647968358126,-0.157614049216026
"sizeFactor_CB","condition","GLOBAL",36,"spearman",-0.681123266606936,-0.149950975519034
"sizeFactor_CB","condition","GLOBAL",36,"pearson",-0.364665061802378,-0.149950975519034
"sizeFactor_CB","myTime","GLOBAL",36,"spearman",-0.681123266606936,-0.149950975519034
"sizeFactor_CB","myTime","GLOBAL",36,"pearson",-0.364665061802378,-0.149950975519034
"sizeFactor_CB","myResistance","GLOBAL",36,"spearman",-0.681123266606936,-0.149950975519034
"sizeFactor_CB","myResistance","GLOBAL",36,"pearson",-0.364665061802378,-0.149950975519034
"sizeFactor_CB_mod","condition","GLOBAL",36,"spearman",-0.681118617753146,-0.16244816043464
"sizeFactor_CB_mod","condition","GLOBAL",36,"pearson",-0.357981427590317,-0.16244816043464
"sizeFactor_CB_mod","myTime","GLOBAL",36,"spearman",-0.681118617753146,-0.16244816043464
"sizeFactor_CB_mod","myTime","GLOBAL",36,"pearson",-0.357981427590317,-0.16244816043464
"sizeFactor_CB_mod","myResistance","GLOBAL",36,"spearman",-0.681118617753146,-0.16244816043464
"sizeFactor_CB_mod","myResistance","GLOBAL",36,"pearson",-0.357981427590317,-0.16244816043464
"rlog_blind_CB","condition","GLOBAL",36,"spearman",-0.030418865689971,-0.00132675104889746
"rlog_blind_CB","condition","GLOBAL",36,"pearson",-0.0106453043045337,-0.00132675104889746
"rlog_blind_CB","myTime","GLOBAL",36,"spearman",-0.030418865689971,-0.00132675104889746
"rlog_blind_CB","myTime","GLOBAL",36,"pearson",-0.0106453043045337,-0.00132675104889746
"rlog_blind_CB","myResistance","GLOBAL",36,"spearman",-0.030418865689971,-0.00132675104889746
"rlog_blind_CB","myResistance","GLOBAL",36,"pearson",-0.0106453043045337,-0.00132675104889746
"rlog_blind_CB_mod","condition","GLOBAL",36,"spearman",-0.0367836777576902,-0.00225664283509291
"rlog_blind_CB_mod","condition","GLOBAL",36,"pearson",-0.0161726191810272,-0.00225664283509291
"rlog_blind_CB_mod","myTime","GLOBAL",36,"spearman",-0.0367836777576902,-0.00225664283509291
"rlog_blind_CB_mod","myTime","GLOBAL",36,"pearson",-0.0161726191810272,-0.00225664283509291
"rlog_blind_CB_mod","myResistance","GLOBAL",36,"spearman",-0.0367836777576902,-0.00225664283509291
