"rep","n_significant","median_module_size","anchor_identity_jaccard","mean_partner_set_jaccard"
1,2891,162,0.679340937896071,0.459064922683566
2,3450,134,0.49846547314578,0.478152071149722
3,3028,121,0.567762399077278,0.505751189545844
4,2862,146.5,0.703069466882068,0.525625231388847
5,2046,132,0.639676113360324,0.526765387332575
6,2844,130,0.578899909828674,0.479850525428722
7,2667,483,0.681351440874462,0.412090718324585
8,2189,131,0.714392244593587,0.509815362031447
9,2750,428.5,0.660978750804894,0.382313566831606
10,2778,227,0.652437081873208,0.378225037791075
11,3159,168,0.55011135857461,0.393660170719173
12,2770,132,0.70137976346912,0.540429495734813
13,3450,322,0.570356472795497,0.467610548353892
14,3795,352,0.464589235127479,0.422739619657224
15,3734,203,0.566292707802142,0.425041348932562
16,2940,115,0.527849185946872,0.389910704069889
17,2698,293,0.664602346805737,0.396956385440174
18,1857,91,0.556934306569343,0.483972098539315
19,2660,248,0.55062710308963,0.457879549343992
20,2268,160,0.639327024185068,0.446527848339318
21,2929,147,0.705976350271652,0.536271116732887
22,2190,101,0.614817415730337,0.449980210893838
23,2983,111,0.610513739545998,0.468368119284541
24,2928,321.5,0.588392857142857,0.424090658438404
25,2123,82,0.506648936170213,0.446303950775943
26,2337,108,0.633734939759036,0.51076968355021
27,3879,246,0.484419263456091,0.512125989612248
28,2342,233,0.613242784380306,0.33651344434517
29,2577,127,0.780714285714286,0.557215756678028
30,2728,135,0.707779255319149,0.506509227632143
31,2727,130,0.629441624365482,0.503762893082008
32,2613,332,0.665671641791045,0.478600941168523
33,2572,312.5,0.619837398373984,0.427281001969044
34,2259,322,0.673718178558623,0.387665696162241
35,3255,121,0.561190738699008,0.485911615580764
36,2788,225.5,0.684057031756319,0.474905516022995
37,2414,195,0.67639902676399,0.375869461104998
38,2585,124,0.577883096366509,0.397445526851107
39,2361,161,0.599597585513079,0.428548911869739
40,2268,100,0.618339100346021,0.533906422082613
41,3186,211,0.585884353741497,0.482788397189255
42,2799,149,0.641348881184998,0.498231136559444
43,3206,257,0.49295400159532,0.340907889333547
44,2390,136.5,0.747632920611799,0.558360179413959
45,2703,139,0.697211155378486,0.506192658495461
46,2516,131,0.652130157665213,0.552899440256013
47,3018,132,0.534351145038168,0.499528101200268
48,2832,177,0.661699429296132,0.438862658495234
49,2288,103,0.650966608084359,0.511547024995535
50,2988,363.5,0.653492647058823,0.387776117742771
51,1943,111,0.538896746817539,0.36386106018844
