bioproject	run_accession	sample_alias	library_name	experiment_title
PRJNA1121615	SRR29330612	MV032-T1-S6-1	MV032-T1-S6-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330613	MV102-T2-S7-3	MV102-T2-S7-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330614	MV102-T2-S7-2	MV102-T2-S7-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330618	MV102-T1-S6-1	MV102-T1-S6-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330620	MV102-T0-L5-2	MV102-T0-L5-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330621	MV102-T0-L5-1	MV102-T0-L5-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330622	MV032-T6-SH11-3	MV032-T6-SH11-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330625	MV032-T6-SH11-1	MV032-T6-SH11-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330627	MV032-T5-R10-2	MV032-T5-R10-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330630	MV032-T4-R9-2	MV032-T4-R9-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330632	MV032-T3-R8-3	MV032-T3-R8-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330634	MV032-T0-L5-2	MV032-T0-L5-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330635	MV032-T0-L5-1	MV032-T0-L5-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330597	MV032-T2-S7-1	MV032-T2-S7-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330602	MV102-T6-SH11-1	MV102-T6-SH11-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330605	MV102-T5-R10-1	MV102-T5-R10-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330606	MV102-T4-R9-3	MV102-T4-R9-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330610	MV102-T3-R8-2	MV102-T3-R8-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330615	MV102-T2-S7-1	MV102-T2-S7-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330617	MV102-T1-S6-2	MV102-T1-S6-2	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330619	MV102-T0-L5-3	MV102-T0-L5-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV102 during ripening
PRJNA1121615	SRR29330623	MV032-T0-L5-3	MV032-T0-L5-3	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330628	MV032-T5-R10-1	MV032-T5-R10-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
PRJNA1121615	SRR29330631	MV032-T4-R9-1	MV032-T4-R9-1	Illumina HiSeq 3000 sequencing: RNA-Seq of Microvine MV032 during ripening
