"gene","historical_3553","new_min_FDR","new_max_abs_log2FC","FDR_percentile","absLFC_percentile"
"Vitvi00g00444",TRUE,0.000108003298437605,2.43020675765341,0.208376323130421,0.145936031181933
"Vitvi00g00447",FALSE,8.84291627245748e-05,7.35381483692534,0.200504413619168,0.0174634109060339
"Vitvi00g00615",FALSE,0.140078091124763,0.33596391649631,0.814341396308609,0.805838969773396
"Vitvi00g00786",FALSE,1.57359432398329e-05,1.98142218237397,0.145515686499293,0.189422599258665
"Vitvi00g00859",TRUE,2.83598515331486e-07,2.32137060874779,0.080744392219802,0.156215369330123
"Vitvi00g00918",FALSE,Inf,0.150770413203185,0.970728724827085,0.917344950131835
"Vitvi00g01462",FALSE,Inf,0.0460071184058587,0.970728724827085,0.965034965034965
"Vitvi00g01805",TRUE,1.98760443312462e-11,3.92524898588147,0.0291566357140128,0.071611448660629
"Vitvi00g04001",FALSE,0.0255058376590112,3.13485077652004,0.613130039359548,0.10107378959838
"Vitvi00g04005",TRUE,2.37243977177315e-07,3.53630429180414,0.079215866101112,0.0845274943635599
"Vitvi00g04006",TRUE,8.43588569963898e-26,4.1057483091212,0.00328633115518361,0.0669494439986243
"Vitvi00g04007",FALSE,0.00531606432957242,0.566563257543893,0.447361381787611,0.603614964270702
"Vitvi00g04011",FALSE,0.000301130737454005,2.27252562233697,0.252512514807597,0.160877373992128
"Vitvi00g04017",TRUE,1.18803880483323e-08,3.60255125585677,0.0557147770262524,0.0818907868088196
"Vitvi00g04018",FALSE,0.000350753086705929,1.4218748005729,0.25969658756544,0.267606710229661
"Vitvi00g04019",FALSE,0.022042820551121,3.09385689543086,0.597118728266269,0.102908020940808
"Vitvi00g04022",TRUE,2.11054872189895e-07,3.54325275800293,0.078298750429898,0.0842217891398219
"Vitvi00g04023",FALSE,Inf,0.0768616877946683,0.970728724827085,0.945431617562765
"Vitvi00g04024",TRUE,1.78485713440401e-07,2.65717974033121,0.0765409453934044,0.129275096488211
"Vitvi00g04025",FALSE,0.365504556487018,0.226422626400235,0.906530627842103,0.885742672627919
"Vitvi00g04030",TRUE,2.11963501225155e-06,1.57632252560649,0.107378959837976,0.241927471435668
"Vitvi00g04032",FALSE,0.000603957447364261,2.14716190221343,0.288662157514617,0.171997401505598
"Vitvi00g04033",FALSE,0.0394348262169766,1.43884043038034,0.664373877488632,0.264740723757117
"Vitvi00g04035",TRUE,0.00137495546582764,2.3598938140926,0.341549161221292,0.152585119798235
"Vitvi00g04036",FALSE,0.0224380300224395,0.408281853984251,0.598972066185181,0.741067675493905
"Vitvi00g04037",TRUE,2.08460911939347e-12,2.77663545438407,0.0239214337574993,0.121135694906187
"Vitvi00g04038",FALSE,0.231771589411157,0.558781717102987,0.867629638121441,0.609385150368757
"Vitvi00g04039",FALSE,0.000964875622001897,1.97524034770906,0.317169169628186,0.190148649165043
"Vitvi00g04040",TRUE,0.0163358765711821,1.61446130640238,0.563567579961023,0.235775153807941
"Vitvi00g04041",FALSE,0.165029353721567,0.340013442834671,0.83094501127288,0.80217050708854
"Vitvi00g04042",FALSE,0.0270676731864925,0.350680441617844,0.619205930681341,0.793075776682334
"Vitvi00g04043",FALSE,0.103184064165282,0.873122065908791,0.778096220719172,0.418663303909206
"Vitvi00g04044",FALSE,6.73259530755788e-05,1.12445362165659,0.19060720700065,0.331613741449807
"Vitvi00g04045",FALSE,0.00776303537231476,1.06577466014089,0.484810271695518,0.349612136497382
"Vitvi00g04046",FALSE,0.13500318612429,0.49220637414507,0.809622071917154,0.663189269746647
"Vitvi00g04047",FALSE,0.124670768257214,0.200128032437761,0.801005005923039,0.898200160495242
"Vitvi00g04048",FALSE,0.0946585466031043,0.463381640702066,0.76839007986549,0.688830295387672
"Vitvi00g04049",FALSE,0.000627261374524694,1.61001336232438,0.290515495433528,0.236424777408384
"Vitvi00g04051",FALSE,0.00472650221811149,0.970974071996217,0.437464175169093,0.380335511483052
"Vitvi00g04052",FALSE,Inf,0.075052151204735,0.970728724827085,0.946463372692881
"Vitvi00g04053",FALSE,0.486592114627632,0.1389743460068,0.923917612442203,0.921739462723069
"Vitvi00g04059",FALSE,0.0112756510591938,2.72104312098726,0.523233597004089,0.124918797049945
"Vitvi00g04060",FALSE,0.0106841940557043,1.66699644876876,0.515877565057893,0.229011425732737
"Vitvi00g04063",FALSE,Inf,0.0545041292563804,0.970728724827085,0.957545187053384
"Vitvi00g04066",FALSE,Inf,0.12215205998067,0.970728724827085,0.927929993503764
"Vitvi00g04067",FALSE,0.162315968304414,0.287726849988123,0.829034353624518,0.845045664717796
"Vitvi00g04068",FALSE,0.197810895481651,0.438473160625787,0.851350834957392,0.712178531850663
"Vitvi00g04069",FALSE,0.0252047858887094,3.39828843636354,0.611639726393825,0.0899537620849096
"Vitvi00g04070",FALSE,0.454617465788238,0.242014376365722,0.920134510298445,0.876800794833582
"Vitvi00g04076",FALSE,0.00689283080227918,4.54698029104643,0.472811341663801,0.056555466391532
"Vitvi00g04079",FALSE,0.242509618619449,0.133251716112795,0.871985937559708,0.924185104512973
"Vitvi00g04081",FALSE,0.35055067625869,0.415297603932036,0.90351178875769,0.734533226336505
"Vitvi00g04091",FALSE,0.073411873857058,0.372270103098772,0.738029729833009,0.773090297680462
"Vitvi00g04102",FALSE,0.0276064837826903,0.908057986731561,0.621727998777179,0.403569108487141
"Vitvi00g04103",FALSE,0.158664594863309,0.428266635711239,0.826665138140548,0.721922885857312
