#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACD6	SAG101	3702.Q8LPS2	3702.Q4F883	0	0	0	0	0	0	0	0.404	0.404
ACD6	EDS1	3702.Q8LPS2	3702.Q9SU72	0	0	0	0	0.065	0	0	0.758	0.764
EDS1	SAG101	3702.Q9SU72	3702.Q4F883	0	0	0	0.576	0.193	0.981	0.720	0.944	0.999
EDS1	WRKY51	3702.Q9SU72	3702.Q93WU9	0	0	0	0	0.117	0	0	0.400	0.447
EDS1	SARD4	3702.Q9SU72	3702.Q9FLY0	0	0	0	0	0.109	0	0	0.576	0.606
EDS1	SOBIR1	3702.Q9SU72	3702.Q9SKB2	0	0	0	0	0.306	0.063	0.069	0.756	0.832
MIK2	SOBIR1	3702.Q8VZG8	3702.Q9SKB2	0	0	0.108	0.712	0.403	0.071	0.071	0.144	0.535
SAG101	SOBIR1	3702.Q4F883	3702.Q9SKB2	0	0	0	0	0.197	0	0	0.306	0.418
