"gene","baseMean","LRT_statistic","pvalue","padj"
"Vitvi01g04000",2.02383315141025,0.294794341562934,0.999521938001013,NA
"Vitvi01g04001",22.3165096565333,2.17134377266262,0.903284767058513,0.974388815777405
"Vitvi01g04002",116.493693531344,7.87448627018244,0.247443774018345,0.535075278790822
"Vitvi01g04003",1.89517259219522,2.48700397952953,0.869919282532931,NA
"Vitvi01g04004",2.74935878014419,5.49674457529605,0.481850254403428,NA
"Vitvi01g04005",94.9894928132899,4.26565074198191,0.640775601602294,0.852774829612857
"Vitvi01g00002",241.511645770331,24.3074305295425,0.000458435516767029,0.00759497647181197
"Vitvi01g00005",1384.43039635908,2.23899045864906,0.896459128927365,0.972291799103963
"Vitvi01g01834",260.202956161482,10.677583767159,0.0988670262020488,0.316068755889224
"Vitvi01g00006",2670.57392693665,7.50060682283828,0.27701827506348,0.569045492789722
"Vitvi01g01835",36.4970686453643,15.1025263260723,0.0194741057661703,0.11118269913604
"Vitvi01g01836",3.6440663210269,9.38882706398286,0.152862517975991,NA
"Vitvi01g00008",2.6604225554177,2.24288357006644,0.89606063400342,NA
"Vitvi01g00011",3.84741598579273,0.855691200859994,0.990496626587384,NA
"Vitvi01g00012",657.06540538147,34.9413473476178,4.42373816562994e-06,0.000177707881739306
"Vitvi01g01837",565.025421766576,26.3549412994563,0.000191170129476213,0.00378215575108193
"Vitvi01g00014",33.1026960413542,3.71166304740174,0.715628558690894,0.892684190069962
"Vitvi01g01838",1406.45358137986,24.3309996210704,0.000453872277593682,0.00754307827773897
"Vitvi01g00015",2.01764422971496,2.29100789458458,0.891084916513714,NA
"Vitvi01g00019",0.524930716282628,0.541466416745301,0.997296690771543,NA
"Vitvi01g00023",740.903157525704,5.13190984002762,0.527009580504697,0.785153436906193
"Vitvi01g00024",578.109882343888,4.29614743552401,0.636667742778956,0.850409385915058
"Vitvi01g00025",861.472406593106,17.0355775020275,0.00915337726557844,0.0669829030295105
"Vitvi01g00026",2811.84641958611,22.2205373894415,0.00110433385746859,0.0148441051969487
"Vitvi01g00027",415.708991007388,7.60038326896034,0.268865726894805,0.559618628489794
"Vitvi01g04008",31.7048390547706,3.68042839676036,0.719830042113933,0.895527303611294
"Vitvi01g00028",539.049812853127,14.780013541969,0.0220384826769354,0.12058541124326
"Vitvi01g00029",2532.40206498395,5.43324743222689,0.489561091376535,0.758645970756016
"Vitvi01g00031",18.1595083577211,5.44314667113051,0.488354661375531,0.757977613218277
"Vitvi01g00033",2397.88603409239,13.2085157962963,0.0398416434880309,0.178399206191629
"Vitvi01g00034",841.869875279422,11.9279965985566,0.0635945237703568,0.240336047630504
"Vitvi01g00035",1549.57052737728,8.00717294555585,0.23757826827064,0.523280387384093
"Vitvi01g00036",360.602583874191,16.4459541658823,0.0115503317601603,0.0785035439322528
"Vitvi01g00037",860.660303615871,23.4737639060178,0.000652382086555948,0.00988633219952904
"Vitvi01g00038",3015.18575442621,6.93735721639791,0.326679271179632,0.621130281611052
"Vitvi01g01840",154.430549983506,2.50822154502774,0.867546411233726,0.962243153493055
"Vitvi01g00039",1293.50015057633,5.64840396866117,0.463704567528566,0.739528836144696
"Vitvi01g00041",1870.09553131631,11.8966137770957,0.0643153675175874,0.24188460974604
"Vitvi01g04009",77.9222487119084,22.2461413046209,0.00109257704906569,0.0147802757952504
"Vitvi01g00042",1253.95218648093,1.08679464423523,0.982107025481019,0.997382249116131
"Vitvi01g00043",545.376384466738,2.58513826830207,0.858820300841708,0.959758838610767
"Vitvi01g00045",708.470593389459,4.55314852455589,0.60226025577328,0.831446477187126
"Vitvi01g00046",41.7756019390168,2.47863265560071,0.870851305481482,0.963729705765855
"Vitvi01g00047",33.420341298891,8.71926605633104,0.189992752097782,0.459248956073608
"Vitvi01g00048",468.868238767306,1.66640712418504,0.947685118975646,0.988788733742823
"Vitvi01g00049",2723.25482161673,5.27825229308286,0.508652106008313,0.77187405679302
"Vitvi01g00050",789.432139551117,4.26145225709303,0.641341446180069,0.852875848279628
"Vitvi01g00051",3343.03487277349,18.1667846011035,0.00582863309667581,0.0491310439683824
"Vitvi01g01841",1932.19768691084,6.45727965267582,0.37395867856095,0.665046676014035
"Vitvi01g00052",1049.29648509891,4.44971049731322,0.616056778646059,0.838343143734266
