"sample_id","batch","condition","residual_mean","residual_RMS","residual_median_absolute"
"Rpv12.0.A","B1","Rpv12.0",0.00062679398957593,0.833836428823352,0.49473607735226
"Rpv12.6.A","B2","Rpv12.6",0.0459256868032196,1.0397891010791,0.724494745697102
"Rpv12.24.A","B2","Rpv12.24",0.0166103722076705,0.548640632731179,0.338690118567193
"Rpv12.1.0.A","B1","Rpv12.1.0",0.0143978912068193,0.660243424806137,0.42661354640989
"Rpv12.1.6.A","B2","Rpv12.1.6",-0.0421558359437204,0.700184143895212,0.48823735530792
"Rpv12.1.24.A","B2","Rpv12.1.24",0.0548536077706107,0.961671835488969,0.696436100102678
"Rpv12.1.3.0.A","B1","Rpv12.1.3.0",-0.00728416307845493,0.698471657064192,0.434109138470744
"Rpv12.1.3.6.A","B1","Rpv12.1.3.6",-0.0117948699857896,0.87534959217181,0.589437752753515
"Rpv12.1.3.24.A","B2","Rpv12.1.3.24",-0.00598733372769126,0.484838420026918,0.328768464925525
"Susceptible.0.A","B2","Susceptible.0",0.00884662106759731,0.616317267770869,0.422937610966959
"Susceptible.6.A","B2","Susceptible.6",-0.00798137476969937,0.39817734556002,0.215501867181635
"Susceptible.24.A","B2","Susceptible.24",-0.0711965093671103,0.924170929353359,0.679283011033842
"Rpv12.0.B","B1","Rpv12.0",-0.026104668281516,0.649580607677706,0.41068510425459
"Rpv12.6.B","B2","Rpv12.6",-0.0695624203985674,0.659878351981683,0.480471711613142
"Rpv12.24.B","B2","Rpv12.24",-0.0187243890989891,0.476914180678108,0.298518834343963
"Rpv12.1.0.B","B1","Rpv12.1.0",-0.0124228794634328,0.554978939989059,0.360519280402498
"Rpv12.1.6.B","B1","Rpv12.1.6",-0.0571615321620851,0.69443253634487,0.459452330516957
"Rpv12.1.24.B","B1","Rpv12.1.24",-0.0790179779683006,0.818408559177654,0.589458397014359
"Rpv12.1.3.0.B","B1","Rpv12.1.3.0",-0.0380004058793233,0.665734111652383,0.422682675421723
"Rpv12.1.3.6.B","B1","Rpv12.1.3.6",-0.0129271899257329,0.723624627986466,0.480432360797137
"Rpv12.1.3.24.B","B2","Rpv12.1.3.24",0.0159552416095711,0.551730290850364,0.37525206152593
"Susceptible.0.B","B1","Susceptible.0",-0.0169954331836465,0.933573968263926,0.647849625447001
"Susceptible.6.B","B2","Susceptible.6",0.0200630496320078,0.398180624883671,0.222901784758906
"Susceptible.24.B","B2","Susceptible.24",0.0162875892586664,1.06039727441734,0.696627910172626
"Rpv12.0.C","B1","Rpv12.0",-0.0184779745503939,0.598924647594447,0.3670317284595
"Rpv12.6.C","B1","Rpv12.6",-0.0168778120575201,0.731104189592658,0.492354832727366
"Rpv12.24.C","B2","Rpv12.24",-0.0284920592450091,0.399756753974755,0.220760219536316
"Rpv12.1.0.C","B1","Rpv12.1.0",-0.0408750624123094,0.589564016328773,0.383899190262414
"Rpv12.1.6.C","B1","Rpv12.1.6",0.0535373493048494,0.761232000774698,0.497543959281515
"Rpv12.1.24.C","B1","Rpv12.1.24",-0.0238626669943837,0.724646755210803,0.498905723777716
"Rpv12.1.3.0.C","B1","Rpv12.1.3.0",-0.0369969714224477,0.69015348330958,0.435478372380274
"Rpv12.1.3.6.C","B2","Rpv12.1.3.6",-0.0286066880471317,0.886278023772106,0.659741310443821
"Rpv12.1.3.24.C","B1","Rpv12.1.3.24",-0.0533975518199061,0.775980571831802,0.530928230104697
"Susceptible.0.C","B2","Susceptible.0",-0.0320347485661167,0.599177604867745,0.411178889475998
"Susceptible.6.C","B2","Susceptible.6",-0.0367406385490878,0.463189816363722,0.265939023574807
"Susceptible.24.C","B1","Susceptible.24",0.0220038496986359,0.817195584520476,0.519344255296948
