"gene","baseMean","LRT_statistic","pvalue","padj"
"Vitvi01g04000",2.01950793963856,1.4129350394302,0.23456977045784,0.327953059701455
"Vitvi01g04001",20.1027449840397,2.11342229631475,0.146012460200971,0.221609350019167
"Vitvi01g04002",109.758549760155,3.68456735905386,0.0549182175030296,0.097028485829363
"Vitvi01g04003",1.57671593377206,0.277837981817243,0.598121794008213,0.688502407120191
"Vitvi01g04004",2.38047207840592,0.306031289193072,0.580125817696874,0.672443722773202
"Vitvi01g04005",93.5308762632496,26.4492534888471,2.70553016607347e-07,2.17679429037838e-06
"Vitvi01g00002",328.163658457032,32.4255142701527,1.23849667577401e-08,1.43314251312206e-07
"Vitvi01g00005",1367.12181323194,3.06335742288712,0.0800760536606654,0.133873076681878
"Vitvi01g01834",298.687823151592,0.755016630224873,0.384892569048742,0.489724909212125
"Vitvi01g00006",2544.93301508767,5.76777372407031,0.0163226999904362,0.0339748256982415
"Vitvi01g01835",49.5740152538677,13.3315385073818,0.00026097930839394,0.000908889771217574
"Vitvi01g01836",2.86983081361166,2.76234033563637,0.0965069636530981,0.156623554450443
"Vitvi01g00008",2.71518421603291,0.770156872105417,0.380168527061116,0.484673557890585
"Vitvi01g00011",4.84329645868876,1.13819450794617,0.286034160547668,0.385233232277148
"Vitvi01g00012",727.485997414008,3.95371306045149,0.0467680662470126,0.0845573227698078
"Vitvi01g01837",552.695234652812,6.46857724835286,0.0109798398723542,0.0240679184175922
"Vitvi01g00014",36.4799330306163,6.39873505073251,0.0114201704887727,0.0248935869900376
"Vitvi01g01838",1459.02299757768,3.47811238757345,0.062185636215193,0.107652683142259
"Vitvi01g00015",2.06720530280988,0.155329599396651,0.693493358897475,0.772166645626436
"Vitvi01g00019",0.381644691548379,0.100897463601768,0.750755289272235,NA
"Vitvi01g00023",680.191030901589,27.3656937541855,1.68392248817356e-07,1.42805901613232e-06
"Vitvi01g00024",549.512156617439,0.00789068234757906,0.929217402560528,0.951819048250849
"Vitvi01g00025",754.832548240042,12.1753638316806,0.00048424853259217,0.00156931687042103
"Vitvi01g00026",2762.47180307152,8.85778544507798,0.0029184142652931,0.0075804755454814
"Vitvi01g00027",396.780650836864,30.0839478935785,4.13741800731133e-08,4.15360350562844e-07
"Vitvi01g04008",30.6222705156973,0.700477479292942,0.402623300792047,0.506770941517032
