"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vitvi01g04000",2.01950793963856,1.90647044948746,1.63475350922605,1.16621278910119,0.243528423042453,0.329119374907099
"Vitvi01g04001",20.1027449840397,0.42208551202816,0.292147238341605,1.44476981683674,0.148522551782459,0.217677565154854
"Vitvi01g04002",109.758549760155,0.260503199302266,0.137061558269092,1.90062919604943,0.0573505985502471,0.0968310539793515
"Vitvi01g04003",1.57671593377206,0.818123852529888,1.28393142620992,0.637202140105673,0.523993183865647,NA
"Vitvi01g04004",2.38047207840592,0.777170028271778,1.19378029910722,0.651015960686394,0.51503618392328,0.605059062363544
"Vitvi01g04005",93.5308762632496,0.775395707127875,0.149941558890575,5.17131949851041,2.32446737384881e-07,1.59474191821433e-06
"Vitvi01g00002",328.163658457032,1.75610303035024,0.279031029441457,6.29357614407787,3.10234217054848e-10,4.39556161087283e-09
"Vitvi01g00005",1367.12181323194,-0.0953498333828923,0.05415282846961,-1.76075444399736,0.0782799734418522,0.126587861348331
"Vitvi01g01834",298.687823151592,0.252147474337977,0.287777590184066,0.876188705926337,0.380927455330091,0.475253286952419
"Vitvi01g00006",2544.93301508767,-0.19958236348182,0.0834803098993681,-2.39077171278362,0.0168130033317573,0.0331168128483242
"Vitvi01g01835",49.5740152538677,2.61472293478067,0.57492934709454,4.54790305625277,5.41830824836372e-06,2.62474121109754e-05
"Vitvi01g01836",2.86983081361166,1.58891225190181,0.85911055770133,1.8494851886737,0.0643877845601392,0.106983394412037
"Vitvi01g00008",2.71518421603291,0.830819394686008,0.929385060440104,0.893945287104765,0.371351165590342,0.465350936096046
"Vitvi01g00011",4.84329645868876,1.37038237288178,1.25756799296996,1.08970837405411,0.275841626157952,0.364900361708619
"Vitvi01g00012",727.485997414008,0.467087531990116,0.215298718628857,2.16948588902336,0.0300458145249381,0.0550182483624673
"Vitvi01g01837",552.695234652812,0.529364704769575,0.198558116327611,2.66604415150751,0.0076749612655036,0.0166402318604849
"Vitvi01g00014",36.4799330306163,0.744354809647551,0.286572715380229,2.59743782188032,0.00939221229882214,0.0198915729446396
"Vitvi01g01838",1459.02299757768,0.329516323929561,0.171178639917402,1.92498505706413,0.0542312277025178,0.0922185472675993
"Vitvi01g00015",2.06720530280988,-0.62391420062178,1.28820472654956,-0.484328451652966,0.6281527870108,0.707133460753177
"Vitvi01g00019",0.381644691548379,0.973673132208491,4.10233130138363,0.237346294259582,0.812388150318498,NA
"Vitvi01g00023",680.191030901589,-0.534037942933969,0.102441725695856,-5.21309006956305,1.85720664553006e-07,1.29703441823429e-06
"Vitvi01g00024",549.512156617439,0.00707875481571785,0.0807320724107239,0.0876820649382656,0.930129374819165,0.949409521765372
"Vitvi01g00025",754.832548240042,-0.516781284930775,0.148198882826904,-3.48707949124268,0.000488326190027203,0.00146007715479137
"Vitvi01g00026",2762.47180307152,0.312095469412091,0.102118402526738,3.05621182558523,0.00224152835818513,0.00564275824252988
"Vitvi01g00027",396.780650836864,-0.550213534182209,0.0998602769527474,-5.50983384957528,3.59172565013491e-08,3.00814815036811e-07
"Vitvi01g04008",30.6222705156973,-0.221465911432354,0.267870635067206,-0.82676442446478,0.408370597755061,0.502400150575224
"Vitvi01g00028",497.797551809818,-0.330073578808061,0.0963600363378649,-3.42541982498567,0.000613850077334334,0.00178754387110791
"Vitvi01g00029",2420.76380739815,-0.109676070692658,0.069111416887213,-1.58694577006928,0.112524927428123,0.17243993629159
"Vitvi01g00031",10.7938826165235,0.477470686714058,1.01916920082562,0.468490105791328,0.639434144910877,0.717389988494656
"Vitvi01g00033",2574.70351025639,0.0440789919384643,0.168098204487524,0.262221670200742,0.793150547366247,0.845912727961465
"Vitvi01g00034",700.650025245038,-0.660359752354188,0.217878275691597,-3.03086551542622,0.00243853834890336,0.00607783202362247
"Vitvi01g00035",1417.85748863354,-0.170765365793197,0.0973978569798992,-1.75327641786245,0.0795545713587161,0.128356553147072
"Vitvi01g00036",348.830999358662,1.50150975796586,0.342550477655627,4.38332408187548,1.16882037224987e-05,5.22171204629091e-05
"Vitvi01g00037",706.915312899506,0.29342933997085,0.206128733353798,1.42352468380626,0.154584111756295,0.224940298671308
"Vitvi01g00038",2771.02455072001,-0.164788646561608,0.0853524598246846,-1.93068421109464,0.0535221166387706,0.091170854385944
"Vitvi01g01840",149.971852273858,-0.241877225256951,0.155962961115479,-1.55086325321727,0.120934458274849,0.18327278268877
"Vitvi01g00039",1258.38500226162,-0.0418061058999516,0.0744568619971056,-0.561480900196637,0.574469747244383,0.659155477258059
"Vitvi01g00041",1738.52044221449,0.140744696015878,0.113348234470191,1.24170170513677,0.214346640615032,0.295927277988705
"Vitvi01g04009",74.9632220675138,-0.334511470333175,0.217586455192956,-1.53737267348066,0.124202074208675,0.187386472117871
"Vitvi01g00042",1199.43719190285,-0.0756911828034953,0.0703727008265595,-1.0755759252447,0.282116959180241,0.371876542368753
"Vitvi01g00043",537.288646446013,-0.218948242869338,0.0642033224053489,-3.41023228497435,0.000649075725790467,0.00187810866861712
"Vitvi01g00045",665.743066346231,-0.138190600543121,0.0876268415086527,-1.57703505186222,0.114787459983743,0.17538669085282
"Vitvi01g00046",34.7251898506302,-0.236878031466437,0.235383459193013,-1.00634952123886,0.31424746668176,0.406523542974705
"Vitvi01g00047",29.8478185631179,-0.273942378363098,0.326822766610086,-0.838198578405411,0.401919185338474,0.496031303924711
"Vitvi01g00048",407.67425671793,0.0152449578933712,0.123723391953802,0.123218072610422,0.901934414748347,0.92919924398885
"Vitvi01g00049",2651.06471531799,0.0692989018124519,0.0879699325668351,0.787756677655768,0.430839046030497,0.524592065510747
"Vitvi01g00050",836.335831247749,0.604200480709224,0.158037190453685,3.82315377143009,0.000131755553475632,0.000453902020247506
"Vitvi01g00051",3548.4586451473,0.580133391987332,0.113786277617153,5.09844775781538,3.42450013457636e-07,2.25456381302028e-06
"Vitvi01g01841",1785.2197853826,-0.278277709218057,0.065701398592387,-4.23549140779329,2.28052424201779e-05,9.49883815564426e-05
"Vitvi01g00052",1487.37661708538,2.708330246395,0.362932200732617,7.46235864695374,8.49871704172247e-14,3.01566975734885e-12
"Vitvi01g00053",517.278349928356,0.666186665506216,0.229993628164735,2.89654400785857,0.00377297719870236,0.0089402108246577
"Vitvi01g00054",1156.33836082795,-0.188371162442521,0.1007857111211,-1.8690264755505,0.0616191310211698,0.103014481563764
"Vitvi01g00055",688.893095678715,0.0451249912354324,0.11968340929138,0.377036311904948,0.706146619864944,0.7757244297031
"Vitvi01g01842",111.813297935888,-0.588413696208837,0.211028389002269,-2.78831534937467,0.00529829416562355,0.0120428611915083
"Vitvi01g00056",2215.28141077212,0.484401659618475,0.1205078372136,4.01966934947038,5.82798771021406e-05,0.000220516724885926
"Vitvi01g00058",2727.35309744071,-0.093507426715039,0.0834103568046398,-1.12105295190198,0.262265323516797,0.349933642509224
"Vitvi01g01843",393.225299245446,-0.549800264015443,0.149577320684353,-3.67569268857052,0.00023720492465364,0.000763746680940442
"Vitvi01g00059",8.37554203549913,2.66905613204858,1.1224810646174,2.37781840262788,0.0174154002636834,0.034175031958557
"Vitvi01g00060",1607.43615414806,-0.736399904701736,0.130899922981175,-5.62567103120174,1.84788212636406e-08,1.66807137400069e-07
"Vitvi01g00061",3232.64048513671,1.45088119887359,0.233717979711053,6.20782877152764,5.37216369968726e-10,7.21080429926929e-09
"Vitvi01g00062",1656.90773181582,-0.0175339901036613,0.0845163314081992,-0.207462744909918,0.835648484955329,0.879574345379826
"Vitvi01g00063",7.10977616126244,2.8887609082827,1.09467635552074,2.63891778945798,0.00831711474529162,0.0178706011686111
"Vitvi01g01844",1045.45442680575,-1.2492807896542,0.216691427001912,-5.76525249262946,8.15356794623835e-09,8.11623106331622e-08
"Vitvi01g00064",499.634707528757,0.797136437565588,0.207374562552432,3.84394511918039,0.000121072092417386,0.000421186349183838
"Vitvi01g00065",18.8927254402759,-0.135282966580167,0.334616609615147,-0.404292443031325,0.685997681888814,0.758346912827928
"Vitvi01g00066",849.191775446742,-2.06910582748093,0.380593115453204,-5.43652983585127,5.43282455479171e-08,4.34788138250644e-07
"Vitvi01g00067",46.7074954590173,-0.777822491936741,0.393063674187917,-1.97887147303487,0.0478304788184978,0.0827135113173894
"Vitvi01g04012",1066.77838022701,-0.572730195109101,0.0768458523429878,-7.45297472338287,9.12587730238974e-14,3.21457362670601e-12
"Vitvi01g04013",2458.0030086906,-1.02688132643009,0.142556805477598,-7.20331325459912,5.876674948155e-13,1.62986540027623e-11
"Vitvi01g00070",1780.92901231498,0.313486422437784,0.108421423211904,2.89136974179994,0.00383566560113886,0.00906915975403032
"Vitvi01g04014",197.154347541436,0.00639155393579304,0.128637368863654,0.0496866034516581,0.960372132170654,0.971606674094159
"Vitvi01g00071",1844.93731954392,-0.303002898297499,0.0817135344506754,-3.70811151829934,0.000208810699994086,0.000680496134543127
"Vitvi01g00073",0.824228577666632,0.715640570536626,2.23872918548556,0.319663751728599,0.749223240980875,NA
"Vitvi01g01845",253.941974565613,1.34336119524358,0.193361336768172,6.94741367481435,3.72043573967172e-12,8.6234768455849e-11
"Vitvi01g01846",9958.08573548249,-0.174453541604971,0.139027172429521,-1.25481615252881,0.209545507540452,0.290300293315921
"Vitvi01g00074",1537.88304544803,-0.0236097870955998,0.0939723870716589,-0.251241751234819,0.8016272066978,0.852767078318103
"Vitvi01g00075",2576.21596124039,0.050762022760282,0.13012115977925,0.390113513024321,0.696452610970958,0.767513361503459
"Vitvi01g00076",3368.51870963245,-0.0400286045301008,0.0507423452365096,-0.78885996190219,0.430193858955367,0.523985240925495
"Vitvi01g00077",2596.32972980331,0.0488413053681534,0.0874944386469157,0.558221826706641,0.576692918162764,0.661266141821476
"Vitvi01g00078",26.472572305431,-0.183505013616848,0.258167939608157,-0.710797064482017,0.477209999984576,0.569578556075774
"Vitvi01g00079",52.9214234055403,-0.448645014153501,0.233544732999529,-1.92102390146562,0.0547286942818241,0.0929571071607865
"Vitvi01g00080",1553.61011650339,0.120679322290402,0.0761085429742719,1.58562124006496,0.112825255076743,0.172804403944822
"Vitvi01g01847",71.5854556361079,-0.29292406307816,0.176656379550846,-1.65815728717484,0.0972857234571981,0.152280714972347
"Vitvi01g00081",3052.41286462942,0.345408905126613,0.0984938426495998,3.50690861311437,0.000453344812851802,0.00136313323918127
"Vitvi01g00082",868.676552403706,-0.448207694477638,0.105499130567173,-4.24844917742955,2.15255465951545e-05,9.0109284141999e-05
"Vitvi01g01848",14.4269755987117,0.234726515996908,0.553517539514342,0.424063375124225,0.671519594859283,0.74592759870353
"Vitvi01g01849",0.43009424256239,0.343908550210614,4.09424102456758,0.0839981203224197,0.933057926253814,NA
"Vitvi01g04015",11.5169402494931,1.53440837946867,0.903320893004675,1.69863045497026,0.0893888344481633,0.141759000091997
"Vitvi01g01850",2.31454996808909,1.40541815485495,1.79157100270279,0.78446132067036,0.432769469318057,0.526458004798356
"Vitvi01g04016",0.654644796192903,0.437127672705116,2.25100164192587,0.194192516150777,0.846025142578612,NA
"Vitvi01g04017",37.8001061215441,1.21352185388625,0.459738866528777,2.63958943269003,0.00830065189668639,0.0178442797302986
"Vitvi01g01852",26.4052941552083,0.584073570230634,0.57806320907638,1.0103974116669,0.312304927452385,0.404552831615322
"Vitvi01g01853",97.1310209070806,1.54835213541154,0.416487067938111,3.71764756845131,0.000201086529113388,0.000659062328304394
"Vitvi01g04018",2.56762387999524,-0.509813641040269,3.05838627003326,-0.166693673077052,0.867611084037151,0.903638271970148
"Vitvi01g00083",104.52413287097,-0.870838111462739,0.264695315676795,-3.28996419614042,0.00100200131637191,0.00276897810392574
"Vitvi01g04022",565.436699618685,-0.897997184865864,0.0941087599615442,-9.54212110788426,1.3994031666709e-21,3.63077408694647e-19
"Vitvi01g01854",663.838385621543,-0.386029605189821,0.103616916079691,-3.72554617329983,0.000194892772182785,0.000642515056701519
"Vitvi01g01855",7357.97230137869,0.153850366673472,0.140578390906322,1.0944097857543,0.273775293996159,0.362445082235999
"Vitvi01g00085",1183.4671127767,0.0431745204136354,0.0713506878386077,0.605103072184734,0.545110513082915,0.632247383554351
"Vitvi01g01856",260.399738937014,-0.269882019237601,0.095858217341911,-2.81542914860366,0.00487121367602855,0.011195115228964
"Vitvi01g00086",1952.78596727545,0.0408950917974694,0.0929632086892389,0.439906199173644,0.660005045825514,0.73595183468385
"Vitvi01g01857",225.394937661735,-0.709032412579488,0.275852621027515,-2.57033052627318,0.0101601525241992,0.0213140601857419
"Vitvi01g01858",161.760375739873,-0.130660484720363,0.163797358285007,-0.797695921890354,0.425046970996863,0.51905250079373
"Vitvi01g00087",1538.10203097835,-0.054455674292473,0.186775210769117,-0.291557290007766,0.770625134825947,0.828591144700115
"Vitvi01g00088",63.732644626082,0.760424271748558,0.246998239555852,3.07866271887582,0.00207931942472198,0.00527348101735513
"Vitvi01g00089",213.200858353812,-0.289491147401557,0.106981700397692,-2.70598753174989,0.00681016028226999,0.0149997587814598
"Vitvi01g01859",1866.08048705359,-0.273241252104056,0.184057589832104,-1.48454216070799,0.137665146851768,0.204250281521632
"Vitvi01g00090",161.856779486706,0.0815337205332229,0.147761389093021,0.551793137799312,0.581090089332213,0.664858686642094
"Vitvi01g00091",338.366282865912,0.476296681363434,0.176153425139004,2.70387408582935,0.00685362543432371,0.0150827596529648
"Vitvi01g00092",871.341570949989,0.495765957878316,0.0691418104968685,7.17027735194713,7.48459781721286e-13,2.0337371704001e-11
"Vitvi01g00095",28.3388794016474,1.89934747598824,0.436719939467196,4.34912012102189,1.36684832267084e-05,5.99648785049538e-05
"Vitvi01g00097",553.74944142637,-0.319165498141357,0.100924286572449,-3.16242511075113,0.00156460973313857,0.00410933582789818
"Vitvi01g00098",3811.46023269417,-0.0490148926114717,0.0918652859590394,-0.533551842785602,0.593651633927428,0.676181093043566
"Vitvi01g04023",7.87598393415368,0.232955278664816,0.417403248605615,0.558106050786693,0.576771969047369,0.661325358351262
"Vitvi01g04024",117.293161556386,0.245233320820994,0.135834385428429,1.80538469730999,0.0710145040972531,0.116454327128083
"Vitvi01g00099",365.34372033065,0.0237932002147724,0.128609091142164,0.18500403045747,0.853225874297515,0.892430843162891
"Vitvi01g04025",607.576473379483,-0.447315303702891,0.121587107732697,-3.67896985169094,0.000234177945809812,0.000755007970930645
"Vitvi01g00101",10.8200026840494,2.33595091982459,0.709059982074086,3.29443344551987,0.00098620295779542,0.00272984870582146
"Vitvi01g00102",332.154499797893,0.718841569060546,0.15032532698532,4.78190590685191,1.73640957739989e-06,9.629470625852e-06
"Vitvi01g00103",1506.36409211939,-0.670527065239366,0.105064188590314,-6.38207056311084,1.74709420702294e-10,2.65129786926141e-09
"Vitvi01g00104",135.528388184755,1.99758654382497,0.370980748062655,5.38460972505129,7.26020041449846e-08,5.62922158744966e-07
"Vitvi01g00105",4.65839714743946,3.55020096039756,2.01945313764552,1.75800116091663,0.078747311789941,0.127249791466614
"Vitvi01g01862",24.249903915069,2.66448796263023,0.866616808761479,3.07458606352002,0.00210794893038856,0.00533822477545087
"Vitvi01g00106",567.732170087104,1.00766354987051,0.200962197559348,5.01419452070296,5.32560886626996e-07,3.35600982852515e-06
"Vitvi01g04028",8.14170492738473,0.227836191204234,0.586080167625566,0.388745778802386,0.697464214146347,0.768294838483171
"Vitvi01g01865",106.599915963035,0.722728181392907,0.320556452887675,2.25460499978191,0.024158133350335,0.0456084034333071
"Vitvi01g00108",2554.13815324134,-0.242948705707611,0.0734174199929704,-3.309142513192,0.000935821892854725,0.00260563656273848
"Vitvi01g01866",565.285650473072,-0.187240408890319,0.0721637731469482,-2.59465935226306,0.00946847103014035,0.0200319804898077
"Vitvi01g00110",45.2405166032651,0.132486070636799,0.24206696874839,0.547311644053789,0.584164645527987,0.667472244529092
"Vitvi01g00111",1.47905442973046,-0.0241841631843413,1.66019563043341,-0.0145670562800047,0.988377581743796,NA
"Vitvi01g00112",2370.91824125018,-0.159088785786907,0.104809988012492,-1.51787810306729,0.129045130990202,0.193363346312028
"Vitvi01g00113",356.289620250889,-0.00200112963059789,0.0923667080976321,-0.021665053045765,0.98271514085514,0.987832595971241
"Vitvi01g00114",504.861372104841,-0.543547679954583,0.142877919935619,-3.80428046684544,0.000142216974188969,0.000485918064316854
"Vitvi01g04029",97.578852057826,-0.194948890860959,0.15023326029408,-1.29764135105201,0.194410605756975,0.272633587487507
"Vitvi01g04030",132.476559388168,0.641125629888044,0.134730418135053,4.75858116350077,1.94958498826676e-06,1.0652521780319e-05
"Vitvi01g00115",1261.77418316128,0.0691851159673925,0.0944114793619618,0.732804066146929,0.463677940950795,0.556206066974981
"Vitvi01g00116",2126.22244752826,-0.1275235201702,0.0904226822326961,-1.41030454993613,0.158449775619379,0.229540984385206
"Vitvi01g00119",3700.09351377403,0.170898188839904,0.0867790425768923,1.96934863263185,0.0489130701082564,0.0843197448483331
"Vitvi01g04031",68.321540951407,-1.26430772968463,0.289069555533555,-4.37371458004636,1.22150062341153e-05,5.43091736544995e-05
"Vitvi01g00120",16686.7262475077,-0.17347607093008,0.0773382437819038,-2.24308262570958,0.0248914868429251,0.0468236287544195
"Vitvi01g00121",5039.60914498835,0.0141418152788887,0.050304719651544,0.281123031334788,0.778616036747779,0.834848563049594
"Vitvi01g00122",1832.96075822081,-0.394762181628797,0.0575577601192029,-6.85853967929327,6.95680097989687e-12,1.50143694851459e-10
"Vitvi01g00124",1877.48911401113,-0.122275077164036,0.0671665856321307,-1.82047480921142,0.0686867290721916,0.113221894096387
"Vitvi01g00128",5085.80241474154,0.321849506626352,0.0678782375702163,4.74157135110376,2.12066943877692e-06,1.14627313817761e-05
"Vitvi01g01871",1.24266549470304,2.56282054113918,3.13582795821238,0.817270773553581,0.413773705049793,NA
"Vitvi01g04032",1.2416187611104,0.537590822352737,1.87730092178074,0.286363691678582,0.774599580603289,NA
"Vitvi01g01873",7.34010613981016,0.0763871318620904,0.487527952890529,0.156682568474679,0.875495025729223,0.909600283808712
"Vitvi01g00129",130.682265362318,0.370112636226515,0.283730730414485,1.30445029935897,0.192080094795127,0.269945867977844
"Vitvi01g00130",2677.5180891476,0.0230336074894278,0.0661915298210167,0.347984214169262,0.727852038760183,0.793527102984116
"Vitvi01g00131",1028.41123986224,0.0732847680627098,0.0613821460925288,1.19391016326211,0.232513111504025,0.316948695976534
"Vitvi01g00132",709.711658065523,0.0386179921002998,0.0942920266276985,0.409557345212004,0.682130692319918,0.755263323093976
"Vitvi01g00133",870.84682306895,-0.548315371398535,0.0945362626810338,-5.80005339589694,6.62938066848419e-09,6.73233695916898e-08
"Vitvi01g00134",2409.83944651807,0.802117696624911,0.132006495947176,6.076350189205,1.22948758400437e-09,1.50666865995132e-08
"Vitvi01g00135",2384.42216059039,0.0788226862080563,0.0606282699759954,1.30009789557354,0.193567418852986,0.271672187616549
"Vitvi01g01874",481.552612955634,0.0234469206129231,0.0907859061022618,0.258266085778913,0.796201558209412,0.848333370342582
"Vitvi01g00136",2158.22193602397,-0.160356563248668,0.106817472830405,-1.50122034344763,0.133298579864979,0.198614390117456
"Vitvi01g01875",253.111060696596,-0.294410878474308,0.100426912581464,-2.93159344349543,0.00337227897314091,0.00809810104925527
"Vitvi01g00137",406.042140358867,-0.207387115379224,0.128317291784301,-1.61620552067011,0.106049885582198,0.163999082818232
"Vitvi01g00138",1258.80703610833,0.106478018635743,0.0620010872814347,1.71735728040412,0.0859139120514344,0.137077086814062
"Vitvi01g00139",1623.9522263025,-0.137364788283495,0.0682589510054067,-2.01240696289948,0.0441770551136079,0.0771085187236867
"Vitvi01g01876",155.305541770633,-0.339547877649434,0.155220033449613,-2.18752612084481,0.0287041384964912,0.0528905809684487
"Vitvi01g01877",3745.80997851225,0.593731427035689,0.147131461497704,4.03538047533738,5.45138857950923e-05,0.00020822630209748
"Vitvi01g01878",822.729300298651,0.957452422626473,0.136070109561722,7.03646396486633,1.97179614834834e-12,4.85484380239767e-11
"Vitvi01g01880",9.53682856471174,-0.26475543916993,0.428192560011536,-0.618309293283371,0.536371477078767,0.624408132891088
"Vitvi01g04033",2.38826382061292,0.532413584077437,1.64571449585179,0.323515157349252,0.746305130291959,0.808603344805329
"Vitvi01g01881",968.816015940219,0.152248785497805,0.111129669611103,1.37001024146475,0.170683704696962,0.244402534605246
"Vitvi01g00140",897.604194092813,0.39034642694622,0.093122002258138,4.19177441937045,2.76781133033594e-05,0.000113136573927962
"Vitvi01g04034",45.4192010692499,-0.783027134839281,0.316852908928943,-2.47126383496413,0.0134636446671716,0.0272834704101943
"Vitvi01g00142",7384.55350740898,-0.609184975825776,0.17345137037353,-3.51213700136176,0.000444518788191391,0.00133971944045342
"Vitvi01g00143",5805.16827611879,-0.232697421110243,0.0615420506149273,-3.78111256913173,0.000156129052459595,0.000527107584552617
"Vitvi01g00145",111.292591123003,2.38796394740543,0.363187061385433,6.575024832372,4.8645048846905e-11,8.51164890229856e-10
"Vitvi01g04036",21.837503061675,1.98461870652299,0.492362040320605,4.03081176857316,5.55845457298643e-05,0.000211679214633191
"Vitvi01g04037",196.980445678308,0.136462564370443,0.123709752625707,1.1030865511737,0.269989580632769,0.358475683216205
"Vitvi01g00146",2810.00687354677,-0.193411406262536,0.0805371565892664,-2.40151769013798,0.0163272196091475,0.0322944078981163
"Vitvi01g00147",42.7487613513696,-0.413316310389237,0.246325945128427,-1.67792438662418,0.09336186111726,0.146920260020764
"Vitvi01g00148",103.224967607659,0.888675541344699,0.26284557792533,3.38097961685,0.000722279006130479,0.00206515821056077
"Vitvi01g00149",1225.36202924614,-0.571637381998667,0.103648265860713,-5.5151659051089,3.48451092798309e-08,2.93260426164297e-07
"Vitvi01g00150",35.6346369960642,0.0100546673816924,0.263713478583213,0.0381272411092168,0.969586231832183,0.978303344813864
"Vitvi01g01887",13.5880658870041,0.0262105898679162,0.701218147900827,0.0373786530573695,0.970183093166872,0.978741861987769
"Vitvi01g00151",971.994012465573,0.016503209151353,0.0823825077130522,0.200324190286069,0.841227044860073,0.883826846879244
"Vitvi01g00152",184.607284926801,0.92350411848885,0.24263724675,3.80611027720892,0.000141169457576169,0.000482872529220827
"Vitvi01g04038",26.9020270555651,-0.264732599400433,0.305362515018534,-0.866945307233814,0.385971977370417,0.480230899910833
