"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","max_Cooks_distance","exceeds_DESeq2_0.99_F_cutoff","mixed_cell_batch_by_condition_pvalue","mixed_cell_batch_by_condition_padj","batch_interaction_warning"
"Vitvi01g04416",213.083348072696,3.94389863201874,3.61881491356724,0.830267689775285,5.18974149233238,2.10586230047048e-07,6.07803246986272e-06,5.35646566617853e-05,0.00268356837506143,0.000132007576646707,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,0.500836794044943,FALSE,0.00186145428230384,0.0217375807385316,TRUE
"Vitvi01g04416",213.083348072696,-4.19119382681783,-3.91694961424531,0.751353710967494,-5.76072355827349,8.37541167138825e-09,3.49131373834722e-07,5.76632216830741e-06,0.000380912175759478,5.37431236605415e-06,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,0.500836794044943,FALSE,0.00186145428230384,0.0217375807385316,TRUE
"Vitvi01g04416",213.083348072696,-0.700721066190178,-0.130948095417534,0.358208067483062,-0.917222382743721,0.359026120213649,0.610817581106454,0.665378071552771,1,0.748688038517941,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",6,0.500836794044943,FALSE,0.00186145428230384,0.0217375807385316,TRUE
"Vitvi01g04416",213.083348072696,-1.66513997055551,-0.794164979455123,0.830723858074617,-2.32885454707862,0.0198667725555639,0.0722044517236332,0.176214778958582,1,0.205931491409651,FALSE,FALSE,FALSE,FALSE,"Rpv12",24,0.500836794044943,FALSE,0.00186145428230384,0.0217375807385316,TRUE
"Vitvi01g04416",213.083348072696,-1.21720058793209,-0.580285991445271,0.671344171854428,-1.58534182203332,0.112888691728091,0.229245181173801,0.390569328808702,1,0.303310955749253,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",6,0.500836794044943,FALSE,0.00186145428230384,0.0217375807385316,TRUE
"Vitvi01g04416",213.083348072696,-0.452796940805473,-0.144525458195353,0.464826099961265,-0.585648163065005,0.558111975426826,0.723928186882433,0.790569589341285,1,0.679316947823742,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",0,0.500836794044943,FALSE,0.00186145428230384,0.0217375807385316,TRUE
"Vitvi01g04416",213.083348072696,0.881449107083718,0.323524178542052,0.532196859386706,1.1524582792245,0.249132804418472,0.421917630415445,0.568537954741463,1,0.498184879824111,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",0,0.500836794044943,FALSE,0.00186145428230384,0.0217375807385316,TRUE
"Vitvi01g04416",213.083348072696,1.16572755710865,0.289368990795043,0.454922440520085,1.62179615344928,0.104847002333001,0.269050064041236,0.410119546488018,1,0.566542613089561,FALSE,FALSE,FALSE,FALSE,"Rpv12",6,0.500836794044943,FALSE,0.00186145428230384,0.0217375807385316,TRUE
"Vitvi01g04416",213.083348072696,-1.97673641121152,-1.31853842491925,0.877562514418145,-2.81020308492352,0.00495102479984488,0.0217809726730319,0.0824940701420381,0.705850857608949,0.112312543050254,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",24,0.500836794044943,FALSE,0.00186145428230384,0.0217375807385316,TRUE
"Vitvi05g00637",407.785368990083,1.8119866793509,1.60880441545737,0.479962365703761,4.08310071965926,4.4438750966069e-05,0.000481050974455038,0.0336461105922644,0.338534535707041,0.0244922620642143,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,1.12758664052755,FALSE,4.73200856969074e-05,0.00124281520217656,TRUE
"Vitvi05g00637",407.785368990083,0.696397325626897,0.515918729226002,0.384433689209175,1.70022069268657,0.0890894214165026,0.19153564761471,0.770740658579484,1,0.481169994614504,FALSE,FALSE,FALSE,FALSE,"Rpv12+1+3",24,1.12758664052755,FALSE,4.73200856969074e-05,0.00124281520217656,TRUE
"Vitvi05g00637",407.785368990083,4.82142026893634,4.73258965708033,0.462050846905069,10.8172808493084,2.85110901014577e-27,3.12701860480943e-24,5.01092630192705e-18,5.14141082282923e-15,2.7662557497471e-17,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,1.12758664052755,FALSE,4.73200856969074e-05,0.00124281520217656,TRUE
"Vitvi05g00637",407.785368990083,-2.39526979144548,-2.25618593711358,0.43587336359237,-5.55995026252783,2.69851542255407e-08,9.87825051263625e-07,0.000600317171765278,0.020289014077788,0.000299866318018451,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,1.12758664052755,FALSE,4.73200856969074e-05,0.00124281520217656,TRUE
"Vitvi05g00637",407.785368990083,-0.711311130942537,-0.328712352832188,0.385184490863888,-1.55838987055049,0.119140856372775,0.330089530763427,0.736551925165412,1,0.58901492437906,FALSE,FALSE,FALSE,FALSE,"Rpv12+1",6,1.12758664052755,FALSE,4.73200856969074e-05,0.00124281520217656,TRUE
"Vitvi05g00637",407.785368990083,-0.362350053167785,-0.213764054421374,0.350868307991849,-0.866692918330172,0.386110286621226,0.582788383953682,0.93695198119009,1,0.75650648666638,FALSE,FALSE,FALSE,FALSE,"Rpv12",24,1.12758664052755,FALSE,4.73200856969074e-05,0.00124281520217656,TRUE
