"contrast","universe_N","own_DEGs","chit_DEGs","shared","jaccard","expected_shared_by_chance","overlap_enrichment_fold","hypergeom_overlap_pvalue","same_direction","direction_pct","binom_p_above_chance","binom_p_below_chance"
"24h_vs_24h",24338,3151,1762,416,0.0925,228.1,1.82,2.50559742086579e-37,163,39.2,0.999996247495576,5.94430257290788e-06
"6h(own)_vs_12h(chit)",24338,734,2452,147,0.0484,73.9,1.99,2.04878545232138e-16,110,74.8,6.58772816151816e-10,0.999999999784111
