"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","DE_primary"
"Vitvi01g04001",47.2800221763746,-0.187740607765345,-0.124552942617924,0.288148469475509,-0.537677850734639,0.59079947321797,0.7351746955009,FALSE
"Vitvi01g04002",52.9946128336136,-0.289903019347604,-0.172745298576632,0.325306856643935,-0.705742279808108,0.480348422868476,0.64402099149625,FALSE
"Vitvi01g04003",2.22950947104088,-1.6314169789206,-0.0357959864972333,0.482640145563663,-0.520753332663796,0.602538616386225,NA,FALSE
"Vitvi01g04004",1.46388362932924,2.66947662567534,0.156178540701379,0.506408877315357,1.40097246206437,0.161222308095309,NA,FALSE
"Vitvi01g04005",16.8741286808932,-0.385274160081053,-0.114262271141426,0.420216356812676,-0.512265737785378,0.608465040814382,0.74845187237717,FALSE
"Vitvi01g00002",101.776891924273,0.094464882290209,0.0580726083190212,0.305778018410069,0.241073235184401,0.809498356328856,0.88824488013406,FALSE
"Vitvi01g00005",1835.14633106254,0.783616786984443,0.735223021036619,0.183174773811521,4.28702953406328,1.81078226190026e-05,0.000168789695481137,FALSE
"Vitvi01g01834",470.631877569095,-0.376478964661908,-0.287827876223175,0.263733050751794,-1.29577072026144,0.195054488381467,0.35010423077326,FALSE
"Vitvi01g00006",2222.68984796523,0.110369672631863,0.10453289731772,0.115221347793941,0.932307704504715,0.351177527186415,0.525859798335997,FALSE
"Vitvi01g01835",5.51845133449439,-1.95331204900341,-0.30461347134233,0.579618283619084,-1.59741140374997,0.110174032131454,0.230072635214951,FALSE
"Vitvi01g00008",13.1141763635042,-0.648496280237083,-0.293562951939178,0.428165027132154,-1.11542339087194,0.264669030551356,0.433907225158481,FALSE
"Vitvi01g00011",2.7251283082984,-0.996019418813877,-0.117525677901526,0.474846962036833,-0.737984551755501,0.460523836711842,NA,FALSE
