"gene","bio1_0_mock","bio1_120_mock","bio1_12_mock","bio1_12_inoculated","bio1_24_mock","bio1_24_inoculated","bio1_48_mock","bio1_48_inoculated","bio1_96_mock","bio1_96_inoculated","bio2_0_mock","bio2_120_mock","bio2_12_mock","bio2_12_inoculated","bio2_24_mock","bio2_24_inoculated","bio2_48_mock","bio2_48_inoculated","bio2_96_mock","bio2_96_inoculated","bio3_0_mock","bio3_12_mock","bio3_12_inoculated","bio3_24_mock","bio3_24_inoculated","bio3_48_mock","bio3_48_inoculated","bio3_96_mock","bio3_96_inoculated"
"Vitvi01g04001",5.35334163335289,5.32734633782072,4.97061503082068,5.10752676287915,5.1054522477484,5.00579465293097,4.85634580375904,5.21258153139998,5.58858612542193,5.22300965776912,5.12714751582096,5.43189682099408,5.19066220903274,5.36003744432163,5.43483884510938,5.12944661410685,5.29787602271085,4.62379284230225,5.56047315034707,5.46211320454739,5.33968977867873,5.43996804286942,4.99682679264616,4.97001076186854,5.11735603196165,4.99591811398327,5.27968860319689,5.2022829492966,5.2969163504504
"Vitvi01g04002",5.06275010965439,5.22807206644205,5.14060330556166,5.18629602551307,5.26839441507099,5.28630283995678,5.26929124645066,5.28468923080448,5.44596341694769,4.77237594862498,5.73936953926138,5.49218777885922,5.27560475355643,5.22501146103879,5.48754203954885,5.15484034793495,4.61035575550764,5.09032014706926,5.20540045680876,5.19739428018414,5.27666085701144,4.93012507962237,5.29362534248595,5.44047465854237,5.33021931618783,5.06680891600197,5.05363043554376,5.04654361140005,5.50345607961048
"Vitvi01g04003",-0.0559974556912152,-0.743457484419124,-0.754199655382243,-0.463745162217289,-0.739139212259533,-0.468062063604038,-0.722807919994817,-0.718797870448043,-0.745585101456246,-0.745722325996471,-0.750360793746297,-0.742855957121341,-0.748886154865624,-0.749812220984372,-0.728870338023083,-0.746865503364852,-0.747454122581707,-0.74695732706745,-0.742382573841707,-0.480858961304137,-0.740467163923842,-0.728452953541786,-0.746994460586335,-0.748481682007988,-0.382328150773484,-0.747014194649116,-0.724007034650162,-0.744400210405165,-0.605642789657434
"Vitvi01g04004",-0.401464235860103,-0.393236264374701,-0.408008163860532,-0.106343546906976,-0.389713014635874,-0.397808408971935,-0.381072429795541,0.265279804579212,-0.396144927255271,-0.185632439988574,-0.402703896753335,-0.392415359695903,0.180063719334707,-0.227709615655994,-0.385584772590295,-0.397899278503599,-0.398706786755156,-0.39802520648165,-0.151905933274151,-0.1220590088991,-0.257719718001176,-0.385411972338825,-0.198616943685619,-0.400118007427251,-0.397068018529758,-0.39810320305536,-0.382527399618306,-0.394524074539771,-0.388576895184591
"Vitvi01g04005",4.11172518140015,3.66499476974936,3.60457045481112,3.48223607081812,4.09737948989146,3.96950808710576,3.77198036004158,3.73983502740471,3.98755440490266,3.03423401297122,3.19781149296449,3.63208684835998,4.18462828206069,3.83971097212501,3.94175159770958,3.72490904253784,3.33373504515909,3.83210448701147,3.53306907308649,3.61472795811791,3.92322445864419,4.2103929073077,3.59591829326531,3.86789900513543,3.96033560039245,3.5501616270394,3.47256386985365,3.53222513352888,3.71594935744102
"Vitvi01g00002",6.24880895988115,4.59139286878904,6.22705456526226,6.0868300010351,6.17134170906327,5.90297391330269,6.33215645100045,5.42788021425421,4.8744573095899,4.32533013228673,5.91921754079117,4.01887312508698,5.46963986258675,6.17911154259403,5.762058078812,5.84488395514825,6.2292601617972,5.617902546829,4.53291155200771,4.25291733784382,5.53195833901841,4.78227907505399,5.6561784631337,5.66030698663028,5.40812009552842,5.61481985446493,5.00958086071963,4.55878856899156,4.07777968957927
"Vitvi01g00005",10.3920030367255,10.2969540447384,10.5893812872664,10.6615307122322,10.8641704568387,10.6196920728904,10.6947377643569,10.701264698511,9.97736150822906,10.1283416416881,10.1811735879053,10.1527466851536,10.9037671726123,10.7057369189554,10.7758629099308,10.5390772633431,10.5724297484661,10.6401677233085,10.1393826816283,10.1311824305184,10.0846606940404,11.0466477844973,10.8282787363446,10.6860272927494,10.6999092551283,10.5757191090578,10.8216180723249,9.96134757057931,10.1291726577952
"Vitvi01g01834",8.54369516841393,8.35868638263653,8.37219686717548,8.36114383935261,8.29921296393554,8.48676005568972,8.46194450594677,8.75196197420407,8.6242556952478,8.53015705120065,8.8160535885659,8.58921902106633,8.12930022687931,8.68305051017916,8.35597804369645,8.624947884209,8.78208449041515,8.76798975068396,8.79189486416188,8.7521780368043,8.58628093907844,7.93063596604889,8.08209183722255,8.49378570725898,8.39838566897554,8.51252423645645,8.29570211073781,8.5067186118981,8.74435288715906
"Vitvi01g00006",10.7585437989041,10.8583219370392,10.7248486832512,10.7198884849267,10.753519559671,10.6780919261517,10.435279928784,10.5685766059804,10.6964791674162,10.5594840464008,10.746645619085,10.7695886996433,10.7453178924519,10.8030450060423,10.6465145804151,10.7496231989687,10.6434155494948,10.7421771884549,10.8124548375951,10.6633840696951,10.6860623335367,10.7989233189363,10.8632722567623,10.7637326782853,10.8184114143273,10.6057028221468,10.7050515787699,10.6882334034469,10.5579543405407
"Vitvi01g01835",2.19048436130191,1.30743854875728,2.44580648190171,1.68588741606673,1.56233388233549,2.02142777590725,1.84480121936418,1.63647582540054,1.945339465646,1.2977033249086,1.91293256039233,1.31001215632394,1.74292172081667,1.45134859688557,1.59888795797325,1.79004791422979,1.77644474320231,1.90905200600889,1.31203415935874,1.32474326393959,1.55774499271487,1.60041253218152,1.29220162187534,1.46830851301119,1.29538503595014,1.48680581366672,1.33765758802681,1.30339522706828,1.32201102468665
