"run_accession","ERR2987432","ERR2987433","ERR2987435","ERR2987436","ERR2987437","ERR2987438","ERR2987439","ERR2987440","ERR2987441","ERR2987442","ERR2987443","ERR2987444","ERR2987446","ERR2987447","ERR2987448","ERR2987449","ERR2987450","ERR2987451","ERR2987452","ERR2987453","ERR2987454","ERR2987457","ERR2987458","ERR2987459","ERR2987460","ERR2987461","ERR2987462","ERR2987463","ERR2987464"
"ERR2987432",1,0.983083400862004,0.991356807730048,0.993299079085635,0.99411785809172,0.993872549778536,0.990608058043852,0.989379626760994,0.978625852485582,0.980616439930288,0.995488174591836,0.982899864081722,0.990752072680695,0.990810631739046,0.991993520937795,0.991717184600883,0.987713997112145,0.98858947931097,0.977314557754043,0.977660279476217,0.992799968724937,0.989500172222012,0.991286144751034,0.992406362184764,0.991866359031673,0.98973434795345,0.989032364320629,0.976765804984002,0.97752626302495
"ERR2987433",0.983083400862004,1,0.98401277851516,0.984429743729874,0.987062580206099,0.990117374914799,0.987736781237096,0.990416935607245,0.994863943735658,0.996215910915515,0.982081871636153,0.997597711096873,0.983175393267277,0.985216197257808,0.986692472736708,0.989788246152038,0.987776483866533,0.988999078717816,0.993944928995774,0.9953773650628,0.980751364059861,0.980249320451215,0.984935867167631,0.988232442827266,0.990053484899318,0.988008832344385,0.988319573950715,0.993656320701158,0.994352746090732
"ERR2987435",0.991356807730048,0.98401277851516,1,0.99793195630353,0.993576122505312,0.993896509140589,0.993363370672351,0.992494527036832,0.985835351729989,0.983741089836795,0.988549683612338,0.983816928286045,0.994594656939837,0.996632543299288,0.990513965283654,0.991240877568852,0.990806661949956,0.989966151652972,0.984190448063977,0.983156259197143,0.986366358501144,0.994119738921223,0.996210332388028,0.991815618679722,0.991696435528015,0.991505572762709,0.988484018468592,0.984628950748929,0.983729145734527
"ERR2987436",0.993299079085635,0.984429743729874,0.99793195630353,1,0.9947095781699,0.994857804479686,0.993573017945322,0.992956881372845,0.98437369301745,0.98438933639114,0.989995596790069,0.984306528594376,0.995476794514645,0.99659718770266,0.99166037310746,0.992316303478878,0.990261644850023,0.990709571531398,0.982992932140313,0.982716412348984,0.987013579454989,0.994477093206997,0.996929387595681,0.992490040325952,0.992770821800562,0.991561328992184,0.990577534101437,0.982943586226134,0.983064906042417
"ERR2987437",0.99411785809172,0.987062580206099,0.993576122505312,0.9947095781699,1,0.997534104312366,0.995330923187772,0.994667457110905,0.98318807034121,0.983883266793685,0.992572273159732,0.986803577804074,0.995400595561914,0.99438600076779,0.997214638086994,0.996119685880617,0.993423343928472,0.99455762586025,0.982149124830773,0.982504162881951,0.989830981683353,0.993831442439548,0.995245102600481,0.996966916977507,0.996403412153027,0.994642149333257,0.994648735639564,0.981680709997866,0.981865867957366
"ERR2987438",0.993872549778536,0.990117374914799,0.993896509140589,0.994857804479686,0.997534104312366,1,0.995535645056849,0.996776721448062,0.98743084269631,0.987326205850201,0.992816278698245,0.990172177424328,0.993811068523164,0.995066070074188,0.99629108659763,0.99736236354743,0.994713274457251,0.996024485073971,0.986663235616952,0.986733529912502,0.990525562983948,0.991632991644556,0.994860751956383,0.997325716632462,0.997685334640389,0.995378812509324,0.995066883079979,0.985963066046136,0.986201512889604
"ERR2987439",0.990608058043852,0.987736781237096,0.993363370672351,0.993573017945322,0.995330923187772,0.995535645056849,1,0.996494446855218,0.986704235128782,0.986946025245672,0.988998683154791,0.987753823586078,0.992375328558032,0.993398643589236,0.99411430229456,0.994237038386094,0.99539459994727,0.995449227998656,0.985505261457935,0.985675723098059,0.986217476014308,0.991500749011562,0.993576207309966,0.993855354350537,0.994005015532946,0.996414777677208,0.994494013685539,0.985330052410496,0.985835000486878
"ERR2987440",0.989379626760994,0.990416935607245,0.992494527036832,0.992956881372845,0.994667457110905,0.996776721448062,0.996494446855218,1,0.989456709525307,0.98873606568925,0.988478007985592,0.990703866467224,0.991255456979475,0.993762267884266,0.993587905488751,0.9954522479569,0.995930413203715,0.996875921701251,0.988908601268286,0.988879928300289,0.986119648858617,0.989122247706972,0.992788912869569,0.994815575394513,0.995697813007544,0.995999789565513,0.995109852299518,0.988075700820892,0.988592197470308
"ERR2987441",0.978625852485582,0.994863943735658,0.985835351729989,0.98437369301745,0.98318807034121,0.98743084269631,0.986704235128782,0.989456709525307,1,0.995173368640595,0.977660052767391,0.99419401327212,0.980450001971895,0.985406409445196,0.981888266411701,0.986202223341836,0.986799040949608,0.986496898226444,0.997234424423607,0.996806926155621,0.97701531355777,0.977857878165369,0.983210659182651,0.984445173021953,0.986090869968269,0.98622679352287,0.983037575926842,0.997906349136133,0.99693591422739
"ERR2987442",0.980616439930288,0.996215910915515,0.983741089836795,0.98438933639114,0.983883266793685,0.987326205850201,0.986946025245672,0.98873606568925,0.995173368640595,1,0.978649653830606,0.994955595382984,0.980884005457488,0.983857141077879,0.982764256341158,0.986535231069455,0.984505505638568,0.986163873511366,0.993488901414965,0.996307074400095,0.976670135736468,0.978311014552832,0.983401043063481,0.983797411215761,0.986243988675126,0.985269051550256,0.985903113311991,0.993462589230932,0.996035268255268
