"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","DE_primary","contrast","chitarrini_contrast"
"Vitvi01g04416",4.10454830162506,3.26253411690414,0.0134892204428187,0.102215610695061,2.07030790752246,0.0384235195592607,NA,FALSE,"24hpi","24hpi"
"Vitvi17g04216",314.392344510861,0.100802772626651,0.0194716122968391,0.0929520941051206,0.484328437509478,0.628152797046773,0.914426941776209,FALSE,"24hpi","24hpi"
"Vitvi17g00964",5290.35780896449,0.412398756987565,0.391140727202181,0.070386602216182,5.98544618917277,2.15797459796425e-09,1.10545422272774e-06,FALSE,"24hpi","24hpi"
"Vitvi05g00637",65.7306739936647,-0.15042235931327,-0.00684611107510793,0.0990225206879868,-0.326849096761503,0.743782023145107,0.946309934926192,FALSE,"24hpi","24hpi"
"Vitvi09g04536",3.97858914724246,0.38364172000963,0.00368414383430591,0.100654464481065,0.374083683665162,0.70834205744953,NA,FALSE,"24hpi","24hpi"
"Vitvi09g04548",1.34128514027673,3.70776645242376,0.00421899090100212,0.101147430205678,1.35781339837311,0.174522902381919,NA,FALSE,"24hpi","24hpi"
"Vitvi09g01951",1.97325617729724,0.0739025501862202,0.000365174251732903,0.100796891121623,0.050320593703578,0.959866913155055,NA,FALSE,"24hpi","24hpi"
"Vitvi09g04565",34.4962058450033,1.7918131015611,1.09530639120296,1.035267381272,2.87448018465986,0.004046931634607,NA,FALSE,"24hpi","24hpi"
"Vitvi01g04416",1.75368475655726,4.18104977927114,4.0455855418248e-07,0.00144269502217366,1.464954448826,0.14293334592741,NA,FALSE,"12hpi_proxy_for_6hpi","12hpi_proxy_for_6hpi"
"Vitvi17g04216",400.162407866181,0.0808889689712647,1.82193867172946e-06,0.00144266330867876,0.375508689730982,0.707282185016932,0.999831962291183,FALSE,"12hpi_proxy_for_6hpi","12hpi_proxy_for_6hpi"
"Vitvi17g00964",3623.01352231249,0.739097130316468,6.84275902467397e-06,0.00144269038245597,2.22506540967832,0.0260768474253643,0.999831962291183,FALSE,"12hpi_proxy_for_6hpi","12hpi_proxy_for_6hpi"
"Vitvi05g00637",180.435713288156,-0.250059388525708,-4.67485332932475e-06,0.00144269531381273,-0.419913290026686,0.674548798683059,0.999831962291183,FALSE,"12hpi_proxy_for_6hpi","12hpi_proxy_for_6hpi"
"Vitvi09g04536",3.8358764253929,1.44761932729212,4.84200027731388e-07,0.00144269464907816,0.827954066289571,0.407696513897091,NA,FALSE,"12hpi_proxy_for_6hpi","12hpi_proxy_for_6hpi"
"Vitvi09g04548",1.09382420420419,1.12253755817333,1.04526076206523e-07,0.00144269492658279,0.32964256235606,0.741670058409551,NA,FALSE,"12hpi_proxy_for_6hpi","12hpi_proxy_for_6hpi"
"Vitvi09g01951",0.30775861965013,1.67679168133981,1.57306926105086e-07,0.00144269500773529,0.414947595226036,0.678180266555664,NA,FALSE,"12hpi_proxy_for_6hpi","12hpi_proxy_for_6hpi"
"Vitvi09g04565",23.9945436600126,1.16229515800721,1.49951401320905e-06,0.00144269371993038,1.31245834932348,0.18936553046754,0.999831962291183,FALSE,"12hpi_proxy_for_6hpi","12hpi_proxy_for_6hpi"
"Vitvi01g04416",0.480767646548975,-2.35173079226612,-0.042356015733767,0.502624319326338,-0.587198893632275,0.557070135346347,NA,FALSE,"0hpi_mock_only_temporal_drift","0hpi_mock_only_temporal_drift"
"Vitvi17g04216",407.61727743169,-0.30214777394031,-0.23666258278033,0.250407575505143,-1.09324202032499,0.274287552002926,0.448256878524235,FALSE,"0hpi_mock_only_temporal_drift","0hpi_mock_only_temporal_drift"
"Vitvi17g00964",6394.0762519581,-2.01105492761477,-1.91603405636443,0.328376526470758,-6.2694881965219,3.62236751426948e-10,1.50186858314675e-08,TRUE,"0hpi_mock_only_temporal_drift","0hpi_mock_only_temporal_drift"
"Vitvi05g00637",146.67147869536,0.763651940123267,0.290792085625432,0.472893886691948,1.10580888043472,0.268809250472039,0.442252583083201,FALSE,"0hpi_mock_only_temporal_drift","0hpi_mock_only_temporal_drift"
"Vitvi09g04536",5.45585002625977,-2.11434034451493,-0.479046032631663,0.751918620536591,-1.8776705005265,0.0604262546500818,0.152318684170497,FALSE,"0hpi_mock_only_temporal_drift","0hpi_mock_only_temporal_drift"
"Vitvi09g04548",1.05766043617678,-1.14682614802473,-0.0411890903975655,0.495507394746428,-0.436215020770828,0.662680730757782,NA,FALSE,"0hpi_mock_only_temporal_drift","0hpi_mock_only_temporal_drift"
"Vitvi09g01951",0,NA,NA,NA,NA,NA,NA,FALSE,"0hpi_mock_only_temporal_drift","0hpi_mock_only_temporal_drift"
"Vitvi09g04565",21.0101379414455,-1.0155144223927,-0.300168922044989,0.517657892664498,-1.21496683214167,0.224378741892508,0.39046592422018,FALSE,"0hpi_mock_only_temporal_drift","0hpi_mock_only_temporal_drift"
