"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","DE_primary","contrast"
"Vitvi01g00034",3236.06639594497,-1.22970770576358,-1.06158842808565,0.369010941371201,-3.44242674914958,0.000576519977300688,0.00378342295194738,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00041",609.578191599503,-2.38890946918839,-2.19899825298298,0.495106397799937,-5.00624522414819,5.55020405353135e-07,1.01560993944274e-05,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00050",362.530715795743,-1.56457006460887,-1.32329416874885,0.476915397429858,-3.46661565946732,0.0005270549271958,0.00350208138398258,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00051",1226.45279812422,-1.81751322075785,-1.73280802613913,0.296236487414405,-6.23969932260404,4.38412784684068e-10,1.79106878665986e-08,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00053",211.389692212201,-1.84139372324761,-1.66112757382175,0.435987001959898,-4.40317069501763,1.06680163448026e-05,0.00013103566772421,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00065",154.519146590178,1.95694285042821,1.8742498280112,0.303829913355911,6.56182230944238,5.31541344562314e-11,2.70081121453462e-09,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00075",1550.05985159591,-1.57900194299231,-1.48654115128536,0.294443727406489,-5.47145146445188,4.46364594647267e-08,1.10068181501793e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00081",1475.05397356328,-1.19711335053594,-1.01776752943046,0.378827102109595,-3.26607389968426,0.00109049786886462,0.00637037919819893,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g04016",15.8829099631068,-5.68726893506766,-5.27622886961808,1.07552269381542,-5.18507358854474,2.15929588268401e-07,4.43102612319682e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g04017",221.699462766947,-2.97647462425999,-2.90864748804663,0.324589365077827,-9.25750684407175,2.09261211098959e-20,5.42765183113183e-18,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00091",6781.35720305601,2.43882103965256,2.3690486418166,0.282525918787913,8.73828012549012,2.36686021605505e-18,4.22361471834592e-16,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00102",138.972280273786,-3.65813657677588,-3.36052825570242,0.750313664772767,-5.08270149323097,3.72104242120747e-07,7.14299244814577e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00103",9698.26914724335,1.65782760328767,1.5515883274677,0.323015462649988,5.25506423153018,1.47972819188483e-07,3.19523882363823e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g01865",1190.85433268143,-1.56508889492817,-1.36184729164322,0.436886773301448,-3.75312190464756,0.000174645870477199,0.00139080713561742,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00131",1531.54046710012,1.09648514531506,1.00627669932709,0.265766354264707,4.19311001758598,2.75155912260744e-05,0.000292546605285422,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g04033",57.7896594483527,-1.68570713485126,-1.33910705027439,0.588850518451508,-3.12133241720439,0.00180034683824679,0.00960271080199259,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00170",6429.12387831052,-1.12783416125836,-1.02392875071353,0.284370025787123,-4.03991958219256,5.34695318596441e-05,0.00051946488574095,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00189",1664.00884781485,-1.72232859211097,-1.54520225271479,0.411188920484321,-4.34717575533346,1.37901714929041e-05,0.000163358239681741,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00192",283.794400850718,-1.92629237486317,-1.85031661831551,0.286933691232962,-6.80213866800542,1.03077306475749e-11,6.06660263389987e-10,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g01902",245.39922642567,-3.50005916982498,-3.39246177713386,0.439020726222845,-8.05540482964659,7.92161847500165e-16,9.64031066660568e-14,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00198",1396.07551887914,-1.63261898170515,-1.60285186111269,0.169112769370747,-9.72064467487563,2.462176392351e-22,8.32141009208811e-20,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00203",193.033972994151,-1.66614728411537,-1.30036442673187,0.604090978416452,-3.02420683641203,0.00249285943528044,0.0124397589627216,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00204",1495.48434255529,1.3294810925916,1.25327680943443,0.256027259544189,5.27801378902367,1.30591640506725e-07,2.87275851394775e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00217",84.664907063865,-1.31863466262213,-1.07882793308614,0.450079949326975,-3.07097896463695,0.00213358181620637,0.0110038557207628,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00224",12026.8572667024,-1.95838035203621,-1.81026167580251,0.40258888212367,-5.01965412377234,5.17645990038123e-07,9.598180759593e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00238",6405.48733824252,-2.45080373911402,-2.32058496962957,0.394527388610638,-6.3370056770965,2.34273363089308e-10,1.01338299061989e-08,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00241",3082.18406331199,-1.52542612674928,-1.44862089105043,0.278509258943689,-5.58232398597212,2.37325746240716e-08,6.31716956520933e-07,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00244",66634.4194426927,1.06141591975987,1.03915976247419,0.137320256065155,7.76978725268994,7.86180596381643e-15,8.01658165286228e-13,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00246",2611.24216514563,4.39137281756875,4.32277311846811,0.400041982265062,11.06817260224,1.79013760365829e-28,1.17443557021182e-25,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00258",197.479091374763,-1.24082807320198,-1.08363511098057,0.358381975385877,-3.56062155537973,0.000369977990539301,0.00261908253156764,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00264",262.966478930478,1.27391458835318,1.00604480948423,0.473507801151375,2.82676192259204,0.00470212724105993,0.0209687425507962,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00277",1825.51843193448,-1.62429321948703,-1.35617363756175,0.509380069301853,-3.39662032982414,0.000682235541629009,0.00434302111631754,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g01934",1283.61372084009,1.47869012781554,1.07273962693504,0.613642416706575,2.63978901400757,0.00829576552119995,0.0330970033475024,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00280",453.351758765626,1.46442363316169,1.34861577440809,0.325101253503297,4.6227368822611,3.78709959695519e-06,5.4366680183707e-05,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00288",6295.7241122924,3.32221246683004,3.22414941013481,0.426307652820688,7.90895770849267,2.59552760976311e-15,2.88038999320279e-13,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g01936",178.183915174539,1.0828414016042,1.02398868064577,0.214073836402109,5.11331207643805,3.16558668421564e-07,6.19943604724443e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g01938",5553.4240951572,1.41039660495702,1.26992269052704,0.368847037140251,3.94832313354533,7.87005286161354e-05,0.000715490833262783,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00293",3677.95073125124,-1.11870414672683,-1.00932256025465,0.291048724656109,-3.91777668510569,8.93694395863891e-05,0.000793896742100357,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00298",98.5702120612333,-2.30736858987381,-2.22411699855099,0.322837145874253,-7.22680092078825,4.94504171521e-13,3.70147988253269e-11,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00299",2525.69751802473,1.75080726398643,1.38996206497445,0.625457135907813,3.07085347724938,0.00213447868176315,0.0110059365407787,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00318",96.3080167929663,-2.01353915718155,-1.80343717441417,0.487681760785859,-4.29862130907195,1.71863827470613e-05,0.00019811858064907,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00331",17.8134940736011,2.9295380252812,2.34698725905698,0.975817748777913,3.33858768225806,0.000842054502753433,0.00516228150910196,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g01958",194.325298923557,1.79269895487622,1.18329263247806,0.823487499615846,2.56564131116256,0.0102985262838508,0.0389950346956147,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00355",995.567630106202,1.22962782785771,1.19957315826613,0.157275516108932,7.8657906600942,3.66773442273965e-15,3.93329250161686e-13,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00371",60.1772632044132,-1.60202635375302,-1.32967644691007,0.511765654416725,-3.33046162396051,0.000867021139612742,0.00528264778481339,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00378",27.9991920011032,-1.7044244524672,-1.52305462030133,0.424828093612971,-4.15734421650047,3.21968684509974e-05,0.000334505518243105,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00379",10526.7245061787,-2.33899179107732,-2.11440144672508,0.532730259681427,-4.59793512071316,4.2669881709896e-06,6.01639937687067e-05,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00384",918.116300822863,1.48570038298177,1.44195629635504,0.200539221793984,7.47557516816442,7.68669054305237e-14,6.72389487267946e-12,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00385",8339.64855525565,-1.19916042177916,-1.07762841483216,0.311336121289387,-3.94309862679741,8.04355568935061e-05,0.000727278286204519,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00389",556.677703856801,-1.39948090704382,-1.14628005519817,0.470977966825537,-3.14184744061662,0.00167885487898876,0.00904117260519634,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00391",1739.84204316533,1.49024532372458,1.34412913286305,0.366748447542309,4.19990167696836,2.67030913476298e-05,0.000285404482798385,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00397",1785.30683360846,-1.46000522077136,-1.28120839938833,0.396349719155848,-3.8299983831139,0.000128144100973056,0.00107377247043764,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00402",602.997302048108,1.04287747319105,1.00593900108633,0.168732017365449,6.2222603199654,4.90043058296109e-10,1.97665469409639e-08,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g01972",941.32722223537,-2.08455452909458,-2.05294664699845,0.190568667853985,-11.0029836547736,3.69693515044311e-28,2.15555534294757e-25,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00415",506.689965886416,-1.50591219282896,-1.47387738577291,0.170873618747908,-8.8599187758522,8.00727584665669e-19,1.63862655995894e-16,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00423",4329.07054971013,-1.80083623657496,-1.69031544194075,0.341235024886851,-5.40674455417196,6.41805754154671e-08,1.5213729173405e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00428",1902.40160988007,-1.59738319132274,-1.42255933213762,0.398094008021357,-4.16597710549972,3.10021816201292e-05,0.000324207530810409,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00434",12.6194840542814,-1.71007249921679,-1.29220801963258,0.648090101501349,-2.8718946475045,0.00408018966543716,0.0186539681650423,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00438",7.90212877001526,-3.51867005823075,-2.11551265065597,1.90013677559794,-2.72723592646584,0.00638673560154427,0.0268442668792249,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00449",791.730977188626,-2.15052205346588,-1.82185316796778,0.629384873475409,-3.68878351174799,0.000225328843976662,0.00171894158472757,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00457",359.861978355918,1.35540649506504,1.14987658294981,0.423901030669603,3.34641084328314,0.000818650012350896,0.00505435031822216,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00463",298.292526715606,-3.66559644226708,-3.49527530629794,0.563060070454283,-6.65796371111423,2.77647302121729e-11,1.49594220317084e-09,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00465",20609.0167643996,-1.31549298832566,-1.20845146159503,0.309956605303911,-4.34936205527308,1.36534136044192e-05,0.000161954780185937,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00468",343.037445336075,-1.33419361777123,-1.30577502376744,0.15529856065899,-8.62875221169799,6.20249005563991e-18,1.002556110008e-15,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00475",5004.67934283006,-1.75718419739399,-1.38011635040366,0.625235430092147,-3.0883890962424,0.00201244791834707,0.0104955958070259,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00497",4306.29885498623,1.48207925218538,1.46992484050865,0.105644820761192,14.0655563119302,6.18346873377563e-45,1.97040647965142e-41,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00499",1091.30868761415,1.79153278660553,1.70836988972638,0.295622371261356,6.16834047220845,6.90104249989364e-10,2.6435234425716e-08,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g01998",13.4345823023641,-1.68397648793476,-1.15385943937602,0.726763109957009,-2.60345815424379,0.00922885329981881,0.0359185958060364,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00518",1946.44942603179,1.6062190720066,1.49375140099712,0.328573563004442,5.01207712003096,5.38456140358309e-07,9.90990319045581e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00521",6756.0031140424,1.28413649237133,1.23203215292168,0.206960108823548,6.27261044293802,3.55044437006071e-10,1.47478979736637e-08,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00528",1120.68852513414,-1.99868296396358,-1.82376901506333,0.441383918869031,-4.70222381343838,2.57343186552039e-06,3.84996453335331e-05,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g04127",331.363089877193,-1.52660309149554,-1.35859865162419,0.393946360364821,-4.02009368751215,5.81750019375015e-05,0.000557410478186387,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00529",1204.85368299228,-1.51951253598996,-1.40129260690578,0.329395035777997,-4.73282509204527,2.2141627711609e-06,3.37818842500103e-05,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00539",9998.31820367135,-1.91991374863254,-1.56883072367017,0.620043606901435,-3.38471129796877,0.000712531542352311,0.00450502510876152,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00541",103.741963128462,-5.27506602837845,-5.12861720740246,0.621895285083353,-8.37509329632323,5.518014058036e-17,7.94095623087425e-15,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g04131",460.795059454752,-2.90153486678289,-2.69204207465986,0.565753774486483,-5.32562702001417,1.00605382649894e-07,2.26448402158278e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00588",25.6977668529369,-1.86627592471236,-1.58780097108829,0.546149803200562,-3.62499674350942,0.000288965092941128,0.00211674666823628,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00589",19589.8700670192,-2.52974424818249,-2.40848819164369,0.391762472312068,-6.57128156135562,4.9884027636517e-11,2.54625428022917e-09,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00609",99.7692825974308,-1.21152626538188,-1.08584697734136,0.31863128045822,-3.89283001325511,9.9081580384236e-05,0.000866371513936013,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00617",33.6661832159046,-2.27432671819079,-1.88444468116717,0.704358802822138,-3.51925256538634,0.000432764507505541,0.00298215789447593,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00619",98.7196462159695,-2.52099389478927,-2.11556293525774,0.751465287012208,-3.6680146442329,0.000244441186727317,0.00183737684500599,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00620",98.5544353834677,-3.47190855490269,-2.5840534488655,1.36835506105568,-3.165742824746,0.00154687490545848,0.00845286419430595,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00621",22.7841129512038,-2.40473987301238,-1.51905063983827,1.17705509547355,-2.66731668697852,0.00764595872430744,0.0310552158410448,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g04152",110.118449382785,1.93978407320031,1.58681051324157,0.633180182965474,3.34258090480199,0.000830031550324087,0.00510579249803883,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00633",8979.14045463363,1.07595212503401,1.01260715248852,0.214681421025795,5.06518837232928,4.07996699941183e-07,7.73875373204764e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00635",590.732544648909,-1.19228408591146,-1.08060838281293,0.298905401533686,-4.07740490280344,4.55411465307384e-05,0.00045269198507783,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g02030",1540.7391829028,-2.13478570177785,-1.99158066135983,0.408555950538534,-5.37744948112574,7.55484014657876e-08,1.76274335051868e-06,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g04153",24.0189499596669,-3.24873241415989,-2.87898412283347,0.793555709360053,-4.33107377180869,1.48383953020552e-05,0.000174202760846128,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00647",2724.38686291793,-3.17399760974752,-3.00585301694066,0.52484407763052,-6.20655902603865,5.4157285451273e-10,2.16105976614686e-08,TRUE,"0hpi_mock_only_temporal_drift"
"Vitvi01g00653",2469.77255697686,-1.31776988082776,-1.15659400955107,0.368650285988781,-3.6969681436437,0.000218189709863311,0.0016759434119184,TRUE,"0hpi_mock_only_temporal_drift"
