"comparison","n_pairs","median_pearson_r","min_pearson_r","max_pearson_r"
"within_hpi_treatment_group (replicate pairs)",28,0.996948152286594,0.992799968724937,0.998226866536539
"across_hpi_treatment_group",378,0.98998087422152,0.976593519136404,0.998275843491927
