anchor,anchor_label,partner
Vitvi13g00189,WRKY55,Vitvi02g01323
Vitvi13g00189,WRKY55,Vitvi03g00202
Vitvi13g00189,WRKY55,Vitvi03g00207
Vitvi13g00189,WRKY55,Vitvi03g00548
Vitvi13g00189,WRKY55,Vitvi03g01434
Vitvi13g00189,WRKY55,Vitvi04g00021
Vitvi13g00189,WRKY55,Vitvi04g00029
Vitvi13g00189,WRKY55,Vitvi04g00133
Vitvi13g00189,WRKY55,Vitvi04g00217
Vitvi13g00189,WRKY55,Vitvi04g01635
Vitvi13g00189,WRKY55,Vitvi04g02232
Vitvi13g00189,WRKY55,Vitvi04g02247
Vitvi13g00189,WRKY55,Vitvi05g00544
Vitvi13g00189,WRKY55,Vitvi05g01285
Vitvi13g00189,WRKY55,Vitvi05g01314
Vitvi13g00189,WRKY55,Vitvi05g01656
Vitvi13g00189,WRKY55,Vitvi06g00452
Vitvi13g00189,WRKY55,Vitvi06g00674
Vitvi13g00189,WRKY55,Vitvi06g01559
Vitvi13g00189,WRKY55,Vitvi06g01574
Vitvi13g00189,WRKY55,Vitvi07g01280
Vitvi13g00189,WRKY55,Vitvi07g01330
Vitvi13g00189,WRKY55,Vitvi07g01614
Vitvi13g00189,WRKY55,Vitvi07g01742
Vitvi13g00189,WRKY55,Vitvi07g02005
Vitvi13g00189,WRKY55,Vitvi07g02294
Vitvi13g00189,WRKY55,Vitvi07g02637
Vitvi13g00189,WRKY55,Vitvi07g02649
Vitvi13g00189,WRKY55,Vitvi07g04380
Vitvi13g00189,WRKY55,Vitvi07g04569
Vitvi13g00189,WRKY55,Vitvi08g00222
Vitvi13g00189,WRKY55,Vitvi08g01250
Vitvi13g00189,WRKY55,Vitvi08g01297
Vitvi13g00189,WRKY55,Vitvi08g01702
Vitvi13g00189,WRKY55,Vitvi08g01794
Vitvi13g00189,WRKY55,Vitvi08g02069
Vitvi13g00189,WRKY55,Vitvi08g02333
Vitvi13g00189,WRKY55,Vitvi08g02336
Vitvi13g00189,WRKY55,Vitvi09g01555
Vitvi13g00189,WRKY55,Vitvi09g04545
Vitvi13g00189,WRKY55,Vitvi09g04565
Vitvi13g00189,WRKY55,Vitvi10g00053
Vitvi13g00189,WRKY55,Vitvi10g00210
Vitvi13g00189,WRKY55,Vitvi10g00241
Vitvi13g00189,WRKY55,Vitvi10g00576
Vitvi13g00189,WRKY55,Vitvi10g00652
Vitvi13g00189,WRKY55,Vitvi10g00655
Vitvi13g00189,WRKY55,Vitvi10g00931
Vitvi13g00189,WRKY55,Vitvi10g01077
Vitvi13g00189,WRKY55,Vitvi10g01700
Vitvi13g00189,WRKY55,Vitvi10g01770
Vitvi13g00189,WRKY55,Vitvi10g02015
Vitvi13g00189,WRKY55,Vitvi10g02024
Vitvi13g00189,WRKY55,Vitvi10g04150
Vitvi13g00189,WRKY55,Vitvi10g04385
Vitvi13g00189,WRKY55,Vitvi10g04478
Vitvi13g00189,WRKY55,Vitvi10g04490
Vitvi13g00189,WRKY55,Vitvi10g04641
Vitvi13g00189,WRKY55,Vitvi11g01295
Vitvi13g00189,WRKY55,Vitvi12g02227
Vitvi13g00189,WRKY55,Vitvi12g02440
Vitvi13g00189,WRKY55,Vitvi12g04232
Vitvi13g00189,WRKY55,Vitvi13g00113
Vitvi13g00189,WRKY55,Vitvi13g00417
Vitvi13g00189,WRKY55,Vitvi13g01764
Vitvi13g00189,WRKY55,Vitvi13g01916
Vitvi13g00189,WRKY55,Vitvi14g01003
Vitvi13g00189,WRKY55,Vitvi14g01365
Vitvi13g00189,WRKY55,Vitvi14g01911
Vitvi13g00189,WRKY55,Vitvi14g01967
Vitvi13g00189,WRKY55,Vitvi14g02920
Vitvi13g00189,WRKY55,Vitvi14g02928
Vitvi13g00189,WRKY55,Vitvi14g03031
Vitvi13g00189,WRKY55,Vitvi14g03032
Vitvi13g00189,WRKY55,Vitvi14g03033
Vitvi13g00189,WRKY55,Vitvi14g03055
Vitvi13g00189,WRKY55,Vitvi14g03057
Vitvi13g00189,WRKY55,Vitvi14g03074
Vitvi13g00189,WRKY55,Vitvi14g03121
Vitvi13g00189,WRKY55,Vitvi14g04518
Vitvi13g00189,WRKY55,Vitvi14g04635
Vitvi13g00189,WRKY55,Vitvi15g01540
Vitvi13g00189,WRKY55,Vitvi16g01150
Vitvi13g00189,WRKY55,Vitvi16g01194
Vitvi13g00189,WRKY55,Vitvi16g01417
Vitvi13g00189,WRKY55,Vitvi16g01967
Vitvi13g00189,WRKY55,Vitvi16g04400
Vitvi13g00189,WRKY55,Vitvi16g04406
Vitvi13g00189,WRKY55,Vitvi17g00658
Vitvi13g00189,WRKY55,Vitvi17g01392
Vitvi13g00189,WRKY55,Vitvi17g01396
Vitvi13g00189,WRKY55,Vitvi18g00271
Vitvi13g00189,WRKY55,Vitvi18g00446
Vitvi13g00189,WRKY55,Vitvi18g00683
Vitvi13g00189,WRKY55,Vitvi18g00983
Vitvi13g00189,WRKY55,Vitvi18g03244
Vitvi13g00189,WRKY55,Vitvi18g04763
Vitvi13g00189,WRKY55,Vitvi19g01873
Vitvi13g00189,WRKY55,Vitvi19g02292
Vitvi07g01847,WRKY51,Vitvi02g01404
Vitvi07g01847,WRKY51,Vitvi03g00614
Vitvi07g01847,WRKY51,Vitvi04g00133
Vitvi07g01847,WRKY51,Vitvi05g00617
Vitvi07g01847,WRKY51,Vitvi06g00233
Vitvi07g01847,WRKY51,Vitvi06g01598
Vitvi07g01847,WRKY51,Vitvi07g03153
Vitvi07g01847,WRKY51,Vitvi07g04089
Vitvi07g01847,WRKY51,Vitvi08g00868
Vitvi07g01847,WRKY51,Vitvi08g02069
Vitvi07g01847,WRKY51,Vitvi09g00876
Vitvi07g01847,WRKY51,Vitvi09g01401
Vitvi07g01847,WRKY51,Vitvi11g00901
Vitvi07g01847,WRKY51,Vitvi12g01611
Vitvi07g01847,WRKY51,Vitvi12g02578
Vitvi07g01847,WRKY51,Vitvi13g04617
Vitvi07g01847,WRKY51,Vitvi14g00441
Vitvi07g01847,WRKY51,Vitvi14g03047
Vitvi07g01847,WRKY51,Vitvi15g00595
Vitvi07g01847,WRKY51,Vitvi16g01127
Vitvi07g01847,WRKY51,Vitvi16g01336
Vitvi07g01847,WRKY51,Vitvi16g01960
Vitvi07g01847,WRKY51,Vitvi17g00203
Vitvi07g01847,WRKY51,Vitvi17g00278
Vitvi07g01847,WRKY51,Vitvi18g00050
Vitvi14g01926,PRE6,Vitvi01g01791
Vitvi14g01926,PRE6,Vitvi06g00465
Vitvi14g01926,PRE6,Vitvi07g00283
Vitvi14g01926,PRE6,Vitvi09g00436
Vitvi14g01926,PRE6,Vitvi10g04143
Vitvi14g01926,PRE6,Vitvi15g00916
Vitvi01g01038,NAC29,Vitvi01g00375
Vitvi01g01038,NAC29,Vitvi01g00381
Vitvi01g01038,NAC29,Vitvi01g00481
Vitvi01g01038,NAC29,Vitvi01g00509
Vitvi01g01038,NAC29,Vitvi01g00519
Vitvi01g01038,NAC29,Vitvi01g00717
Vitvi01g01038,NAC29,Vitvi01g00788
Vitvi01g01038,NAC29,Vitvi01g00814
Vitvi01g01038,NAC29,Vitvi01g00918
Vitvi01g01038,NAC29,Vitvi01g01018
Vitvi01g01038,NAC29,Vitvi01g01037
Vitvi01g01038,NAC29,Vitvi01g01459
Vitvi01g01038,NAC29,Vitvi01g01488
Vitvi01g01038,NAC29,Vitvi01g01659
Vitvi01g01038,NAC29,Vitvi01g01680
Vitvi01g01038,NAC29,Vitvi01g01729
Vitvi01g01038,NAC29,Vitvi01g01826
Vitvi01g01038,NAC29,Vitvi01g01958
Vitvi01g01038,NAC29,Vitvi01g01993
Vitvi01g01038,NAC29,Vitvi01g02001
Vitvi01g01038,NAC29,Vitvi01g02061
Vitvi01g01038,NAC29,Vitvi01g04013
Vitvi01g01038,NAC29,Vitvi01g04058
Vitvi01g01038,NAC29,Vitvi01g04109
Vitvi01g01038,NAC29,Vitvi01g04446
Vitvi01g01038,NAC29,Vitvi02g00078
Vitvi01g01038,NAC29,Vitvi02g00079
Vitvi01g01038,NAC29,Vitvi02g00228
Vitvi01g01038,NAC29,Vitvi02g00263
Vitvi01g01038,NAC29,Vitvi02g00286
Vitvi01g01038,NAC29,Vitvi02g00297
Vitvi01g01038,NAC29,Vitvi02g00429
Vitvi01g01038,NAC29,Vitvi02g00446
Vitvi01g01038,NAC29,Vitvi02g00454
Vitvi01g01038,NAC29,Vitvi02g00468
Vitvi01g01038,NAC29,Vitvi02g00500
Vitvi01g01038,NAC29,Vitvi02g00507
Vitvi01g01038,NAC29,Vitvi02g00669
Vitvi01g01038,NAC29,Vitvi02g00704
Vitvi01g01038,NAC29,Vitvi02g00954
Vitvi01g01038,NAC29,Vitvi02g01005
Vitvi01g01038,NAC29,Vitvi02g01288
Vitvi01g01038,NAC29,Vitvi02g01368
Vitvi01g01038,NAC29,Vitvi02g01847
Vitvi01g01038,NAC29,Vitvi03g00156
Vitvi01g01038,NAC29,Vitvi03g00213
Vitvi01g01038,NAC29,Vitvi03g00312
Vitvi01g01038,NAC29,Vitvi03g00426
Vitvi01g01038,NAC29,Vitvi03g00476
Vitvi01g01038,NAC29,Vitvi03g00513
Vitvi01g01038,NAC29,Vitvi03g00533
