anchor,anchor_label,partner
Vitvi00g04499,RDA2,Vitvi17g00854
Vitvi00g04499,RDA2,Vitvi18g00996
Vitvi05g00637,ACD6,Vitvi01g00444
Vitvi05g00637,ACD6,Vitvi01g00687
Vitvi05g00637,ACD6,Vitvi01g02254
Vitvi05g00637,ACD6,Vitvi01g04107
Vitvi05g00637,ACD6,Vitvi05g01579
Vitvi05g00637,ACD6,Vitvi05g01815
Vitvi05g00637,ACD6,Vitvi05g04153
Vitvi05g00637,ACD6,Vitvi05g04232
Vitvi05g00637,ACD6,Vitvi06g04011
Vitvi05g00637,ACD6,Vitvi07g01315
Vitvi05g00637,ACD6,Vitvi08g01411
Vitvi05g00637,ACD6,Vitvi09g00233
Vitvi05g00637,ACD6,Vitvi09g00241
Vitvi05g00637,ACD6,Vitvi09g00253
Vitvi05g00637,ACD6,Vitvi09g00255
Vitvi05g00637,ACD6,Vitvi10g00973
Vitvi05g00637,ACD6,Vitvi10g04511
Vitvi05g00637,ACD6,Vitvi11g01281
Vitvi05g00637,ACD6,Vitvi12g02492
Vitvi05g00637,ACD6,Vitvi12g02607
Vitvi05g00637,ACD6,Vitvi12g02640
Vitvi05g00637,ACD6,Vitvi12g04430
Vitvi05g00637,ACD6,Vitvi12g04523
Vitvi05g00637,ACD6,Vitvi14g00647
Vitvi05g00637,ACD6,Vitvi14g01859
Vitvi05g00637,ACD6,Vitvi14g03075
Vitvi05g00637,ACD6,Vitvi14g04653
Vitvi05g00637,ACD6,Vitvi16g01932
Vitvi05g00637,ACD6,Vitvi16g01935
Vitvi05g00637,ACD6,Vitvi16g04448
Vitvi05g00637,ACD6,Vitvi17g00245
Vitvi05g00637,ACD6,Vitvi17g00293
Vitvi05g00637,ACD6,Vitvi19g01869
Vitvi05g00637,ACD6,Vitvi19g04105
Vitvi05g00637,ACD6,Vitvi19g04542
Vitvi01g01751,FERONIA,Vitvi00g04231
Vitvi01g01751,FERONIA,Vitvi00g04274
Vitvi01g01751,FERONIA,Vitvi00g04275
Vitvi01g01751,FERONIA,Vitvi00g04737
Vitvi01g01751,FERONIA,Vitvi01g00083
Vitvi01g01751,FERONIA,Vitvi01g00088
Vitvi01g01751,FERONIA,Vitvi01g00812
Vitvi01g01751,FERONIA,Vitvi01g01752
