"timing_label","chitarrini_contrast","chitarrini_AggrDiv","chitarrini_p_emp","chitarrini_p_adj_fdr","own_Rpv12_AggrDiv_protectedComBat","own_Rpv12_p_adj_fdr_protectedComBat"
"0hpi","0hpi_mock_only_temporal_drift",0.862221807888797,0.0952380952380952,0.142857142857143,2.07908650137008,0.0244343891402715
"6hpi","12hpi_proxy_for_6hpi",0.203501933225455,0.142857142857143,0.142857142857143,1.21364459936488,0.285067873303167
"24hpi","24hpi",0.221470044883545,0.0952380952380952,0.142857142857143,1.54128830204083,0.0244343891402715
