"power","n_modules_excl_grey","n_genes_total","n_genes_assigned_to_a_module","pct_genes_assigned","median_module_size","largest_module_size"
1,24,26169,22930,87.6227597539073,287,5532
6,51,26169,24549,93.8094692193053,178,6499
8,60,26169,24752,94.5851962245405,143,6249
10,66,26169,25005,95.5519889946119,125,6417
20,57,26169,21637,82.6817990752417,173,5489
