"geneID","PearsonCorr","Pvals","Padj","FDR","module_size"
"Vitvi00g00859",-0.440199493156902,0.00721598030084795,1,0.0201597231281922,1480
"Vitvi00g01805",-0.101584498420824,0.555509279837126,1,0.57292447798941,11
"Vitvi00g04005",0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723,34
"Vitvi00g04006",-0.675004170824618,6.31632119611022e-06,0.0203638195362593,0.000159092340127026,73
"Vitvi00g04017",0.509422162367264,0.00150722386046954,1,0.00794595383340774,34
"Vitvi00g04022",-0.502247202333923,0.00180036184177854,1,0.00909775325688719,52
"Vitvi00g04024",-0.343452351803737,0.0402822983143647,1,0.0550064082022498,38
"Vitvi00g04030",0.430524779021586,0.00876561976487691,1,0.0224053790519084,38
"Vitvi00g04035",0.314428209397787,0.0618077618339936,1,0.0779609640660389,17
"Vitvi00g04037",0.495072242300581,0.0021423652123623,1,0.0104177759346246,28
"Vitvi00g04040",-0.39182592248032,0.0181099832764267,1,0.0308760370614487,69
"Vitvi00g04236",-0.394622801833796,0.0172310183587185,1,0.0308760370614487,34
"Vitvi00g04250",-0.545296962533973,0.000583320667650517,1,0.00375374417665722,5
"Vitvi00g04274",0.275729352856521,0.103584434864025,1,0.123779176427582,17
"Vitvi00g04275",-0.584247307520468,0.000183111790540964,0.590352412704068,0.00159554706136235,50
"Vitvi00g04303",0.208006353909306,0.223466571725695,1,0.252437360631969,39
"Vitvi00g04304",-0.420850064886269,0.010590608809886,1,0.0239272058886283,3
"Vitvi00g04313",0.720382602476694,7.27925607343024e-07,0.00234683215807391,3.57723386702336e-05,21
"Vitvi00g04315",-0.39182592248032,0.0181099832764267,1,0.0308760370614487,707
"Vitvi00g04361",-0.478898349698169,0.00312849885508842,1,0.012181497957494,190
"Vitvi00g04411",-0.237030496315255,0.163946637501507,1,0.189721449858169,3
"Vitvi00g04412",-0.420850064886269,0.010590608809886,1,0.0239272058886283,4
"Vitvi00g04449",-0.419750492781696,0.0108170978520595,1,0.0243876387937342,102
"Vitvi00g04463",-0.114799360533468,0.504965768061545,1,0.525333861319916,4
"Vitvi00g04498",-0.545296962533973,0.000583320667650517,1,0.00375374417665722,25
