"","Rpv12.0.A","Rpv12.6.A","Rpv12.24.A","Rpv12.1.0.A","Rpv12.1.6.A","Rpv12.1.24.A","Rpv12.1.3.0.A","Rpv12.1.3.6.A","Rpv12.1.3.24.A","Susceptible.0.A","Susceptible.6.A","Susceptible.24.A","Rpv12.0.B","Rpv12.6.B","Rpv12.24.B","Rpv12.1.0.B","Rpv12.1.6.B","Rpv12.1.24.B","Rpv12.1.3.0.B","Rpv12.1.3.6.B","Rpv12.1.3.24.B","Susceptible.0.B","Susceptible.6.B","Susceptible.24.B","Rpv12.0.C","Rpv12.6.C","Rpv12.24.C","Rpv12.1.0.C","Rpv12.1.6.C","Rpv12.1.24.C","Rpv12.1.3.0.C","Rpv12.1.3.6.C","Rpv12.1.3.24.C","Susceptible.0.C","Susceptible.6.C","Susceptible.24.C"
"Vitvi01g04000",0.101688416701562,1.5273720952155,-0.0768501972793869,0.101688416701562,-0.0768501972793869,-0.0768501972793869,2.78887670582364,1.66364288489586,2.49533225084783,-0.0768501972793869,1.57696687677896,-0.0768501972793869,2.45486572234924,-0.0768501972793869,-0.0768501972793869,0.101688416701562,0.101688416701562,0.101688416701562,3.8766190128385,1.66678091466111,3.48277082818323,0.101688416701562,-0.0768501972793869,1.92121324545979,0.101688416701562,2.57825207084824,-0.0768501972793869,0.101688416701562,0.101688416701562,0.101688416701562,0.101688416701562,2.58651353796839,1.65280925445137,3.20620078101943,-0.0768501972793869,0.101688416701562
"Vitvi01g04001",3.66405769267693,4.68913941989352,4.61347097321669,3.29155483996461,4.1456272146165,2.85284972066558,5.04093279152646,4.34190502306055,4.66200699622729,3.39230695482143,3.63912418089317,5.28706422059453,4.0754998937957,4.0378754468578,3.93853417302164,3.85357139134405,4.04511548123978,1.99560354753964,5.58269439084313,5.40496066792249,4.74708201259776,4.72314516176418,3.79925491966485,4.25713812783258,4.08768468761734,2.95665392869917,4.62082273467229,2.16141559444622,3.65925833905334,4.15003510349584,5.10362367352201,5.51319755384825,5.24856924888582,3.88916618254345,2.88356732412528,4.19071042401299
"Vitvi01g04002",6.24060566660742,7.25871199852763,7.03503004274593,6.80188281143077,7.42920632174537,7.38560652872788,7.24767523118212,7.18350506190507,7.28825737554329,5.05756292012814,5.70147509650028,5.76616017733493,6.43275380973328,7.50510983351306,7.16603225463842,6.7604215241043,6.56296796806527,6.75050335070984,6.72486210493993,6.9041801666443,7.48102858608658,5.49782289482685,4.87446104101341,5.20907009172835,7.17062859244438,6.58068057320234,7.18332490871673,6.83981085678515,6.79017183944982,6.92438907052918,6.98761949718872,7.45460635293091,6.60909557072395,5.32211577108266,5.92785108983167,4.73348996990805
"Vitvi01g04003",1.69642727519352,1.03299251532076,1.11398719608626,2.52364877394127,1.62762407798504,1.51680245989959,0.0214360765788343,1.98906314011835,0.0182342065209521,1.07043346513307,0.0182342065209521,0.0182342065209521,1.64502511869742,1.32755012756088,1.34394191046743,0.0214360765788343,0.931219160571257,0.0214360765788343,0.0214360765788343,0.0214360765788343,3.16305341419798,0.0214360765788343,0.0182342065209521,0.0182342065209521,2.67976296812006,1.74987221506853,0.0182342065209521,1.04360519543458,2.18059857178033,0.0214360765788343,1.64598300850609,0.0182342065209521,0.0214360765788343,3.45187124582831,0.0182342065209521,0.0214360765788343
"Vitvi01g04004",0.104435754439548,1.55614613910766,2.10106457179548,1.45857429625083,3.4728072099966,-0.07639139330614,0.104435754439548,2.82597825959486,3.42674053473304,0.995069646414875,-0.07639139330614,-0.07639139330614,2.43120113464025,0.737340360528747,1.96306625297759,0.104435754439548,0.104435754439548,1.89494949126468,0.104435754439548,3.45598991524947,2.26801779678283,0.104435754439548,-0.07639139330614,-0.07639139330614,0.104435754439548,1.20775709844495,1.75893477709281,1.69176461126179,0.104435754439548,0.104435754439548,3.5341911638401,2.471181988801,1.63814690196857,-0.07639139330614,-0.07639139330614,1.65552078554705
"Vitvi01g04005",6.6609450363836,6.97938804940331,7.03023788596073,6.91515267383243,6.8028020325249,7.07269130816375,6.95016125614721,6.65750885312585,6.94655216186891,5.23808649854809,5.48553529583104,5.64156973282879,7.34662080652371,7.01483463669756,6.78824553980561,6.42729734206775,6.34297771514921,6.30932223043094,6.49247975354656,6.49653831495528,7.03178772789225,5.33507749500336,5.6734563290711,6.04308659030382,6.58912849493355,6.38231642197378,6.91465735578341,6.59245068583066,6.89431241935144,6.61662196279623,6.27347565392662,7.34859766443303,5.84873456990428,5.72279698389358,5.75808577033597,4.91780108277702
"Vitvi01g00002",8.61527760176197,7.27121057551249,9.34254673108989,9.70184122364423,6.94449752171253,9.48127162213977,5.74226318479922,6.24563546202109,7.17498503085071,8.05524890945962,8.2100847452124,7.06137230356919,8.48609425276613,6.45639099094475,9.09461921102278,9.58387931181232,7.27658237456658,6.59637989991574,5.96654522884948,6.21878004513446,6.98147178955499,6.92164038533887,8.22555121852687,8.28527974802777,6.56115999382273,9.1829351207039,9.08939451404804,9.26594119821253,7.95977317783691,7.71542410061551,6.05707457294704,4.53291270770471,6.2611401016119,8.17669323743467,8.33259117032437,8.66316698193342
"Vitvi01g00005",10.1187443014868,10.4085019295882,10.4423789659948,10.4244815686464,10.2520669963473,10.3887354156153,10.3771504702877,10.4439045288016,10.4267573893102,10.3750386646385,10.1812021549887,10.4120799214967,10.4205694658573,10.338986632701,10.5891805532803,10.5352748143907,10.4085478583347,10.568815068144,10.5959889400962,10.5011331057647,10.5577565480499,10.2943612781377,10.277636451815,10.3604111172283,10.3007430684945,10.5078952943388,10.5577591252242,10.4931106340222,10.3859534017171,10.3212716121131,10.6282703077702,10.5500018303436,10.3379965608257,10.3993992321025,10.2263049395831,10.433233175836
"Vitvi01g01834",9.903852582589,6.857016691614,8.9720113674154,8.81902104359104,7.33848413051461,8.61823892245847,7.5566581609123,7.78657337645969,8.39868879302049,7.56710409259695,8.57227722603436,7.3362746739686,7.48484868483852,8.13735476364184,8.00737147016556,8.25878705024642,8.74808432965127,7.0840844404236,6.87196258421108,8.63012805248412,7.81883650817882,7.7858260409759,8.85794111410557,7.98105745158975,8.19925932468294,7.9972629495237,8.27019242801942,8.25346909019835,7.9574975066613,7.23789493781944,6.96635158630163,7.85367703445828,8.39890871381149,7.35693211002239,9.21497241927633,7.99376114402091
"Vitvi01g00006",10.958769182491,11.2766314542574,10.9575462184341,10.9322593845406,11.5612350002555,10.8578367386026,11.4510086529064,11.5819894649891,11.2620033904458,11.2311580652162,11.1465284326376,11.3247761259269,11.2599805513809,11.512562234977,11.2426068115082,11.0601307382897,11.3507809867597,11.4704572987643,11.7134302251769,11.3699613236432,11.3258744000021,11.2440417599353,11.2075358609506,11.2378453383898,11.3996970381723,11.2057133678501,11.1284981528433,11.2148255552841,11.0635467630001,11.145263619447,11.7681038495839,11.7847789548491,11.4785538724133,11.3975067967417,11.0726916215703,11.3414221655139
