"","CP","EEE","ER","IEV","LR","SCh","TRS"
"Group_I",0,0,2,128,101,146,27
"Group_II",0,55,1,348,120,11,11
"Group_III",274,227,0,0,0,0,0
"Group_IV",0,55,1,175,107,61,73
"Group_V",413,2454,22,874,486,5,110
"Group_VI",292,373,105,1358,535,89,420
