"","Rpv12.0.A","Rpv12.6.A","Rpv12.24.A","Rpv12.1.0.A","Rpv12.1.6.A","Rpv12.1.24.A","Rpv12.1.3.0.A","Rpv12.1.3.6.A","Rpv12.1.3.24.A","Susceptible.0.A","Susceptible.6.A","Susceptible.24.A","Rpv12.0.B","Rpv12.6.B","Rpv12.24.B","Rpv12.1.0.B","Rpv12.1.6.B","Rpv12.1.24.B","Rpv12.1.3.0.B","Rpv12.1.3.6.B","Rpv12.1.3.24.B","Susceptible.0.B","Susceptible.6.B","Susceptible.24.B","Rpv12.0.C","Rpv12.6.C","Rpv12.24.C","Rpv12.1.0.C","Rpv12.1.6.C","Rpv12.1.24.C","Rpv12.1.3.0.C","Rpv12.1.3.6.C","Rpv12.1.3.24.C","Susceptible.0.C","Susceptible.6.C","Susceptible.24.C"
"Vitvi01g04000",0.421379161850495,1.16830051752631,-0.433245180627678,0.385633757908348,-0.425621147989288,-0.425621147989288,3.15206549754367,2.00201965035306,2.1553990677276,-0.414752557885434,1.21388268636331,-0.420498553422137,2.80206810550729,-0.422259667385385,-0.433245180627678,0.385633757908348,0.379501354447921,0.379501354447921,4.25252489669008,2.00519436768059,3.1344282792672,0.396985691864639,-0.425849913932017,1.56054869533915,2.92689699747593,0.384908979589432,-0.433245180627678,0.385633757908348,0.379501354447921,0.379501354447921,0.433460556860645,2.24135654739369,1.99821370933938,2.840338831598,-0.425849913932017,0.387742089539159
"Vitvi01g04001",3.56655288121638,4.70505000320104,4.61456353426068,3.13358589201865,4.2305731261122,3.12303299077033,5.16263703352164,4.42450731221945,4.58830017573218,3.48052414173506,3.79174726149041,5.24202941301523,3.98250161109008,4.07813089211024,3.96485650863109,3.70175821386269,4.00037257484609,1.8262001841654,5.71033255069845,5.49920661156951,4.67019500770085,4.70440933585648,3.94589216212281,4.25060292959738,2.85140091981249,4.07977885323878,4.62164047993482,1.99106822495489,3.61028913719985,4.004229241134,5.22601456910211,5.38079914039845,5.32103990559553,3.95881030261205,3.06443383308814,4.21274579166489
"Vitvi01g04002",6.48329306163561,7.13462416825543,6.87300968850533,7.00836540395682,7.29653247814565,7.25641972033499,7.42937188014983,7.36465184425876,7.15319219605821,4.63366346969709,5.31751351076742,5.38536305635497,6.66745644208604,7.39621303819726,7.01208851024442,6.96862705047781,6.77849614642933,6.95523554821882,6.9282843801288,7.09693436274508,7.35784822774095,5.82812999447226,4.43951199661609,4.79392699134963,6.80923607303313,7.35161832131437,7.03044729914737,7.04471734019054,6.99625850585112,7.1218954047911,7.18012282523509,7.34117260289424,6.81964397239402,4.91452665717264,5.55784614307735,5.09584332009813
"Vitvi01g04003",1.91268671910787,0.831471936909852,0.893062080378608,2.74356897340956,1.41920065415841,1.28997391720753,0.191316598047521,2.18901146073348,-0.18204339576269,0.864977923895777,-0.203516028857822,-0.201120282217427,1.86049257267086,1.12230272231946,1.12010734219856,0.202802887990359,1.13099370308569,0.187986403637189,0.191316598047521,0.191067753923954,2.92298666332926,0.203234883787605,-0.203516028857822,-0.201120282217427,1.9669551235544,2.90587680046837,-0.188827130179016,1.2407213005574,2.39962320015726,0.187986403637189,1.84089409126521,-0.186456296608857,0.195346816591646,3.21628507531004,-0.203516028857822,0.176848510037766
"Vitvi01g04004",0.309301893491494,1.42112741520027,1.92047062539335,1.5999449359154,3.42197639969866,-0.316219444239368,0.309292772703268,3.05681649181914,3.28350509911751,0.859075771714334,-0.242163183971672,-0.297217644805845,2.55007809483582,0.548819447958192,1.77345525725589,0.295850658239631,0.294706125074292,1.97606846023363,0.309292772703268,3.66354510166232,2.04906940926104,0.217850294217838,-0.242163183971672,-0.297217644805845,1.37184830711799,0.253592301461792,1.55598547695192,1.824517345625,0.294706125074292,0.251725901332488,3.61229631711469,2.21397558155581,1.86127007243748,-0.282396389315427,-0.242163183971672,1.72645688583671
"Vitvi01g04005",6.93592209927708,6.70646588032421,6.77698804251581,7.15451604324292,6.50255544591099,6.81423129002763,7.18036788787623,6.92104304167656,6.68906726015877,4.82119409412605,5.10722137434334,5.27654224987627,7.55896081128622,6.7473262943081,6.49803573145841,6.71122670623259,6.6215176987639,6.5903658949858,6.76449597536508,6.77477729751482,6.78732102109076,5.58228898703134,5.32384395498071,5.73938356325141,6.68274644306961,6.8448252265867,6.64375467163252,6.86129315317883,7.12248751416499,6.86959353841631,6.56549808438806,7.11810306803896,6.15143654179965,5.37993536106766,5.42139901653295,5.21297593555781
"Vitvi01g00002",8.81083286705393,7.21582878281897,9.13814973138778,9.99150519785195,6.94562897723433,9.23085541972549,5.68004954505294,6.22139493520396,7.13037168079135,7.94559031968269,8.0980109675249,7.06667535479562,8.6714151658453,6.4861977826296,8.91614278915529,9.8641979349143,7.35106811918043,6.62131732116131,5.92209998922332,6.19241193920303,6.95709005812223,6.96970102220692,8.11186043630004,8.16262448237245,9.42346218019575,6.57187024216082,8.91146432909914,9.52107166307472,8.08838366347629,7.82901607820037,6.01980138142375,4.73246359687168,6.24830655339214,8.05433776287867,8.20770946664909,8.85270631900126
"Vitvi01g00005",10.1367225719179,10.3986849533349,10.4123193089842,10.4446563769753,10.2267234536873,10.3649928548577,10.4049270282951,10.4634618330094,10.4063246397789,10.3613348662939,10.1673990452581,10.3949739466262,10.4256674704688,10.3229071765394,10.572345927767,10.5507215661337,10.4139329966982,10.575551039276,10.6144266556364,10.5182482037857,10.5491252240514,10.3041899398036,10.2725208953768,10.338650413642,10.5092667048272,10.3096324800737,10.5380938124995,10.5103567249698,10.3923027493037,10.3385713992948,10.6453304291077,10.5309908385409,10.3546709368367,10.3878900235982,10.2165650403253,10.4422885393111
"Vitvi01g01834",9.89108613142295,7.04173689728793,9.02677481121821,8.77804130219415,7.49011721203491,8.73842926328216,7.39062850594159,7.6997786947311,8.49137952645683,7.72930421336065,8.62255292119128,7.49846149105719,7.41207485992637,8.26506552189021,8.10508730967411,8.203909782411,8.68186388821581,6.94505477285541,6.68894792834325,8.56425913311851,7.9373462491644,7.67012255303915,8.89549709033498,8.11453410949087,7.93720040396187,8.10504340074577,8.35620567279424,8.19845990160973,7.87166525765082,7.10268079283553,6.78567840500986,7.97971524719592,8.33851337664033,7.52849053141986,9.23663090884492,7.89592095640413
"Vitvi01g00006",10.943118375242,11.2660295278554,10.9651899015454,10.9119525342321,11.5434707272093,10.8675397755835,11.475325126344,11.6048428168374,11.2528600678111,11.2250462029217,11.1470451312852,11.3151584275376,11.2518021481823,11.4941394965454,11.2408010903972,11.0429961003223,11.3544210266708,11.4694996316985,11.7442568115189,11.3875547148598,11.3146138328163,11.2437380610032,11.2060302392049,11.2311092875194,11.1961887129363,11.4086923745217,11.1304749918868,11.2015285618961,11.0600611416689,11.1362385989627,11.8002867705621,11.7522116217435,11.4877303721694,11.3858806808316,11.0756559186977,11.3442680661045
"Vitvi01g01835",7.56408808688594,3.37919910140484,5.71170538676908,6.83728908099802,3.23591054863026,5.78661126451284,1.05864719919801,2.54463361202734,4.28772015492983,5.20969962205201,5.72181015684813,3.67366842537897,5.95591957933141,4.15373376748759,5.76498596658389,4.02246637770836,3.77493055069509,3.73936101321192,1.05864719919801,1.01630703035545,4.18322553585191,4.15656136128352,6.04553627000104,6.33990283082601,6.45441206677067,4.62866157353189,5.17447739884859,5.22822548594836,6.58214916068745,4.56122548931973,2.64768203943277,-1.226067386307,1.13796119948879,5.20129969290519,6.55097281923487,4.2703142514683
"Vitvi01g01836",0.443924803117695,1.15113976521194,-0.461154206441818,2.98601977159057,-0.451998721587371,3.94064071316526,0.410132975230339,0.413136313277544,1.65263687775194,1.20581752250673,1.62601086726756,2.44738103424543,2.80809500433873,1.98736991266967,-0.461154206441818,2.09738737402476,1.90351732949482,1.88729665208934,0.410132975230339,0.413136313277544,1.8514498242011,3.46950255040718,2.03551330848685,1.87146140247,1.56498301812505,0.431225187439173,-0.461154206441818,2.81604357380164,3.07498437085201,0.456952624776203,0.410132975230339,0.769409235162649,0.434674764847785,2.24565847522806,1.7892435720218,2.76380560665221
"Vitvi01g00008",0.119873892573221,-0.0942373689097247,2.98551788742833,2.49233190719863,-0.0646201413273311,2.01751629152742,1.72124790204362,0.0995767378018042,-0.0367078343055165,2.98507718942465,2.27538423023509,-0.00634054415207608,0.119873892573221,1.122708084869,1.2841250788537,1.76746865378914,0.0952664542712631,1.03425213820205,0.100382534582349,0.0995767378018042,1.80596717257515,3.90637621177494,1.82050555804557,2.93229671706138,0.119873892573221,0.109914011475088,2.6991934562819,3.04470483870291,2.41037884088156,0.0838865036434597,0.100382534582349,1.67002305807809,1.74517743276955,2.82984959591382,2.56806845830713,1.74900549453236
"Vitvi01g00011",2.05764142019199,-0.390620440103315,2.58748464291058,3.77664965692005,-0.393345494282749,1.84151404627108,0.346711281590507,0.338013942796682,-0.392515252680223,4.04484547619604,2.51288372454282,-0.399940042119157,2.00632369888144,-0.390620440103315,2.94962022529955,4.49887893052422,1.80866246890294,0.363295524828249,0.346711281590507,0.338013942796682,1.19238729406572,0.431007690275675,3.90441716834281,3.87322374529701,0.385401627399141,0.329316604002857,2.70374798383938,0.433746024268247,0.355091500998634,0.363295524828249,0.346711281590507,-0.391539967325245,0.347238669319828,4.14526196049219,3.61405131358782,3.80749923138803
"Vitvi01g00012",9.25542480225897,8.7383110793952,10.4980285492817,10.4420549043034,8.88473413632345,10.6785671376811,8.14878532072109,8.75176929155271,9.35742540720357,9.01911911852413,8.9422567476506,9.46090276925485,9.22766042026598,7.80709373584811,10.3199672877175,10.7851252950956,9.56033165025254,9.71177118014369,7.9559556905726,8.19897371936648,9.40858008561823,9.10429907196768,9.01846678507815,10.0367323149636,9.13930546565803,7.76420956277574,10.4076381321586,10.5433174654079,9.74002543971414,9.86299319353292,7.7903098050771,6.78488393387095,7.8545367977128,8.95089216295474,8.9294480367064,9.93975816458446
"Vitvi01g01837",9.15308523484193,8.63637314496399,9.10968339252433,9.68516941347673,8.16535924841598,10.0114815251175,8.53997582427319,7.6661443247935,9.65100796851165,8.98875877218079,9.18046270184964,9.18204071193441,9.08479886658234,7.96175521706857,9.04470711895554,9.73385270622008,8.81492295153589,8.69811168244257,8.00360321828498,8.49568754816519,9.63836708802838,9.3438192138712,9.24589050343591,9.79693805746502,9.25680573355789,8.11588998044804,9.18166139763684,9.41303548149798,9.07135208105285,8.94256996794057,8.16290657042338,7.29244889865661,8.33467810107124,9.03892972238705,9.14424902359878,10.1024060979936
"Vitvi01g00014",5.70529179037003,5.35283436986298,5.11888839630431,5.36373094606879,5.10246681292802,5.08510639136543,5.33748345807836,5.93817382642577,4.10596479252537,5.24127423917425,4.63630564268523,4.48978336660728,6.35302653979261,3.67113431610028,5.40494388517996,5.15379392368897,4.73250053149839,4.24715654709601,5.34432933522558,4.76420781883061,4.48604627669898,3.78211907281651,5.40417859648677,5.89298304931445,5.51489920932311,4.51067526054578,5.34289016126379,4.67684463814741,5.17527391689957,5.00967884949555,5.96190717781322,4.59877955018507,5.11814774372167,5.23972320037266,5.8167663623727,5.42890449244007
"Vitvi01g01838",10.9247738113513,10.6763325283497,10.599644189859,10.5138771203132,10.0343571409015,10.7859886672468,10.3493109001503,10.5926801774331,9.96153102674841,10.497024425031,10.4202768012558,10.8904923791296,11.146587838883,9.82591654962031,10.7473275427244,10.8584143866675,9.74263245104687,9.87387409484782,10.2325124016109,10.0764943426656,10.0508966787097,9.52849622087442,10.3520305269701,11.0498801571797,11.0818742045844,9.75784670468998,10.7172538660668,10.8115374961872,10.1510904668423,10.2785965058228,10.296527284447,9.30678071610537,10.3672727853812,10.5497121862191,10.3102399986006,11.7615266292548
"Vitvi01g00015",1.48102452166909,0.222847925696937,0.236074559474709,2.2966072597002,2.629009666499,0.233066604967997,1.3766063545746,1.39343212737976,2.3767355068687,2.35571609627807,0.237057744371836,0.233953768545317,0.848304494969144,2.24746677303502,1.97626296614814,-0.179630642276099,1.28646180944002,-0.162548903888783,3.9072749436383,2.10844964222921,0.228197966981049,-0.172507435380544,0.237057744371836,1.85090277571937,-0.176579044909566,2.49583157132492,0.236074559474709,-0.179630642276099,-0.15438682426538,2.98812687737624,0.906223419120305,0.229474674860747,1.38616176054344,0.236747142866957,1.78651815447947,0.819132964261796
"Vitvi01g00019",0,0,0,0,0,3.35187327453231,0,0,0,0,0,0,0,1.3165775301316,2.01390179102509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g00023",9.11928124532182,9.19101570917163,9.38533493245761,9.16531600433871,9.25266230340049,9.52020020990209,9.53031964641129,9.43078346315504,9.49441084036964,9.37726322111017,9.51944368778097,9.52784565925396,8.80148329697566,9.72829393014996,9.09827777169893,8.9154453934425,9.63539868836697,9.08672350487233,9.46567274630485,9.72627744795182,9.24832256109756,9.58838978664601,9.59465702968264,9.35791036413725,8.51597065988904,9.75086060165623,9.26859578355041,8.97875381115909,9.70499110895966,9.55570654776512,9.2210780807142,9.88294476538504,9.45632329414603,9.41990407369778,9.73421046056407,9.18232552427336
"Vitvi01g00024",9.23074059257388,9.06264620375988,9.08584603312237,9.19852556653694,9.2461687185066,8.93842128979103,9.04256708567576,9.11897591930706,9.28702266701187,8.89583097985207,9.11631117003283,8.54254478607547,9.04693158983412,9.53129169265232,8.92205315921023,8.70308261443493,9.17333096886679,8.83856774517339,9.03942547008255,9.36213635457022,9.20954070990658,9.15233280859448,9.2186257147842,8.70262732074451,8.99590397910519,9.62775413020347,8.83602852232122,8.86842186386322,9.21938666906503,8.86301785360633,9.07713947606483,9.58386474082335,9.31494125158405,9.07480605359335,9.29794354423588,8.54962026404044
