"gene","genotype","pattern","category","group"
"Vitvi15g00434","Rpv12","EEE","EEE","Group_V"
"Vitvi15g00447","Rpv12","EEE","EEE","Group_II"
"Vitvi15g00459","Rpv12","UEE","IEV","Group_VI"
"Vitvi15g00478","Rpv12","EEE","EEE","Group_V"
"Vitvi15g00500","Rpv12","DDE","IEV","Group_VI"
"Vitvi15g00511","Rpv12","EEE","EEE","Group_V"
"Vitvi15g00522","Rpv12","DEE","IEV","Group_VI"
"Vitvi15g00523","Rpv12","EEE","EEE","Group_V"
"Vitvi15g00526","Rpv12","UEE","IEV","Group_II"
"Vitvi15g00528","Rpv12","UEE","IEV","Group_I"
"Vitvi15g00537","Rpv12","UEU","CP","Group_VI"
"Vitvi15g00539","Rpv12","EEE","EEE","Group_V"
