"gene","genotype","pattern","category","group"
"Vitvi14g01727","Rpv12","EEU","LR","Group_VI"
"Vitvi14g01732","Rpv12","EED","LR","Group_V"
"Vitvi14g01735","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g01739","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01744","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g01745","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01748","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01761","Rpv12","EED","LR","Group_II"
"Vitvi14g01762","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01763","Rpv12","UEE","IEV","Group_IV"
"Vitvi14g01765","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01780","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01785","Rpv12","DEE","IEV","Group_V"
"Vitvi14g01789","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g01795","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01797","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01806","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01808","Rpv12","DUE","CP","Group_III"
"Vitvi14g01809","Rpv12","UEU","CP","Group_VI"
"Vitvi14g01811","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g01815","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01819","Rpv12","EDE","TRS","Group_V"
"Vitvi14g01821","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01822","Rpv12","EED","LR","Group_VI"
"Vitvi14g01824","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01832","Rpv12","DEE","IEV","Group_VI"
"Vitvi14g01837","Rpv12","UEE","IEV","Group_V"
"Vitvi14g01840","Rpv12","UUD","CP","Group_VI"
"Vitvi14g01841","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g01842","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01845","Rpv12","EED","LR","Group_V"
"Vitvi14g01858","Rpv12","UUE","IEV","Group_VI"
"Vitvi14g01859","Rpv12","UUE","IEV","Group_VI"
"Vitvi14g01865","Rpv12","UEE","IEV","Group_V"
"Vitvi14g01868","Rpv12","EED","LR","Group_VI"
"Vitvi14g01874","Rpv12","DED","CP","Group_V"
"Vitvi14g01879","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g01881","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01897","Rpv12","UED","CP","Group_III"
"Vitvi14g01899","Rpv12","EED","LR","Group_V"
"Vitvi14g01907","Rpv12","EED","LR","Group_V"
"Vitvi14g01910","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g01911","Rpv12","UEE","IEV","Group_II"
"Vitvi14g01916","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g01917","Rpv12","UED","CP","Group_III"
"Vitvi14g01920","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g01921","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01922","Rpv12","UEE","IEV","Group_I"
"Vitvi14g01923","Rpv12","UEE","IEV","Group_V"
"Vitvi14g01926","Rpv12","EDE","TRS","Group_VI"
"Vitvi14g01928","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g01929","Rpv12","EDE","TRS","Group_VI"
"Vitvi14g01932","Rpv12","UEE","IEV","Group_V"
"Vitvi14g01940","Rpv12","EED","LR","Group_V"
"Vitvi14g01942","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01946","Rpv12","UEE","IEV","Group_I"
"Vitvi14g01950","Rpv12","EEU","LR","Group_VI"
"Vitvi14g01956","Rpv12","DEE","IEV","Group_V"
"Vitvi14g01960","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g01963","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01965","Rpv12","UEE","IEV","Group_V"
"Vitvi14g01967","Rpv12","UEE","IEV","Group_II"
"Vitvi14g01975","Rpv12","EED","LR","Group_VI"
"Vitvi14g01977","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01985","Rpv12","DED","CP","Group_VI"
"Vitvi14g01987","Rpv12","UEE","IEV","Group_I"
"Vitvi14g01991","Rpv12","EEE","EEE","Group_V"
"Vitvi14g01992","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g01996","Rpv12","UEE","IEV","Group_V"
"Vitvi14g02000","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02001","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g02004","Rpv12","DED","CP","Group_V"
"Vitvi14g02005","Rpv12","DDE","IEV","Group_VI"
"Vitvi14g02006","Rpv12","EDE","TRS","Group_VI"
"Vitvi14g02009","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g02010","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02029","Rpv12","DEE","IEV","Group_V"
"Vitvi14g02033","Rpv12","DEE","IEV","Group_V"
"Vitvi14g02034","Rpv12","DEE","IEV","Group_VI"
