	Cult1_0h	Cult1_6h	Cult1_24h	Cult2_0h	Cult2_6h	Cult2_24h	Cult3_0h	Cult3_6h	Cult3_24h
Vitvi01g00508	0	0	0	0	1	0	1	1	0
Vitvi01g00518	0	0	0	0	-1	0	0	0	0
Vitvi01g00521	0	0	0	0	0	0	0	-1	0
Vitvi01g00541	0	0	0	0	-1	0	0	0	0
Vitvi01g00542	0	0	0	0	0	0	-1	0	0
Vitvi01g00555	0	0	0	0	1	0	0	0	0
Vitvi01g00556	0	0	0	0	1	0	0	1	0
Vitvi01g00557	0	0	0	-1	0	0	0	0	0
Vitvi01g00558	0	0	0	0	0	0	-1	-1	0
Vitvi01g00593	0	0	0	0	0	0	0	-1	0
Vitvi01g00598	0	0	0	0	0	0	0	-1	0
Vitvi01g00609	0	0	0	0	-1	0	0	0	0
Vitvi01g00610	0	0	0	0	-1	0	0	0	0
Vitvi01g00612	1	0	-1	0	0	0	-1	-1	0
Vitvi01g00621	-1	0	0	0	0	0	0	1	0
Vitvi01g00635	0	0	0	0	0	0	0	-1	0
Vitvi01g00636	0	-1	0	0	-1	0	0	-1	0
Vitvi01g00638	0	0	0	0	0	0	0	-1	0
Vitvi01g00639	0	0	0	0	0	0	0	-1	0
Vitvi01g00653	0	0	0	0	1	0	0	0	0
Vitvi01g00655	0	0	0	0	-1	0	0	0	0
Vitvi01g00656	1	-1	0	0	0	0	-1	-1	0
Vitvi01g00687	1	0	0	0	0	0	0	0	0
Vitvi01g00695	0	0	0	0	0	0	0	-1	0
Vitvi01g00697	0	0	0	1	0	0	0	0	0
Vitvi01g00710	0	0	0	0	0	0	0	-1	0
Vitvi01g00739	0	0	0	0	0	0	0	0	-1
Vitvi01g00742	0	-1	0	0	-1	0	0	-1	0
Vitvi01g00745	0	-1	0	0	0	0	0	-1	0
Vitvi01g00747	0	0	0	0	-1	0	0	-1	0
Vitvi01g00752	0	0	0	0	0	0	1	1	0
