	Cult1_0h	Cult1_6h	Cult1_24h	Cult2_0h	Cult2_6h	Cult2_24h	Cult3_0h	Cult3_6h	Cult3_24h
Vitvi03g00708	0	0	0	0	-1	0	0	0	0
Vitvi03g00717	0	0	0	0	0	0	-1	-1	0
Vitvi03g00726	0	0	0	0	-1	0	0	0	0
Vitvi03g00735	0	-1	0	0	0	0	0	0	0
Vitvi03g00737	0	-1	0	0	-1	0	0	0	0
Vitvi03g00743	0	0	0	0	0	0	0	-1	0
Vitvi03g00745	-1	0	0	0	0	0	-1	0	0
Vitvi03g00752	0	-1	0	0	0	0	-1	-1	0
Vitvi03g00783	0	0	-1	0	0	0	0	0	0
Vitvi03g00786	0	0	0	0	-1	0	0	-1	0
Vitvi03g00841	0	0	0	0	-1	0	0	0	0
Vitvi03g00860	0	-1	0	0	0	0	0	-1	0
Vitvi03g00886	0	0	1	1	0	0	0	0	0
Vitvi03g00936	1	0	0	0	0	0	0	-1	0
Vitvi03g00954	0	0	0	0	1	0	0	0	0
Vitvi03g01016	0	-1	0	0	-1	0	0	-1	0
Vitvi03g01059	0	0	1	0	0	0	0	0	0
Vitvi03g01198	0	0	0	0	0	0	0	0	-1
Vitvi03g01200	0	0	1	0	0	0	0	-1	0
Vitvi03g01255	0	0	0	0	-1	0	0	0	0
Vitvi03g01258	0	0	1	1	1	0	0	0	0
Vitvi03g01292	0	0	1	1	0	0	0	0	0
Vitvi03g01294	0	-1	0	0	-1	0	0	0	0
Vitvi03g01302	0	0	0	0	-1	0	0	0	0
Vitvi03g01303	0	0	0	0	-1	0	0	0	0
Vitvi03g01346	0	0	1	0	0	0	0	0	0
Vitvi03g01348	1	0	0	0	0	0	0	0	0
Vitvi03g01350	1	0	0	0	0	0	0	0	0
Vitvi03g01351	0	0	0	0	0	0	0	-1	0
Vitvi03g01353	1	0	0	0	0	0	-1	0	0
Vitvi03g01364	0	0	0	0	0	0	-1	0	0
Vitvi03g01367	0	-1	0	0	0	0	0	-1	0
Vitvi03g01374	0	0	0	0	-1	0	0	0	0
Vitvi03g01380	0	0	1	0	0	0	0	0	0
Vitvi03g01388	0	0	0	0	-1	0	0	-1	0
Vitvi03g01395	0	0	0	1	0	0	0	0	0
Vitvi03g01402	0	0	0	0	0	0	0	-1	0
Vitvi03g01433	0	-1	0	0	0	0	0	-1	0
Vitvi03g01449	0	0	0	0	0	0	-1	0	0
Vitvi03g01450	0	0	0	0	0	0	0	-1	0
Vitvi03g01454	0	0	1	0	0	0	0	0	0
Vitvi03g01467	0	0	1	0	0	0	0	0	0
Vitvi03g01470	0	0	0	0	0	0	0	-1	0
Vitvi03g01471	0	0	0	0	0	0	-1	0	0
Vitvi03g01477	0	0	0	0	0	0	-1	-1	0
Vitvi03g01482	0	0	0	0	0	0	-1	0	0
Vitvi03g01490	0	0	0	0	1	0	0	0	0
Vitvi03g01495	0	0	0	0	0	0	-1	-1	0
Vitvi03g01500	0	0	0	0	0	0	0	-1	0
Vitvi03g01531	0	0	0	1	-1	0	0	0	0
Vitvi03g01566	1	0	0	0	0	0	0	0	0
Vitvi03g01571	0	-1	0	0	-1	0	0	-1	0
Vitvi03g01572	1	0	0	0	0	0	0	0	0
Vitvi03g01618	0	0	1	0	0	0	0	0	0
Vitvi03g01621	0	0	0	0	-1	0	0	0	0
Vitvi03g01622	0	0	0	0	0	0	0	-1	0
Vitvi03g01681	0	0	0	0	0	0	0	-1	-1
Vitvi03g01695	0	0	1	0	0	0	0	0	0
Vitvi03g01727	0	0	0	0	0	0	0	-1	0
Vitvi03g01741	0	0	0	0	-1	0	0	0	0
Vitvi03g01759	0	0	0	0	0	0	0	-1	0
Vitvi03g01763	0	0	0	0	0	0	0	-1	0
Vitvi03g01769	0	0	1	0	1	0	0	0	0
Vitvi03g01809	1	1	1	0	0	0	1	1	1
Vitvi03g01833	0	0	0	0	1	0	0	1	0
Vitvi03g01834	0	0	0	1	1	0	0	1	0
Vitvi03g01853	0	0	0	0	0	0	0	-1	0
Vitvi03g01872	0	0	1	0	0	0	0	0	0
Vitvi03g04029	1	0	0	0	0	0	0	0	0
Vitvi03g04038	-1	0	0	0	0	0	0	0	0
Vitvi03g04047	0	1	1	0	1	0	0	1	0
Vitvi03g04050	1	1	1	0	1	0	1	1	0
Vitvi03g04055	0	-1	0	0	0	0	0	-1	0
Vitvi03g04085	0	0	0	0	0	0	0	-1	0
Vitvi03g04088	0	0	0	0	0	0	0	-1	0
Vitvi03g04105	0	0	0	0	-1	0	0	0	0
Vitvi03g04143	0	0	1	0	0	0	0	0	0
Vitvi03g04145	0	-1	0	0	0	0	0	-1	0
Vitvi03g04147	0	0	-1	0	0	0	0	0	-1
Vitvi03g04159	0	0	1	0	0	0	0	0	0
Vitvi03g04162	0	0	1	0	1	0	0	0	0
Vitvi03g04163	0	0	1	0	1	0	0	0	0
Vitvi03g04165	-1	0	0	0	0	0	0	0	0
Vitvi03g04196	0	1	1	0	1	0	1	1	0
Vitvi03g04213	0	0	-1	0	0	0	0	0	0
Vitvi03g04232	0	0	-1	0	0	0	0	0	0
Vitvi03g04246	0	0	0	0	0	0	0	-1	0
Vitvi03g04266	0	0	0	1	0	0	0	-1	-1
Vitvi03g04267	0	0	0	1	0	0	0	0	0
Vitvi03g04291	0	0	1	0	0	0	0	1	1
Vitvi03g04299	0	0	1	0	0	0	0	0	0
Vitvi03g04325	0	0	0	0	1	0	0	0	0
Vitvi03g04369	0	0	0	0	0	0	0	-1	0
Vitvi03g04400	0	1	0	0	1	0	0	1	0
Vitvi03g04402	0	0	1	0	-1	0	0	0	0
Vitvi03g04422	0	0	0	0	0	0	1	0	0
Vitvi03g04424	1	0	1	0	0	0	0	0	0
Vitvi03g04450	0	0	0	0	-1	0	0	0	0
Vitvi03g04455	0	0	1	0	0	0	0	0	0
Vitvi03g04460	0	-1	0	0	-1	0	-1	0	0
Vitvi03g04462	0	0	0	0	1	0	0	0	0
Vitvi03g04463	-1	0	0	0	0	0	-1	-1	0
Vitvi03g04466	0	0	1	1	1	0	0	0	0
Vitvi03g04511	0	0	0	0	1	0	0	0	0
Vitvi04g00012	0	0	0	0	0	0	0	-1	0
Vitvi04g00017	1	0	1	1	0	0	0	0	0
Vitvi04g00029	0	0	0	0	-1	0	0	0	0
Vitvi04g00041	0	-1	0	0	-1	0	0	0	0
Vitvi04g00060	0	-1	0	0	0	0	0	0	0
Vitvi04g00070	0	-1	0	0	0	0	0	-1	0
Vitvi04g00072	0	0	0	0	-1	0	0	0	0
Vitvi04g00078	0	0	0	1	0	0	0	0	0
Vitvi04g00089	0	-1	0	0	-1	0	0	0	0
Vitvi04g00094	0	0	0	1	0	0	0	0	0
Vitvi04g00095	0	0	0	0	0	0	0	-1	0
Vitvi04g00103	0	0	0	0	-1	0	0	0	0
Vitvi04g00104	0	0	0	0	0	0	0	-1	0
Vitvi04g00109	0	0	-1	0	0	0	0	0	0
Vitvi04g00155	0	-1	0	0	0	0	0	0	0
Vitvi04g00156	0	0	0	0	0	0	0	-1	0
Vitvi04g00157	0	-1	0	0	0	0	0	0	0
Vitvi04g00160	0	-1	0	0	0	0	0	-1	0
Vitvi04g00164	0	0	0	0	-1	0	0	0	0
Vitvi04g00168	0	-1	0	0	0	0	0	-1	0
Vitvi04g00171	0	0	0	0	0	0	0	-1	0
Vitvi04g00178	0	0	0	0	0	0	0	-1	0
Vitvi04g00182	0	0	0	0	0	0	0	-1	0
Vitvi04g00190	0	-1	0	0	0	0	0	-1	0
Vitvi04g00224	0	0	0	0	0	0	0	-1	0
Vitvi04g00225	0	0	-1	0	0	0	0	0	0
Vitvi04g00242	0	-1	0	0	-1	0	0	0	0
Vitvi04g00252	0	0	1	0	0	0	0	-1	0
Vitvi04g00254	0	0	0	0	-1	0	0	0	0
Vitvi04g00289	0	0	0	0	0	0	0	-1	0
Vitvi04g00307	0	0	0	0	0	0	0	-1	0
Vitvi04g00318	0	0	0	0	-1	0	0	-1	0
Vitvi04g00342	0	0	0	0	-1	0	0	0	0
Vitvi04g00347	0	0	0	0	-1	0	0	-1	0
Vitvi04g00350	0	0	0	0	0	0	0	-1	0
Vitvi04g00352	0	0	0	0	0	0	0	-1	0
Vitvi04g00359	0	0	0	0	1	0	0	1	0
Vitvi04g00365	0	0	0	0	-1	0	0	0	0
Vitvi04g00367	0	0	0	0	0	0	0	-1	0
Vitvi04g00435	0	0	0	0	0	0	1	1	0
Vitvi04g00442	0	0	0	0	0	0	-1	-1	0
Vitvi04g00479	0	-1	0	0	0	0	0	-1	0
Vitvi04g00480	0	0	0	0	-1	0	0	0	0
Vitvi04g00491	0	-1	0	0	0	0	0	0	0
Vitvi04g00493	0	0	1	0	0	0	0	0	0
Vitvi04g00501	0	-1	0	0	0	0	0	-1	0
Vitvi04g00517	0	-1	0	0	-1	0	0	0	0
Vitvi04g00524	0	0	0	0	0	0	0	-1	0
Vitvi04g00586	0	0	0	0	-1	0	0	0	0
Vitvi04g00600	0	0	0	0	-1	0	0	-1	0
Vitvi04g00602	0	-1	0	0	-1	0	0	0	0
Vitvi04g00625	0	0	0	0	1	0	0	0	0
Vitvi04g00635	0	-1	0	0	-1	0	0	0	0
Vitvi04g00641	0	0	0	0	0	0	0	-1	0
Vitvi04g00644	0	0	0	0	0	0	-1	-1	0
Vitvi04g00735	0	0	0	0	0	0	0	-1	0
Vitvi04g00761	0	0	0	0	-1	0	0	0	0
Vitvi04g00827	0	-1	0	0	0	0	-1	-1	0
Vitvi04g00831	0	0	0	0	-1	0	0	0	0
Vitvi04g00837	0	0	0	0	-1	0	0	0	0
Vitvi04g00838	0	0	0	0	0	0	-1	-1	0
Vitvi04g00932	0	0	0	0	0	0	0	-1	0
Vitvi04g00960	0	-1	0	0	-1	0	0	0	0
Vitvi04g00973	0	0	0	0	1	0	0	0	0
Vitvi04g00991	0	0	0	0	-1	0	0	-1	0
Vitvi04g00997	0	-1	0	0	-1	0	0	-1	0
Vitvi04g00998	0	-1	0	0	-1	0	0	-1	0
Vitvi04g01007	0	-1	0	0	-1	0	0	-1	0
Vitvi04g01092	0	0	0	0	-1	0	0	-1	0
Vitvi04g01093	0	0	0	0	0	0	0	-1	0
Vitvi04g01100	0	0	-1	0	0	0	0	0	0
Vitvi04g01105	0	0	0	0	0	0	0	-1	0
Vitvi04g01136	0	0	0	0	0	0	0	1	0
Vitvi04g01151	0	0	0	-1	0	0	0	0	0
Vitvi04g01172	0	0	0	0	0	0	0	-1	0
Vitvi04g01198	0	0	0	0	0	0	0	-1	0
Vitvi04g01202	0	0	-1	0	0	0	0	0	-1
Vitvi04g01206	1	0	0	0	0	0	0	0	0
Vitvi04g01227	0	0	0	0	0	0	-1	0	0
Vitvi04g01233	0	0	-1	0	-1	0	0	1	0
Vitvi04g01244	0	0	0	0	0	0	0	-1	0
Vitvi04g01254	-1	0	0	0	0	0	-1	-1	0
Vitvi04g01263	0	0	0	0	0	0	1	0	0
Vitvi04g01274	0	0	0	0	0	0	0	-1	0
Vitvi04g01275	0	-1	0	0	0	0	0	0	0
Vitvi04g01287	-1	0	0	0	0	0	0	0	0
Vitvi04g01300	0	0	0	0	0	0	0	-1	0
Vitvi04g01306	0	0	0	0	0	0	0	-1	0
Vitvi04g01309	0	0	0	0	-1	0	0	0	0
Vitvi04g01317	0	0	0	0	-1	0	0	0	0
Vitvi04g01325	0	0	-1	-1	-1	-1	0	0	0
Vitvi04g01339	0	-1	0	0	-1	0	0	-1	0
Vitvi04g01353	0	0	0	0	0	0	0	-1	0
Vitvi04g01375	0	0	-1	0	-1	-1	0	0	0
Vitvi04g01382	0	0	0	0	0	0	0	1	0
Vitvi04g01408	0	-1	0	0	0	0	0	-1	0
Vitvi04g01412	0	0	0	0	1	0	0	1	0
Vitvi04g01424	0	0	0	0	0	0	0	-1	0
Vitvi04g01425	0	0	0	0	0	0	0	-1	0
Vitvi04g01453	0	-1	0	0	-1	0	0	0	0
Vitvi04g01454	0	-1	0	0	-1	0	0	0	0
Vitvi04g01466	0	0	0	0	1	0	0	1	0
Vitvi04g01470	0	0	0	0	1	0	0	1	0
Vitvi04g01471	0	0	0	0	0	0	0	-1	0
Vitvi04g01475	0	0	0	0	0	0	0	-1	0
Vitvi04g01481	0	-1	0	0	0	0	0	0	0
Vitvi04g01519	0	0	-1	0	0	0	0	0	0
Vitvi04g01550	0	0	0	0	1	0	1	1	0
Vitvi04g01555	-1	0	0	0	0	0	-1	-1	0
Vitvi04g01585	0	-1	0	0	0	0	0	-1	0
Vitvi04g01589	0	0	0	0	1	0	0	0	0
Vitvi04g01596	0	0	0	0	-1	0	0	0	0
Vitvi04g01598	-1	0	0	-1	0	0	-1	-1	0
Vitvi04g01626	1	0	0	0	-1	0	0	0	0
Vitvi04g01643	0	-1	0	0	0	0	0	-1	0
Vitvi04g01654	0	0	0	0	1	0	0	0	0
Vitvi04g01657	0	0	0	0	-1	0	0	0	0
Vitvi04g01666	0	-1	0	0	-1	0	0	-1	0
Vitvi04g01674	0	0	0	0	0	0	0	-1	0
Vitvi04g01685	0	0	0	0	1	0	0	0	0
Vitvi04g01689	0	0	0	0	0	0	0	-1	0
Vitvi04g01696	0	0	0	0	1	0	0	1	0
Vitvi04g01701	0	0	-1	0	0	0	0	0	0
Vitvi04g01714	0	0	0	0	1	0	0	0	0
Vitvi04g01721	0	-1	0	0	0	0	0	0	0
Vitvi04g01740	0	0	0	0	0	0	0	-1	0
Vitvi04g01781	0	0	0	0	0	0	-1	0	0
Vitvi04g01808	0	-1	0	0	0	0	0	0	0
Vitvi04g01887	0	0	0	0	1	0	1	1	0
Vitvi04g01889	0	0	0	0	1	0	0	0	0
Vitvi04g01894	0	0	0	0	0	0	0	-1	0
Vitvi04g01903	0	0	0	0	1	0	0	1	0
Vitvi04g01906	0	0	0	0	0	0	0	1	0
Vitvi04g01934	0	0	0	0	-1	0	0	0	0
Vitvi04g01935	0	0	0	0	0	0	0	-1	0
Vitvi04g01937	0	-1	0	0	0	0	0	-1	0
Vitvi04g01940	0	0	0	0	0	0	0	-1	0
Vitvi04g01941	1	0	0	0	0	0	0	0	0
Vitvi04g01980	0	0	1	0	0	0	0	0	0
Vitvi04g02065	0	0	0	0	0	0	-1	0	0
Vitvi04g02071	1	0	0	0	0	0	0	0	0
Vitvi04g02073	0	0	1	0	0	0	0	0	0
Vitvi04g02114	0	-1	0	0	0	0	-1	-1	0
Vitvi04g02122	0	0	0	0	0	-1	0	1	0
Vitvi04g02150	0	0	0	0	-1	0	0	0	0
Vitvi04g02163	0	-1	0	0	-1	0	0	0	0
Vitvi04g02205	0	0	-1	0	0	0	0	0	0
Vitvi04g02221	0	0	0	1	0	0	0	0	0
Vitvi04g02226	0	0	-1	0	-1	0	0	0	0
Vitvi04g02248	0	0	0	0	-1	0	0	-1	0
Vitvi04g02295	0	0	0	0	1	0	0	0	0
Vitvi04g02306	0	0	0	0	-1	0	0	0	0
Vitvi04g04007	0	0	1	1	0	0	0	0	0
Vitvi04g04009	-1	-1	-1	0	-1	0	-1	-1	0
Vitvi04g04010	-1	-1	-1	0	0	0	-1	-1	-1
Vitvi04g04011	-1	-1	-1	0	0	0	-1	-1	-1
Vitvi04g04012	0	0	0	1	0	0	0	0	0
Vitvi04g04015	0	0	0	1	0	0	0	0	0
Vitvi04g04018	0	0	0	0	1	0	0	-1	0
Vitvi04g04019	0	0	0	1	0	0	0	0	0
Vitvi04g04029	0	0	1	1	1	0	0	0	0
Vitvi04g04030	0	0	1	1	0	0	0	0	0
Vitvi04g04045	0	0	1	0	0	0	0	0	0
Vitvi04g04075	0	0	0	0	0	0	0	1	1
Vitvi04g04080	0	0	0	0	0	0	0	-1	0
Vitvi04g04087	0	0	0	0	1	0	0	1	0
Vitvi04g04156	0	0	0	0	0	0	0	-1	0
Vitvi04g04185	0	0	-1	0	0	0	0	0	0
Vitvi04g04191	0	0	0	0	1	0	0	0	0
Vitvi04g04209	0	-1	0	0	0	0	0	-1	0
Vitvi04g04218	0	1	0	0	0	0	0	0	0
Vitvi04g04232	0	1	1	0	1	0	1	1	0
Vitvi04g04237	0	0	0	0	0	0	-1	0	0
Vitvi04g04296	0	0	0	0	1	0	0	-1	0
Vitvi04g04340	0	0	0	0	0	0	0	-1	0
Vitvi04g04354	0	0	-1	0	0	0	0	1	0
Vitvi04g04401	0	0	-1	0	0	0	0	0	0
Vitvi04g04429	0	-1	0	0	-1	0	0	0	0
Vitvi04g04434	0	0	0	0	0	0	0	-1	0
Vitvi04g04443	0	-1	0	0	-1	0	0	0	0
Vitvi04g04448	0	1	0	0	0	0	1	0	0
Vitvi04g04486	0	0	0	0	0	0	0	-1	0
Vitvi04g04487	0	-1	0	0	-1	0	0	-1	0
Vitvi05g00006	0	-1	0	0	0	0	0	0	0
Vitvi05g00009	0	-1	0	0	0	0	0	-1	0
Vitvi05g00012	0	0	0	0	0	0	0	-1	0
Vitvi05g00018	0	0	0	0	-1	0	0	0	0
Vitvi05g00028	0	0	0	-1	0	0	1	1	0
Vitvi05g00031	0	0	0	0	0	0	0	-1	0
Vitvi05g00039	1	0	0	0	0	0	0	0	0
Vitvi05g00055	0	0	0	0	1	0	0	0	0
Vitvi05g00065	0	0	0	0	0	0	0	1	0
Vitvi05g00066	0	0	0	0	1	0	0	0	0
Vitvi05g00067	0	-1	0	0	0	0	0	-1	0
Vitvi05g00077	0	-1	0	0	0	0	0	-1	0
Vitvi05g00094	0	0	0	0	-1	0	0	0	0
Vitvi05g00107	0	0	0	1	0	0	0	0	0
Vitvi05g00108	-1	0	0	0	0	0	1	1	0
Vitvi05g00110	0	0	0	0	0	0	1	0	0
Vitvi05g00139	0	0	0	0	0	0	-1	-1	0
Vitvi05g00145	0	0	-1	0	1	0	0	1	0
Vitvi05g00163	0	0	0	0	1	0	0	1	0
Vitvi05g00170	0	0	0	0	0	0	0	1	0
Vitvi05g00177	0	0	0	0	0	0	0	-1	0
Vitvi05g00198	0	0	0	1	1	0	0	0	0
Vitvi05g00205	0	0	0	0	1	0	0	0	0
Vitvi05g00212	0	-1	0	0	0	0	0	-1	0
Vitvi05g00214	0	0	0	0	-1	0	0	0	0
Vitvi05g00237	0	0	0	0	-1	0	0	0	0
Vitvi05g00247	0	0	0	0	0	0	0	-1	0
Vitvi05g00261	0	0	0	0	-1	0	0	0	0
Vitvi05g00266	0	0	0	0	0	0	0	-1	0
Vitvi05g00274	0	0	-1	0	0	0	0	0	0
Vitvi05g00280	0	0	0	0	-1	0	0	0	0
Vitvi05g00281	0	0	0	0	-1	0	0	0	0
Vitvi05g00292	0	0	0	0	-1	0	0	0	0
Vitvi05g00337	-1	0	0	0	0	0	0	0	0
Vitvi05g00341	0	0	0	0	-1	0	0	0	0
Vitvi05g00342	0	1	0	0	0	0	0	-1	0
Vitvi05g00343	0	0	0	0	0	0	-1	-1	0
Vitvi05g00350	0	0	0	0	0	0	-1	-1	0
Vitvi05g00360	0	0	0	0	-1	0	0	0	0
Vitvi05g00372	0	0	0	0	0	0	0	-1	0
Vitvi05g00385	0	0	0	0	-1	0	0	0	0
Vitvi05g00421	0	0	0	0	0	0	0	1	0
Vitvi05g00423	0	-1	0	0	0	0	0	0	0
Vitvi05g00424	0	0	0	0	0	0	0	-1	0
Vitvi05g00426	0	-1	0	0	-1	0	0	-1	0
Vitvi05g00444	0	0	0	0	-1	0	0	0	0
Vitvi05g00448	0	0	0	0	0	0	0	-1	0
Vitvi05g00468	0	0	0	0	0	0	0	1	0
Vitvi05g00475	0	0	0	0	0	0	0	-1	0
Vitvi05g00476	0	-1	0	0	-1	0	0	0	0
Vitvi05g00482	1	0	0	0	0	0	0	0	0
Vitvi05g00519	0	0	0	0	-1	0	0	0	0
Vitvi05g00520	0	0	0	0	0	0	0	-1	0
Vitvi05g00528	0	0	0	1	0	0	0	0	0
Vitvi05g00539	0	0	0	0	0	0	1	1	0
Vitvi05g00540	0	0	0	0	0	0	0	1	0
Vitvi05g00541	0	-1	0	0	-1	0	0	0	0
Vitvi05g00542	0	-1	0	0	-1	0	0	0	0
Vitvi05g00544	1	0	0	1	0	0	0	0	0
Vitvi05g00546	0	0	0	0	0	0	0	-1	0
Vitvi05g00553	0	0	0	0	0	0	0	1	0
Vitvi05g00563	0	0	-1	1	0	0	0	0	0
Vitvi05g00574	0	-1	0	0	0	0	0	0	0
Vitvi05g00604	0	-1	0	0	0	0	-1	0	0
Vitvi05g00605	1	0	0	0	0	0	0	-1	0
Vitvi05g00630	0	0	0	0	0	0	0	-1	0
Vitvi05g00637	1	0	0	0	0	0	0	1	0
Vitvi05g00649	0	0	0	0	0	0	0	0	1
Vitvi05g00652	0	0	0	0	-1	0	-1	0	0
Vitvi05g00675	0	0	0	0	1	0	1	1	0
Vitvi05g00681	0	0	0	0	0	0	1	0	0
Vitvi05g00694	0	0	0	0	0	0	0	1	0
Vitvi05g00699	0	0	0	0	1	0	0	0	0
Vitvi05g00703	0	0	0	0	-1	0	0	0	0
Vitvi05g00710	1	0	0	-1	0	0	0	0	0
Vitvi05g00713	0	-1	0	0	0	0	0	0	0
Vitvi05g00715	0	0	0	0	1	0	0	0	0
Vitvi05g00726	0	1	0	0	1	0	1	1	0
Vitvi05g00733	0	0	0	0	0	0	0	-1	0
Vitvi05g00734	0	0	0	0	1	0	0	0	0
Vitvi05g00761	0	0	0	0	1	0	0	0	0
Vitvi05g00780	0	-1	0	0	-1	0	0	0	0
Vitvi05g00785	-1	0	0	0	0	0	0	0	0
Vitvi05g00787	0	0	0	0	0	0	0	1	0
Vitvi05g00802	0	0	0	0	1	0	0	0	0
Vitvi05g00826	0	0	0	0	-1	0	0	0	0
Vitvi05g00828	0	-1	0	0	0	0	0	-1	0
Vitvi05g00839	0	0	0	0	0	0	0	1	0
Vitvi05g00885	0	-1	0	0	0	0	0	0	0
Vitvi05g00886	0	0	0	0	0	0	1	0	0
Vitvi05g00888	0	0	0	0	-1	0	0	-1	0
Vitvi05g00910	0	0	0	0	0	0	0	1	0
Vitvi05g00913	0	0	1	1	1	0	0	0	0
Vitvi05g00953	0	0	0	0	0	0	0	-1	0
Vitvi05g00961	0	0	0	0	0	0	0	-1	0
Vitvi05g01044	0	0	0	0	-1	0	0	0	0
Vitvi05g01081	0	1	0	0	0	0	0	1	0
Vitvi05g01088	1	0	0	0	0	0	0	0	0
Vitvi05g01103	0	0	0	0	-1	0	0	0	0
Vitvi05g01116	1	0	0	0	0	0	0	0	0
Vitvi05g01159	0	0	0	0	1	0	0	1	0
Vitvi05g01164	0	0	-1	0	0	0	0	-1	0
Vitvi05g01229	0	-1	0	0	-1	0	0	-1	0
Vitvi05g01256	0	0	1	0	0	0	0	0	0
Vitvi05g01266	0	0	1	0	0	0	0	0	0
Vitvi05g01276	0	0	0	0	-1	0	0	-1	0
Vitvi05g01304	0	0	0	0	1	0	0	1	0
Vitvi05g01308	0	0	0	0	-1	0	0	-1	0
Vitvi05g01330	0	0	0	0	-1	0	0	0	0
Vitvi05g01334	0	0	0	0	1	0	0	0	0
Vitvi05g01337	0	0	0	0	1	0	0	1	0
Vitvi05g01348	0	-1	0	0	0	0	0	0	0
Vitvi05g01350	0	0	0	0	1	0	0	0	0
Vitvi05g01351	0	-1	0	0	0	0	-1	0	0
Vitvi05g01353	0	0	0	0	0	0	0	-1	0
Vitvi05g01365	0	0	1	0	0	0	0	0	0
Vitvi05g01366	0	0	0	0	0	0	0	-1	0
Vitvi05g01375	0	0	0	0	-1	0	0	0	0
Vitvi05g01388	0	-1	0	0	-1	0	0	-1	0
Vitvi05g01399	0	0	0	0	1	0	0	1	0
Vitvi05g01400	1	0	0	0	1	0	1	1	0
Vitvi05g01435	0	0	0	0	1	0	0	0	0
Vitvi05g01437	0	-1	0	0	-1	0	0	-1	0
Vitvi05g01450	0	-1	0	0	0	0	0	-1	0
Vitvi05g01456	1	0	0	1	0	0	0	0	0
Vitvi05g01492	0	0	0	0	0	0	0	-1	0
Vitvi05g01494	0	-1	0	0	0	0	-1	-1	0
Vitvi05g01500	0	-1	0	0	-1	0	0	0	0
Vitvi05g01522	0	0	-1	0	0	0	0	0	-1
Vitvi05g01578	0	0	0	0	1	0	0	0	0
Vitvi05g01579	1	0	1	0	0	0	1	1	1
Vitvi05g01589	0	0	0	0	0	0	0	-1	0
Vitvi05g01596	0	0	0	0	0	0	0	-1	0
Vitvi05g01623	0	0	0	0	0	0	0	1	0
Vitvi05g01627	0	0	0	0	0	0	0	0	-1
Vitvi05g01633	0	0	0	0	0	0	0	-1	0
Vitvi05g01672	1	1	0	0	1	0	1	1	0
Vitvi05g01674	0	0	0	0	0	0	1	1	1
Vitvi05g01675	0	0	0	0	1	0	0	1	0
Vitvi05g01702	0	0	-1	0	0	0	0	0	0
Vitvi05g01732	0	0	0	0	0	0	0	-1	0
Vitvi05g01742	0	0	0	0	0	0	0	1	0
Vitvi05g01754	0	0	0	0	1	0	0	0	0
Vitvi05g01757	0	0	0	0	1	0	0	1	0
Vitvi05g01759	0	0	0	0	1	0	0	0	0
Vitvi05g01760	0	0	0	0	0	0	0	1	0
Vitvi05g01768	-1	0	0	0	0	0	0	0	0
Vitvi05g01769	0	1	0	0	0	0	0	1	0
Vitvi05g01778	0	0	1	0	0	0	0	0	0
Vitvi05g01780	0	0	0	0	0	0	0	-1	0
Vitvi05g01815	1	0	0	0	0	0	0	0	0
Vitvi05g01819	0	0	1	0	0	0	0	0	1
Vitvi05g01858	-1	0	0	0	0	0	0	0	0
Vitvi05g01879	0	0	0	0	-1	0	0	0	0
Vitvi05g01881	0	0	0	0	0	0	0	-1	0
Vitvi05g01900	0	-1	0	0	0	0	0	-1	0
Vitvi05g01924	0	0	0	0	0	0	0	-1	0
Vitvi05g01927	0	0	-1	0	0	0	0	0	-1
Vitvi05g01930	0	0	0	0	0	0	0	1	0
Vitvi05g01940	0	0	0	1	0	0	0	0	0
Vitvi05g01941	0	0	0	0	0	0	0	0	1
Vitvi05g01947	0	0	0	0	0	0	1	1	0
Vitvi05g01948	0	0	0	0	0	0	0	1	0
Vitvi05g01949	0	0	0	0	0	0	1	1	0
Vitvi05g01950	0	0	0	0	0	0	1	1	0
Vitvi05g01951	0	0	0	0	0	0	1	0	0
Vitvi05g01991	0	0	-1	0	0	0	0	0	-1
Vitvi05g02001	-1	0	0	0	0	0	0	0	0
Vitvi05g02017	0	-1	0	0	0	0	0	-1	0
Vitvi05g02018	0	0	0	0	0	0	0	-1	0
Vitvi05g02019	0	-1	0	0	0	0	0	-1	0
Vitvi05g02048	0	0	0	0	0	0	0	-1	0
Vitvi05g02074	0	1	0	0	0	0	1	1	0
Vitvi05g02082	0	-1	-1	0	0	0	0	-1	0
Vitvi05g02090	0	0	1	0	0	0	0	0	0
Vitvi05g02096	0	0	0	0	-1	0	0	-1	0
Vitvi05g02111	0	-1	0	0	0	0	0	0	0
Vitvi05g02116	0	0	0	0	1	0	0	0	0
Vitvi05g02120	0	0	0	0	-1	0	0	0	0
Vitvi05g02122	0	-1	0	0	-1	0	0	-1	0
Vitvi05g02148	0	0	-1	0	0	0	0	0	0
Vitvi05g02156	-1	0	0	0	0	0	1	0	0
Vitvi05g02184	0	0	0	0	0	0	0	-1	0
Vitvi05g02187	0	-1	0	0	0	0	0	0	0
Vitvi05g02190	0	-1	0	0	0	0	0	-1	0
Vitvi05g02195	1	0	0	0	0	0	0	0	0
Vitvi05g02197	1	0	0	1	0	0	0	0	0
Vitvi05g02201	0	0	0	0	0	0	0	-1	0
Vitvi05g02215	0	0	-1	0	0	0	0	0	0
Vitvi05g02222	0	0	-1	0	0	0	0	0	0
Vitvi05g02223	0	0	0	1	0	0	0	0	0
Vitvi05g02232	1	0	0	0	0	0	0	0	0
Vitvi05g02234	0	-1	-1	0	-1	0	0	-1	-1
