node1	node2	score
ACD6	EDS1	0.764
ACD6	SAG101	0.404
EDS1	ACD6	0.764
EDS1	SAG101	0.999
EDS1	SARD4	0.606
EDS1	SOBIR1	0.832
EDS1	WRKY51	0.447
MIK2	SOBIR1	0.535
SAG101	ACD6	0.404
SAG101	EDS1	0.999
SAG101	SOBIR1	0.418
SARD4	EDS1	0.606
SOBIR1	EDS1	0.832
SOBIR1	MIK2	0.535
SOBIR1	SAG101	0.418
WRKY51	EDS1	0.447
