"GeneID","Immunity_Class"
"Vitvi01g00181","Other"
"Vitvi01g00182","Other"
"Vitvi01g00183","Other"
"Vitvi01g00186","Other"
"Vitvi01g00187","Other"
"Vitvi01g00188","Other"
"Vitvi01g00189","Other"
"Vitvi01g00190","Other"
"Vitvi01g00191","Other"
"Vitvi01g04045","Other"
"Vitvi01g00192","Other"
"Vitvi01g01897","Other"
"Vitvi01g01898","Other"
"Vitvi01g01901","Other"
"Vitvi01g01902","Other"
"Vitvi01g00193","Other"
"Vitvi01g01903","Other"
"Vitvi01g04047","Other"
"Vitvi01g00196","Other"
"Vitvi01g00197","Other"
"Vitvi01g00198","Other"
"Vitvi01g00199","Other"
"Vitvi01g00201","Other"
"Vitvi01g01907","Other"
"Vitvi01g00202","Other"
"Vitvi01g00203","Other"
"Vitvi01g00204","Other"
"Vitvi01g01908","Other"
"Vitvi01g00205","Other"
"Vitvi01g00206","Other"
"Vitvi01g04048","Other"
"Vitvi01g01912","Other"
"Vitvi01g04051","Other"
"Vitvi01g01915","Other"
"Vitvi01g01916","Other"
"Vitvi01g01917","Other"
"Vitvi01g01918","Other"
"Vitvi01g04052","Other"
"Vitvi01g01919","Other"
"Vitvi01g04053","Other"
"Vitvi01g04054","Other"
"Vitvi01g04055","Other"
"Vitvi01g04056","Other"
"Vitvi01g01922","Other"
"Vitvi01g01923","Other"
"Vitvi01g00211","Other"
"Vitvi01g00214","Other"
"Vitvi01g04058","Other"
"Vitvi01g00217","Other"
"Vitvi01g01924","Other"
"Vitvi01g00218","Other"
"Vitvi01g00219","Other"
"Vitvi01g00220","Other"
"Vitvi01g00221","Other"
"Vitvi01g00222","Other"
"Vitvi01g00223","Other"
"Vitvi01g00224","Other"
"Vitvi01g00225","Other"
"Vitvi01g00226","Other"
"Vitvi01g04060","Other"
"Vitvi01g01926","Other"
"Vitvi01g00227","Other"
"Vitvi01g00228","Other"
"Vitvi01g00230","Other"
"Vitvi01g00232","Other"
"Vitvi01g00233","Other"
"Vitvi01g00234","Other"
"Vitvi01g04061","Other"
"Vitvi01g04062","Other"
"Vitvi01g00237","Other"
"Vitvi01g00238","Other"
"Vitvi01g00239","Other"
"Vitvi01g01930","Other"
"Vitvi01g00241","Other"
"Vitvi01g00243","Other"
"Vitvi01g00244","Other"
"Vitvi01g00245","Other"
"Vitvi01g00246","Other"
"Vitvi01g00249","Other"
"Vitvi01g00250","Other"
"Vitvi01g00251","Other"
"Vitvi01g00252","Other"
"Vitvi01g00253","Other"
"Vitvi01g00254","Other"
"Vitvi01g00255","Other"
"Vitvi01g00258","Other"
"Vitvi01g00259","Other"
"Vitvi01g00260","Other"
"Vitvi01g00262","Other"
"Vitvi01g00264","Other"
"Vitvi01g00265","Other"
"Vitvi01g00266","Other"
"Vitvi01g00267","Other"
"Vitvi01g00268","Other"
"Vitvi01g00269","Other"
"Vitvi01g00270","Other"
"Vitvi01g00271","Other"
"Vitvi01g00272","Other"
"Vitvi01g01932","Other"
"Vitvi01g00273","Other"
"Vitvi01g00274","Other"
"Vitvi01g00275","Other"
"Vitvi01g00277","Other"
"Vitvi01g00278","Other"
"Vitvi01g00279","Other"
"Vitvi01g01934","Other"
