"method","combat","module","n_genes","pve_pc1"
"hub_anchored","unprotected","Vitvi12g01882",55,0.83864557278342
"hub_anchored","unprotected","Vitvi12g01921",64,0.86826559284669
"hub_anchored","unprotected","Vitvi12g02011",59,0.887731265446636
"hub_anchored","unprotected","Vitvi12g02633",83,0.866715292128737
"hub_anchored","unprotected","Vitvi12g04108",101,0.808509957675673
"hub_anchored","unprotected","Vitvi12g04404",102,0.848235735994438
"hub_anchored","unprotected","Vitvi12g04463",69,0.88094281645848
"hub_anchored","unprotected","Vitvi12g04498",61,0.886427023295737
"hub_anchored","unprotected","Vitvi12g04515",33,0.906188695680487
"hub_anchored","unprotected","Vitvi12g04518",19,0.800912515234696
"hub_anchored","unprotected","Vitvi12g04543",51,0.797525952386936
"hub_anchored","unprotected","Vitvi12g04545",55,0.854864392217534
"hub_anchored","unprotected","Vitvi12g04595",37,0.871068551630387
"hub_anchored","unprotected","Vitvi12g04598",82,0.873730611193163
"hub_anchored","unprotected","Vitvi12g04607",92,0.847832119740583
"hub_anchored","unprotected","Vitvi12g04630",132,0.880462412429181
"hub_anchored","unprotected","Vitvi13g00004",504,0.890268596119005
"hub_anchored","unprotected","Vitvi13g00551",90,0.829836522590053
"hub_anchored","unprotected","Vitvi13g01098",485,0.816919243837413
"hub_anchored","unprotected","Vitvi13g01468",104,0.825355871400856
"hub_anchored","unprotected","Vitvi13g01608",30,0.822590189110739
"hub_anchored","unprotected","Vitvi13g01616",50,0.818548079355451
"hub_anchored","unprotected","Vitvi13g01638",64,0.853553660328587
"hub_anchored","unprotected","Vitvi13g01984",56,0.880776922425922
"hub_anchored","unprotected","Vitvi13g04528",117,0.810423497692568
"hub_anchored","unprotected","Vitvi13g04529",118,0.817374951229665
"hub_anchored","unprotected","Vitvi13g04677",56,0.848389224050141
"hub_anchored","unprotected","Vitvi13g04698",70,0.816753009812471
"hub_anchored","unprotected","Vitvi13g04706",92,0.825780728216975
"hub_anchored","unprotected","Vitvi14g00438",239,0.844279620086816
"hub_anchored","unprotected","Vitvi14g01926",6,0.864398681957847
"hub_anchored","unprotected","Vitvi14g04416",31,0.896995393861145
"hub_anchored","unprotected","Vitvi15g01247",87,0.861117089487934
"hub_anchored","unprotected","Vitvi16g00901",4,0.92332764831006
"hub_anchored","unprotected","Vitvi16g04295",516,0.883144127097254
"hub_anchored","unprotected","Vitvi16g04448",29,0.835439997267975
"hub_anchored","unprotected","Vitvi17g00339",7,0.829586354885275
"hub_anchored","unprotected","Vitvi17g00461",47,0.873467122021352
"hub_anchored","unprotected","Vitvi17g00704",626,0.861270633884221
"hub_anchored","unprotected","Vitvi17g00936",758,0.811751205168395
"hub_anchored","unprotected","Vitvi17g01373",99,0.816748996116522
"hub_anchored","unprotected","Vitvi18g00174",73,0.838981998451629
"hub_anchored","unprotected","Vitvi18g00191",42,0.899037826342347
"hub_anchored","unprotected","Vitvi18g00462",70,0.812823774575322
"hub_anchored","unprotected","Vitvi18g00473",84,0.832630019379606
"hub_anchored","unprotected","Vitvi18g02222",49,0.880289617038367
"hub_anchored","unprotected","Vitvi18g02825",10,0.870685165597343
"hub_anchored","unprotected","Vitvi18g02837",536,0.831557228276269
"hub_anchored","unprotected","Vitvi18g04551",82,0.894102852576214
"hub_anchored","unprotected","Vitvi18g04640",114,0.895528553089497
"hub_anchored","unprotected","Vitvi19g00270",793,0.817250683339917
"hub_anchored","unprotected","Vitvi19g00476",70,0.82343824637187
"hub_anchored","unprotected","Vitvi19g00709",67,0.853537440303784
"hub_anchored","unprotected","Vitvi19g01484",550,0.81964743857399
"hub_anchored","unprotected","Vitvi19g01610",100,0.813723147065298
"hub_anchored","unprotected","Vitvi19g01612",89,0.829453545766188
"hub_anchored","unprotected","Vitvi19g01720",103,0.816663385969682
"hub_anchored","unprotected","Vitvi19g01790",73,0.790767716427052
"hub_anchored","unprotected","Vitvi19g04572",92,0.821828070837794
"hub_anchored","protected","Vitvi00g04005",31,0.871572108058254
"hub_anchored","protected","Vitvi00g04500",31,0.896426017422653
"hub_anchored","protected","Vitvi00g04634",37,0.880542292244564
"hub_anchored","protected","Vitvi00g04728",36,0.88499049596468
"hub_anchored","protected","Vitvi01g00463",80,0.793608461376441
"hub_anchored","protected","Vitvi01g00508",453,0.815867568306073
"hub_anchored","protected","Vitvi01g00612",120,0.836391437076771
"hub_anchored","protected","Vitvi01g00656",1346,0.842711456316103
"hub_anchored","protected","Vitvi01g01038",215,0.820995530391125
"hub_anchored","protected","Vitvi01g01701",53,0.818096765320546
"hub_anchored","protected","Vitvi01g04056",162,0.8062656538597
"hub_anchored","protected","Vitvi01g04115",73,0.78890291105194
"hub_anchored","protected","Vitvi01g04132",17,0.802901967854666
"hub_anchored","protected","Vitvi02g00032",1042,0.859567314381196
"hub_anchored","protected","Vitvi02g00056",52,0.762175771923099
"hub_anchored","protected","Vitvi02g00086",83,0.791978530446428
"hub_anchored","protected","Vitvi02g00429",469,0.825208232153278
"hub_anchored","protected","Vitvi02g00446",366,0.802089946179712
"hub_anchored","protected","Vitvi02g01355",308,0.872581027984714
"hub_anchored","protected","Vitvi02g01360",20,0.845820285223378
"hub_anchored","protected","Vitvi02g04106",424,0.808538799142625
"hub_anchored","protected","Vitvi03g00318",3,0.9395118117684
"hub_anchored","protected","Vitvi03g00692",402,0.846355284733959
"hub_anchored","protected","Vitvi03g00752",66,0.824096956573845
"hub_anchored","protected","Vitvi03g01258",43,0.816061165180875
"hub_anchored","protected","Vitvi03g01809",88,0.85565130614887
"hub_anchored","protected","Vitvi03g04266",72,0.825004015928767
"hub_anchored","protected","Vitvi03g04466",25,0.807733231457203
"hub_anchored","protected","Vitvi04g00017",74,0.792542371682367
"hub_anchored","protected","Vitvi04g01254",30,0.871520649189784
"hub_anchored","protected","Vitvi04g01325",44,0.872004241956536
"hub_anchored","protected","Vitvi04g01375",41,0.867100387000136
"hub_anchored","protected","Vitvi04g01550",799,0.799315604147013
"hub_anchored","protected","Vitvi04g01555",59,0.866735319320236
"hub_anchored","protected","Vitvi04g01887",309,0.814744000044933
"hub_anchored","protected","Vitvi04g02114",25,0.78042250231132
"hub_anchored","protected","Vitvi04g04009",87,0.864318411157365
"hub_anchored","protected","Vitvi04g04010",52,0.8322407991245
"hub_anchored","protected","Vitvi04g04011",60,0.820843220062645
"hub_anchored","protected","Vitvi04g04029",15,0.832406516336048
"hub_anchored","protected","Vitvi05g00028",187,0.78593982484253
"hub_anchored","protected","Vitvi05g00108",353,0.81527753775895
"hub_anchored","protected","Vitvi05g00145",62,0.800037956203887
"hub_anchored","protected","Vitvi05g00726",51,0.850037377261376
"hub_anchored","protected","Vitvi05g01400",57,0.821691067654124
"hub_anchored","protected","Vitvi05g01579",72,0.808431949893702
"hub_anchored","protected","Vitvi05g01674",104,0.771596356166498
"hub_anchored","protected","Vitvi05g04232",34,0.792973046217436
"hub_anchored","protected","Vitvi06g01410",97,0.830175016624065
"hub_anchored","protected","Vitvi06g01618",104,0.850134745792057
"hub_anchored","protected","Vitvi06g04121",71,0.828718888787912
"hub_anchored","protected","Vitvi07g00283",34,0.79632711286041
"hub_anchored","protected","Vitvi07g00523",584,0.810647298322392
"hub_anchored","protected","Vitvi07g01267",686,0.87638543042593
"hub_anchored","protected","Vitvi07g01315",91,0.823090325165622
"hub_anchored","protected","Vitvi07g01342",315,0.878736137556956
"hub_anchored","protected","Vitvi07g01407",54,0.81953804391583
"hub_anchored","protected","Vitvi07g01718",56,0.840076617314023
"hub_anchored","protected","Vitvi07g01719",39,0.817936669020143
"hub_anchored","protected","Vitvi07g02832",142,0.751312979415615
"hub_anchored","protected","Vitvi07g03086",100,0.877569036061356
"hub_anchored","protected","Vitvi08g00957",23,0.780742533305582
"hub_anchored","protected","Vitvi08g01333",51,0.799679897578417
"hub_anchored","protected","Vitvi08g01617",36,0.80729595468102
"hub_anchored","protected","Vitvi08g01846",16,0.800902349469221
"hub_anchored","protected","Vitvi08g01897",33,0.820539106738404
"hub_anchored","protected","Vitvi08g02218",79,0.807255500280023
"hub_anchored","protected","Vitvi08g02288",60,0.861787708303923
"hub_anchored","protected","Vitvi09g00419",98,0.845907397855004
"hub_anchored","protected","Vitvi09g00867",74,0.819843161988209
"hub_anchored","protected","Vitvi09g01646",8,0.861938629365698
"hub_anchored","protected","Vitvi09g01698",24,0.920190539763937
"hub_anchored","protected","Vitvi09g04280",53,0.86700608773225
"hub_anchored","protected","Vitvi09g04564",89,0.883614340846364
"hub_anchored","protected","Vitvi10g00984",80,0.821991066489488
"hub_anchored","protected","Vitvi10g01812",309,0.850018137225679
"hub_anchored","protected","Vitvi10g04044",77,0.863340673540425
"hub_anchored","protected","Vitvi10g04085",37,0.820505971137911
"hub_anchored","protected","Vitvi10g04282",41,0.842897436587903
"hub_anchored","protected","Vitvi10g04504",102,0.804445615854706
"hub_anchored","protected","Vitvi11g00075",221,0.831996763781779
"hub_anchored","protected","Vitvi11g00217",128,0.804503091019308
"hub_anchored","protected","Vitvi11g00285",253,0.848951188325446
"hub_anchored","protected","Vitvi11g00286",189,0.756654406409019
"hub_anchored","protected","Vitvi11g01637",29,0.807593595861206
"hub_anchored","protected","Vitvi12g00368",60,0.829622084336285
"hub_anchored","protected","Vitvi12g01881",126,0.796655008982728
